State,ZIP Code,City,County,Type
Colorado,ZIP Code 80001,Arvada,Jefferson,P.O. Box
Colorado,ZIP Code 80002,Arvada,Jefferson,Standard
Colorado,ZIP Code 80003,Arvada,Jefferson,Standard
Colorado,ZIP Code 80004,Arvada,Jefferson,Standard
Colorado,ZIP Code 80005,Arvada,Jefferson,Standard
Colorado,ZIP Code 80006,Arvada,Jefferson,P.O. Box
Colorado,ZIP Code 80007,Arvada,Jefferson,Standard
Colorado,ZIP Code 80010,Aurora,Arapahoe,Standard
Colorado,ZIP Code 80011,Aurora,Arapahoe,Standard
Colorado,ZIP Code 80012,Aurora,Arapahoe,Standard
Colorado,ZIP Code 80013,Aurora,Arapahoe,Standard
Colorado,ZIP Code 80014,Aurora,Arapahoe,Standard
Colorado,ZIP Code 80015,Aurora,Arapahoe,Standard
Colorado,ZIP Code 80016,Aurora,Arapahoe,Standard
Colorado,ZIP Code 80017,Aurora,Arapahoe,Standard
Colorado,ZIP Code 80018,Aurora,Arapahoe,Standard
Colorado,ZIP Code 80019,Aurora,Adams,Standard
Colorado,ZIP Code 80020,Broomfield,Broomfield,Standard
Colorado,ZIP Code 80021,Broomfield,Jefferson,Standard
Colorado,ZIP Code 80022,Commerce City,Adams,Standard
Colorado,ZIP Code 80023,Broomfield,Broomfield,Standard
Colorado,ZIP Code 80024,Dupont,Adams,P.O. Box
Colorado,ZIP Code 80025,Eldorado Springs,Boulder,P.O. Box
Colorado,ZIP Code 80026,Lafayette,Boulder,Standard
Colorado,ZIP Code 80027,Louisville,Boulder,Standard
Colorado,ZIP Code 80030,Westminster,Adams,Standard
Colorado,ZIP Code 80031,Westminster,Adams,Standard
Colorado,ZIP Code 80033,Wheat Ridge,Jefferson,Standard
Colorado,ZIP Code 80034,Wheat Ridge,Jefferson,P.O. Box
Colorado,ZIP Code 80035,Westminster,Adams,P.O. Box
Colorado,ZIP Code 80036,Westminster,Adams,P.O. Box
Colorado,ZIP Code 80037,Commerce City,Adams,P.O. Box
Colorado,ZIP Code 80038,Broomfield,Broomfield,P.O. Box
Colorado,ZIP Code 80040,Aurora,Adams,P.O. Box
Colorado,ZIP Code 80041,Aurora,Arapahoe,P.O. Box
Colorado,ZIP Code 80042,Aurora,Adams,P.O. Box
Colorado,ZIP Code 80044,Aurora,Arapahoe,P.O. Box
Colorado,ZIP Code 80045,Aurora,Adams,Standard
Colorado,ZIP Code 80046,Aurora,Arapahoe,P.O. Box
Colorado,ZIP Code 80047,Aurora,Arapahoe,P.O. Box
Colorado,ZIP Code 80101,Agate,Elbert,Standard
Colorado,ZIP Code 80102,Bennett,Adams,Standard
Colorado,ZIP Code 80103,Byers,Arapahoe,Standard
Colorado,ZIP Code 80104,Castle Rock,Douglas,Standard
Colorado,ZIP Code 80105,Deer Trail,Arapahoe,Standard
Colorado,ZIP Code 80106,Elbert,El Paso,Standard
Colorado,ZIP Code 80107,Elizabeth,Elbert,Standard
Colorado,ZIP Code 80108,Castle Rock,Douglas,Standard
Colorado,ZIP Code 80109,Castle Rock,Douglas,Standard
Colorado,ZIP Code 80110,Englewood,Arapahoe,Standard
Colorado,ZIP Code 80111,Englewood,Arapahoe,Standard
Colorado,ZIP Code 80112,Englewood,Arapahoe,Standard
Colorado,ZIP Code 80113,Englewood,Arapahoe,Standard
Colorado,ZIP Code 80116,Franktown,Douglas,Standard
Colorado,ZIP Code 80117,Kiowa,Elbert,Standard
Colorado,ZIP Code 80118,Larkspur,Douglas,Standard
Colorado,ZIP Code 80120,Littleton,Arapahoe,Standard
Colorado,ZIP Code 80121,Littleton,Arapahoe,Standard
Colorado,ZIP Code 80122,Littleton,Arapahoe,Standard
Colorado,ZIP Code 80123,Littleton,Jefferson,Standard
Colorado,ZIP Code 80124,Lone Tree,Douglas,Standard
Colorado,ZIP Code 80125,Littleton,Douglas,Standard
Colorado,ZIP Code 80126,Littleton,Douglas,Standard
Colorado,ZIP Code 80127,Littleton,Jefferson,Standard
Colorado,ZIP Code 80128,Littleton,Jefferson,Standard
Colorado,ZIP Code 80129,Littleton,Douglas,Standard
Colorado,ZIP Code 80130,Littleton,Douglas,Standard
Colorado,ZIP Code 80131,Louviers,Douglas,P.O. Box
Colorado,ZIP Code 80132,Monument,El Paso,Standard
Colorado,ZIP Code 80133,Palmer Lake,El Paso,Standard
Colorado,ZIP Code 80134,Parker,Douglas,Standard
Colorado,ZIP Code 80135,Sedalia,Douglas,Standard
Colorado,ZIP Code 80136,Strasburg,Adams,Standard
Colorado,ZIP Code 80137,Watkins,Adams,Standard
Colorado,ZIP Code 80138,Parker,Douglas,Standard
Colorado,ZIP Code 80150,Englewood,Arapahoe,P.O. Box
Colorado,ZIP Code 80151,Englewood,Arapahoe,P.O. Box
Colorado,ZIP Code 80155,Englewood,Arapahoe,P.O. Box
Colorado,ZIP Code 80160,Littleton,Arapahoe,P.O. Box
Colorado,ZIP Code 80161,Littleton,Arapahoe,P.O. Box
Colorado,ZIP Code 80162,Littleton,Jefferson,P.O. Box
Colorado,ZIP Code 80163,Littleton,Douglas,P.O. Box
Colorado,ZIP Code 80165,Littleton,Arapahoe,Unique
Colorado,ZIP Code 80166,Littleton,Arapahoe,Unique
Colorado,ZIP Code 80201,Denver,Denver,P.O. Box
Colorado,ZIP Code 80202,Denver,Denver,Standard
Colorado,ZIP Code 80203,Denver,Denver,Standard
Colorado,ZIP Code 80204,Denver,Denver,Standard
Colorado,ZIP Code 80205,Denver,Denver,Standard
Colorado,ZIP Code 80206,Denver,Denver,Standard
Colorado,ZIP Code 80207,Denver,Denver,Standard
Colorado,ZIP Code 80208,Denver,Denver,Unique
Colorado,ZIP Code 80209,Denver,Denver,Standard
Colorado,ZIP Code 80210,Denver,Denver,Standard
Colorado,ZIP Code 80211,Denver,Denver,Standard
Colorado,ZIP Code 80212,Denver,Denver,Standard
Colorado,ZIP Code 80214,Denver,Jefferson,Standard
Colorado,ZIP Code 80215,Denver,Jefferson,Standard
Colorado,ZIP Code 80216,Denver,Denver,Standard
Colorado,ZIP Code 80217,Denver,Denver,P.O. Box
Colorado,ZIP Code 80218,Denver,Denver,Standard
Colorado,ZIP Code 80219,Denver,Denver,Standard
Colorado,ZIP Code 80220,Denver,Denver,Standard
Colorado,ZIP Code 80221,Denver,Adams,Standard
Colorado,ZIP Code 80222,Denver,Denver,Standard
Colorado,ZIP Code 80223,Denver,Denver,Standard
Colorado,ZIP Code 80224,Denver,Denver,Standard
Colorado,ZIP Code 80225,Denver,Jefferson,P.O. Box
Colorado,ZIP Code 80226,Denver,Jefferson,Standard
Colorado,ZIP Code 80227,Denver,Jefferson,Standard
Colorado,ZIP Code 80228,Denver,Jefferson,Standard
Colorado,ZIP Code 80229,Denver,Adams,Standard
Colorado,ZIP Code 80230,Denver,Denver,Standard
Colorado,ZIP Code 80231,Denver,Denver,Standard
Colorado,ZIP Code 80232,Denver,Jefferson,Standard
Colorado,ZIP Code 80233,Denver,Adams,Standard
Colorado,ZIP Code 80234,Denver,Adams,Standard
Colorado,ZIP Code 80235,Denver,Jefferson,Standard
Colorado,ZIP Code 80236,Denver,Denver,Standard
Colorado,ZIP Code 80237,Denver,Denver,Standard
Colorado,ZIP Code 80238,Denver,Denver,Standard
Colorado,ZIP Code 80239,Denver,Denver,Standard
Colorado,ZIP Code 80241,Thornton,Adams,Standard
Colorado,ZIP Code 80243,Denver,Denver,Unique
Colorado,ZIP Code 80244,Denver,Denver,Unique
Colorado,ZIP Code 80246,Denver,Denver,Standard
Colorado,ZIP Code 80247,Denver,Arapahoe,Standard
Colorado,ZIP Code 80248,Denver,Denver,P.O. Box
Colorado,ZIP Code 80249,Denver,Denver,Standard
Colorado,ZIP Code 80250,Denver,Denver,P.O. Box
Colorado,ZIP Code 80256,Denver,Denver,Unique
Colorado,ZIP Code 80257,Denver,Denver,Unique
Colorado,ZIP Code 80259,Denver,Denver,Unique
Colorado,ZIP Code 80260,Denver,Adams,Standard
Colorado,ZIP Code 80261,Denver,Denver,Unique
Colorado,ZIP Code 80262,Denver,Denver,Unique
Colorado,ZIP Code 80263,Denver,Denver,Unique
Colorado,ZIP Code 80264,Denver,Denver,Standard
Colorado,ZIP Code 80265,Denver,Denver,Standard
Colorado,ZIP Code 80266,Denver,Denver,Standard
Colorado,ZIP Code 80271,Denver,Denver,Unique
Colorado,ZIP Code 80273,Denver,Denver,Unique
Colorado,ZIP Code 80274,Denver,Denver,Unique
Colorado,ZIP Code 80281,Denver,Denver,Unique
Colorado,ZIP Code 80290,Denver,Denver,Standard
Colorado,ZIP Code 80291,Denver,Denver,Unique
Colorado,ZIP Code 80293,Denver,Denver,Standard
Colorado,ZIP Code 80294,Denver,Denver,Standard
Colorado,ZIP Code 80299,Denver,Denver,Standard
Colorado,ZIP Code 80301,Boulder,Boulder,Standard
Colorado,ZIP Code 80302,Boulder,Boulder,Standard
Colorado,ZIP Code 80303,Boulder,Boulder,Standard
Colorado,ZIP Code 80304,Boulder,Boulder,Standard
Colorado,ZIP Code 80305,Boulder,Boulder,Standard
Colorado,ZIP Code 80306,Boulder,Boulder,P.O. Box
Colorado,ZIP Code 80307,Boulder,Boulder,P.O. Box
Colorado,ZIP Code 80308,Boulder,Boulder,P.O. Box
Colorado,ZIP Code 80309,Boulder,Boulder,Unique
Colorado,ZIP Code 80310,Boulder,Boulder,Unique
Colorado,ZIP Code 80314,Boulder,Boulder,Unique
Colorado,ZIP Code 80401,Golden,Jefferson,Standard
Colorado,ZIP Code 80402,Golden,Jefferson,P.O. Box
Colorado,ZIP Code 80403,Golden,Jefferson,Standard
Colorado,ZIP Code 80419,Golden,Jefferson,Unique
Colorado,ZIP Code 80420,Alma,Park,P.O. Box
Colorado,ZIP Code 80421,Bailey,Park,Standard
Colorado,ZIP Code 80422,Black Hawk,Gilpin,Standard
Colorado,ZIP Code 80423,Bond,Eagle,Standard
Colorado,ZIP Code 80424,Breckenridge,Summit,Standard
Colorado,ZIP Code 80425,Buffalo Creek,Jefferson,P.O. Box
Colorado,ZIP Code 80426,Burns,Eagle,P.O. Box
Colorado,ZIP Code 80427,Central City,Gilpin,P.O. Box
Colorado,ZIP Code 80428,Clark,Routt,Standard
Colorado,ZIP Code 80429,Climax,Lake,P.O. Box
Colorado,ZIP Code 80430,Coalmont,Jackson,Standard
Colorado,ZIP Code 80432,Como,Park,P.O. Box
Colorado,ZIP Code 80433,Conifer,Jefferson,Standard
Colorado,ZIP Code 80434,Cowdrey,Jackson,P.O. Box
Colorado,ZIP Code 80435,Dillon,Summit,Standard
Colorado,ZIP Code 80436,Dumont,Clear Creek,P.O. Box
Colorado,ZIP Code 80437,Evergreen,Jefferson,P.O. Box
Colorado,ZIP Code 80438,Empire,Clear Creek,P.O. Box
Colorado,ZIP Code 80439,Evergreen,Jefferson,Standard
Colorado,ZIP Code 80440,Fairplay,Park,Standard
Colorado,ZIP Code 80442,Fraser,Grand,P.O. Box
Colorado,ZIP Code 80443,Frisco,Summit,P.O. Box
Colorado,ZIP Code 80444,Georgetown,Clear Creek,P.O. Box
Colorado,ZIP Code 80446,Granby,Grand,Standard
Colorado,ZIP Code 80447,Grand Lake,Grand,Standard
Colorado,ZIP Code 80448,Grant,Park,P.O. Box
Colorado,ZIP Code 80449,Hartsel,Park,Standard
Colorado,ZIP Code 80451,Hot Sulphur Springs,Grand,P.O. Box
Colorado,ZIP Code 80452,Idaho Springs,Clear Creek,Standard
Colorado,ZIP Code 80453,Idledale,Jefferson,P.O. Box
Colorado,ZIP Code 80454,Indian Hills,Jefferson,P.O. Box
Colorado,ZIP Code 80455,Jamestown,Boulder,Standard
Colorado,ZIP Code 80456,Jefferson,Park,Standard
Colorado,ZIP Code 80457,Kittredge,Jefferson,P.O. Box
Colorado,ZIP Code 80459,Kremmling,Grand,Standard
Colorado,ZIP Code 80461,Leadville,Lake,Standard
Colorado,ZIP Code 80463,Mc Coy,Eagle,Standard
Colorado,ZIP Code 80465,Morrison,Jefferson,Standard
Colorado,ZIP Code 80466,Nederland,Boulder,Standard
Colorado,ZIP Code 80467,Oak Creek,Routt,Standard
Colorado,ZIP Code 80468,Parshall,Grand,Standard
Colorado,ZIP Code 80469,Phippsburg,Routt,P.O. Box
Colorado,ZIP Code 80470,Pine,Jefferson,Standard
Colorado,ZIP Code 80471,Pinecliffe,Boulder,P.O. Box
Colorado,ZIP Code 80473,Rand,Jackson,P.O. Box
Colorado,ZIP Code 80474,Rollinsville,Gilpin,P.O. Box
Colorado,ZIP Code 80475,Shawnee,Park,P.O. Box
Colorado,ZIP Code 80476,Silver Plume,Clear Creek,P.O. Box
Colorado,ZIP Code 80477,Steamboat Springs,Routt,P.O. Box
Colorado,ZIP Code 80478,Tabernash,Grand,P.O. Box
Colorado,ZIP Code 80479,Toponas,Routt,P.O. Box
Colorado,ZIP Code 80480,Walden,Jackson,Standard
Colorado,ZIP Code 80481,Ward,Boulder,Standard
Colorado,ZIP Code 80482,Winter Park,Grand,P.O. Box
Colorado,ZIP Code 80483,Yampa,Routt,P.O. Box
Colorado,ZIP Code 80487,Steamboat Springs,Routt,Standard
Colorado,ZIP Code 80488,Steamboat Springs,Routt,P.O. Box
Colorado,ZIP Code 80497,Silverthorne,Summit,P.O. Box
Colorado,ZIP Code 80498,Silverthorne,Summit,Standard
Colorado,ZIP Code 80501,Longmont,Boulder,Standard
Colorado,ZIP Code 80502,Longmont,Boulder,P.O. Box
Colorado,ZIP Code 80503,Longmont,Boulder,Standard
Colorado,ZIP Code 80504,Longmont,Weld,Standard
Colorado,ZIP Code 80510,Allenspark,Boulder,Standard
Colorado,ZIP Code 80511,Estes Park,Larimer,P.O. Box
Colorado,ZIP Code 80512,Bellvue,Larimer,Standard
Colorado,ZIP Code 80513,Berthoud,Larimer,Standard
Colorado,ZIP Code 80514,Dacono,Weld,Standard
Colorado,ZIP Code 80515,Drake,Larimer,Standard
Colorado,ZIP Code 80516,Erie,Boulder,Standard
Colorado,ZIP Code 80517,Estes Park,Larimer,Standard
Colorado,ZIP Code 80520,Firestone,Weld,P.O. Box
Colorado,ZIP Code 80521,Fort Collins,Larimer,Standard
Colorado,ZIP Code 80522,Fort Collins,Larimer,P.O. Box
Colorado,ZIP Code 80523,Fort Collins,Larimer,Unique
Colorado,ZIP Code 80524,Fort Collins,Larimer,Standard
Colorado,ZIP Code 80525,Fort Collins,Larimer,Standard
Colorado,ZIP Code 80526,Fort Collins,Larimer,Standard
Colorado,ZIP Code 80527,Fort Collins,Larimer,P.O. Box
Colorado,ZIP Code 80528,Fort Collins,Larimer,Standard
Colorado,ZIP Code 80530,Frederick,Weld,Standard
Colorado,ZIP Code 80532,Glen Haven,Larimer,P.O. Box
Colorado,ZIP Code 80533,Hygiene,Boulder,P.O. Box
Colorado,ZIP Code 80534,Johnstown,Weld,Standard
Colorado,ZIP Code 80535,Laporte,Larimer,Standard
Colorado,ZIP Code 80536,Livermore,Larimer,Standard
Colorado,ZIP Code 80537,Loveland,Larimer,Standard
Colorado,ZIP Code 80538,Loveland,Larimer,Standard
Colorado,ZIP Code 80539,Loveland,Larimer,P.O. Box
Colorado,ZIP Code 80540,Lyons,Boulder,Standard
Colorado,ZIP Code 80541,Masonville,Larimer,P.O. Box
Colorado,ZIP Code 80542,Mead,Weld,Standard
