ZIP Code,City,County,Type
ZIP Code 35004,Moody,Saint Clair,Standard
ZIP Code 35005,Adamsville,Jefferson,Standard
ZIP Code 35006,Adger,Jefferson,Standard
ZIP Code 35007,Alabaster,Shelby,Standard
ZIP Code 35010,Alexander City,Tallapoosa,Standard
ZIP Code 35011,Alexander City,Tallapoosa,P.O. Box
ZIP Code 35013,Allgood,Blount,P.O. Box
ZIP Code 35014,Alpine,Talladega,Standard
ZIP Code 35015,Alton,Jefferson,P.O. Box
ZIP Code 35016,Arab,Marshall,Standard
ZIP Code 35019,Baileyton,Cullman,Standard
ZIP Code 35020,Bessemer,Jefferson,Standard
ZIP Code 35021,Bessemer,Jefferson,P.O. Box
ZIP Code 35022,Bessemer,Jefferson,Standard
ZIP Code 35023,Bessemer,Jefferson,Standard
ZIP Code 35031,Blountsville,Blount,Standard
ZIP Code 35032,Bon Air,Talladega,P.O. Box
ZIP Code 35033,Bremen,Cullman,Standard
ZIP Code 35034,Brent,Bibb,Standard
ZIP Code 35035,Brierfield,Bibb,Standard
ZIP Code 35036,Brookside,Jefferson,P.O. Box
ZIP Code 35038,Burnwell,Walker,P.O. Box
ZIP Code 35040,Calera,Shelby,Standard
ZIP Code 35042,Centreville,Bibb,Standard
ZIP Code 35043,Chelsea,Shelby,Standard
ZIP Code 35044,Childersburg,Talladega,Standard
ZIP Code 35045,Clanton,Chilton,Standard
ZIP Code 35046,Clanton,Chilton,Standard
ZIP Code 35048,Clay,Jefferson,P.O. Box
ZIP Code 35049,Cleveland,Blount,Standard
ZIP Code 35051,Columbiana,Shelby,Standard
ZIP Code 35052,Cook Springs,Saint Clair,P.O. Box
ZIP Code 35053,Crane Hill,Cullman,Standard
ZIP Code 35054,Cropwell,Saint Clair,Standard
ZIP Code 35055,Cullman,Cullman,Standard
ZIP Code 35056,Cullman,Cullman,P.O. Box
ZIP Code 35057,Cullman,Cullman,Standard
ZIP Code 35058,Cullman,Cullman,Standard
ZIP Code 35060,Docena,Jefferson,P.O. Box
ZIP Code 35061,Dolomite,Jefferson,Standard
ZIP Code 35062,Dora,Jefferson,Standard
ZIP Code 35063,Empire,Walker,Standard
ZIP Code 35064,Fairfield,Jefferson,Standard
ZIP Code 35068,Fultondale,Jefferson,Standard
ZIP Code 35070,Garden City,Cullman,P.O. Box
ZIP Code 35071,Gardendale,Jefferson,Standard
ZIP Code 35072,Goodwater,Coosa,Standard
ZIP Code 35073,Graysville,Jefferson,Standard
ZIP Code 35074,Green Pond,Bibb,P.O. Box
ZIP Code 35077,Hanceville,Cullman,Standard
ZIP Code 35078,Harpersville,Shelby,Standard
ZIP Code 35079,Hayden,Blount,Standard
ZIP Code 35080,Helena,Shelby,Standard
ZIP Code 35082,Hollins,Clay,P.O. Box
ZIP Code 35083,Holly Pond,Cullman,Standard
ZIP Code 35085,Jemison,Chilton,Standard
ZIP Code 35087,Joppa,Cullman,Standard
ZIP Code 35089,Kellyton,Coosa,Standard
ZIP Code 35091,Kimberly,Jefferson,Standard
ZIP Code 35094,Leeds,Jefferson,Standard
ZIP Code 35096,Lincoln,Talladega,Standard
ZIP Code 35097,Locust Fork,Blount,Standard
ZIP Code 35098,Logan,Cullman,Standard
ZIP Code 35111,Mc Calla,Jefferson,Standard
ZIP Code 35112,Margaret,Saint Clair,P.O. Box
ZIP Code 35114,Alabaster,Shelby,Standard
ZIP Code 35115,Montevallo,Shelby,Standard
ZIP Code 35116,Morris,Jefferson,Standard
ZIP Code 35117,Mount Olive,Jefferson,Standard
ZIP Code 35118,Mulga,Jefferson,Standard
ZIP Code 35119,New Castle,Jefferson,P.O. Box
ZIP Code 35120,Odenville,Saint Clair,Standard
ZIP Code 35121,Oneonta,Blount,Standard
ZIP Code 35123,Palmerdale,Jefferson,P.O. Box
ZIP Code 35124,Pelham,Shelby,Standard
ZIP Code 35125,Pell City,Saint Clair,Standard
ZIP Code 35126,Pinson,Jefferson,Standard
ZIP Code 35127,Pleasant Grove,Jefferson,Standard
ZIP Code 35128,Pell City,Saint Clair,Standard
ZIP Code 35130,Quinton,Walker,Standard
ZIP Code 35131,Ragland,Saint Clair,Standard
ZIP Code 35133,Remlap,Blount,Standard
ZIP Code 35135,Riverside,Saint Clair,Standard
ZIP Code 35136,Rockford,Coosa,Standard
ZIP Code 35137,Saginaw,Shelby,P.O. Box
ZIP Code 35139,Sayre,Jefferson,P.O. Box
ZIP Code 35142,Shannon,Jefferson,P.O. Box
ZIP Code 35143,Shelby,Shelby,Standard
ZIP Code 35144,Siluria,Shelby,P.O. Box
ZIP Code 35146,Springville,Saint Clair,Standard
ZIP Code 35147,Sterrett,Shelby,Standard
ZIP Code 35148,Sumiton,Walker,Standard
ZIP Code 35149,Sycamore,Talladega,P.O. Box
ZIP Code 35150,Sylacauga,Talladega,Standard
ZIP Code 35151,Sylacauga,Talladega,Standard
ZIP Code 35160,Talladega,Talladega,Standard
ZIP Code 35161,Talladega,Talladega,P.O. Box
ZIP Code 35171,Thorsby,Chilton,Standard
ZIP Code 35172,Trafford,Jefferson,Standard
ZIP Code 35173,Trussville,Jefferson,Standard
ZIP Code 35175,Union Grove,Marshall,Standard
ZIP Code 35176,Vandiver,Shelby,Standard
ZIP Code 35178,Vincent,Shelby,Standard
ZIP Code 35179,Vinemont,Cullman,Standard
ZIP Code 35180,Warrior,Jefferson,Standard
ZIP Code 35181,Watson,Jefferson,P.O. Box
