ZIP Code,City,County,Type
ZIP Code 99501,Anchorage,Anchorage,Standard
ZIP Code 99502,Anchorage,Anchorage,Standard
ZIP Code 99503,Anchorage,Anchorage,Standard
ZIP Code 99504,Anchorage,Anchorage,Standard
ZIP Code 99505,Jber,Anchorage,Standard
ZIP Code 99506,Jber,Anchorage,Standard
ZIP Code 99507,Anchorage,Anchorage,Standard
ZIP Code 99508,Anchorage,Anchorage,Standard
ZIP Code 99509,Anchorage,Anchorage,P.O. Box
ZIP Code 99510,Anchorage,Anchorage,P.O. Box
ZIP Code 99511,Anchorage,Anchorage,P.O. Box
ZIP Code 99513,Anchorage,Anchorage,Standard
ZIP Code 99514,Anchorage,Anchorage,P.O. Box
ZIP Code 99515,Anchorage,Anchorage,Standard
ZIP Code 99516,Anchorage,Anchorage,Standard
ZIP Code 99517,Anchorage,Anchorage,Standard
ZIP Code 99518,Anchorage,Anchorage,Standard
ZIP Code 99519,Anchorage,Anchorage,P.O. Box
ZIP Code 99520,Anchorage,Anchorage,P.O. Box
ZIP Code 99521,Anchorage,Anchorage,P.O. Box
ZIP Code 99522,Anchorage,Anchorage,P.O. Box
ZIP Code 99523,Anchorage,Anchorage,P.O. Box
ZIP Code 99524,Anchorage,Anchorage,P.O. Box
ZIP Code 99529,Anchorage,Anchorage,Standard
ZIP Code 99530,Anchorage,Anchorage,Standard
ZIP Code 99540,Indian,Anchorage,Standard
ZIP Code 99545,Kongiganak,Bethel,P.O. Box
ZIP Code 99546,Adak,Aleutians West,P.O. Box
ZIP Code 99547,Atka,Aleutians West,P.O. Box
ZIP Code 99548,Chignik Lake,Lake And Peninsula,P.O. Box
ZIP Code 99549,Port Heiden,Lake And Peninsula,P.O. Box
ZIP Code 99550,Port Lions,Kodiak Island,P.O. Box
ZIP Code 99551,Akiachak,Bethel,P.O. Box
ZIP Code 99552,Akiak,Bethel,P.O. Box
ZIP Code 99553,Akutan,Aleutians East,P.O. Box
ZIP Code 99554,Alakanuk,Kusilvak,P.O. Box
ZIP Code 99555,Aleknagik,Dillingham,P.O. Box
ZIP Code 99556,Anchor Point,Kenai Peninsula,Standard
ZIP Code 99557,Aniak,Bethel,P.O. Box
ZIP Code 99558,Anvik,Yukon Koyukuk,P.O. Box
ZIP Code 99559,Bethel,Bethel,P.O. Box
ZIP Code 99561,Chefornak,Bethel,P.O. Box
ZIP Code 99563,Chevak,Kusilvak,P.O. Box
ZIP Code 99564,Chignik,Lake And Peninsula,P.O. Box
ZIP Code 99565,Chignik Lagoon,Lake And Peninsula,P.O. Box
ZIP Code 99566,Chitina,Valdez Cordova,P.O. Box
ZIP Code 99567,Chugiak,Anchorage,Standard
ZIP Code 99568,Clam Gulch,Kenai Peninsula,Standard
ZIP Code 99569,Clarks Point,Dillingham,P.O. Box
ZIP Code 99571,Cold Bay,Aleutians East,P.O. Box
ZIP Code 99572,Cooper Landing,Kenai Peninsula,Standard
ZIP Code 99573,Copper Center,Valdez Cordova,Standard
ZIP Code 99574,Cordova,Valdez Cordova,P.O. Box
ZIP Code 99575,Crooked Creek,Bethel,P.O. Box
ZIP Code 99576,Dillingham,Dillingham,P.O. Box
ZIP Code 99577,Eagle River,Anchorage,Standard
ZIP Code 99578,Eek,Bethel,P.O. Box
ZIP Code 99579,Egegik,Lake And Peninsula,P.O. Box
ZIP Code 99580,Ekwok,Dillingham,P.O. Box
ZIP Code 99581,Emmonak,Kusilvak,P.O. Box
ZIP Code 99583,False Pass,Aleutians East,P.O. Box
ZIP Code 99585,Marshall,Kusilvak,P.O. Box
ZIP Code 99586,Gakona,Valdez Cordova,Standard
ZIP Code 99587,Girdwood,Anchorage,P.O. Box
ZIP Code 99588,Glennallen,Valdez Cordova,Standard
ZIP Code 99589,Goodnews Bay,Bethel,P.O. Box
ZIP Code 99590,Grayling,Yukon Koyukuk,P.O. Box
ZIP Code 99591,Saint George Island,Aleutians West,P.O. Box
ZIP Code 99599,Anchorage,Anchorage,Standard
ZIP Code 99602,Holy Cross,Yukon Koyukuk,P.O. Box
ZIP Code 99603,Homer,Kenai Peninsula,Standard
ZIP Code 99604,Hooper Bay,Kusilvak,P.O. Box
ZIP Code 99605,Hope,Kenai Peninsula,Standard
ZIP Code 99606,Iliamna,Lake And Peninsula,P.O. Box
ZIP Code 99607,Kalskag,Bethel,P.O. Box
ZIP Code 99608,Karluk,Kodiak Island,P.O. Box
ZIP Code 99609,Kasigluk,Bethel,P.O. Box
ZIP Code 99610,Kasilof,Kenai Peninsula,Standard
ZIP Code 99611,Kenai,Kenai Peninsula,Standard
ZIP Code 99612,King Cove,Aleutians East,P.O. Box
ZIP Code 99613,King Salmon,Bristol Bay,P.O. Box
