ZIP Code,City,County,Type
ZIP Code 85001,Phoenix,Maricopa,P.O. Box
ZIP Code 85002,Phoenix,Maricopa,P.O. Box
ZIP Code 85003,Phoenix,Maricopa,Standard
ZIP Code 85004,Phoenix,Maricopa,Standard
ZIP Code 85005,Phoenix,Maricopa,P.O. Box
ZIP Code 85006,Phoenix,Maricopa,Standard
ZIP Code 85007,Phoenix,Maricopa,Standard
ZIP Code 85008,Phoenix,Maricopa,Standard
ZIP Code 85009,Phoenix,Maricopa,Standard
ZIP Code 85010,Phoenix,Maricopa,P.O. Box
ZIP Code 85011,Phoenix,Maricopa,P.O. Box
ZIP Code 85012,Phoenix,Maricopa,Standard
ZIP Code 85013,Phoenix,Maricopa,Standard
ZIP Code 85014,Phoenix,Maricopa,Standard
ZIP Code 85015,Phoenix,Maricopa,Standard
ZIP Code 85016,Phoenix,Maricopa,Standard
ZIP Code 85017,Phoenix,Maricopa,Standard
ZIP Code 85018,Phoenix,Maricopa,Standard
ZIP Code 85019,Phoenix,Maricopa,Standard
ZIP Code 85020,Phoenix,Maricopa,Standard
ZIP Code 85021,Phoenix,Maricopa,Standard
ZIP Code 85022,Phoenix,Maricopa,Standard
ZIP Code 85023,Phoenix,Maricopa,Standard
ZIP Code 85024,Phoenix,Maricopa,Standard
ZIP Code 85026,Phoenix,Maricopa,Standard
ZIP Code 85027,Phoenix,Maricopa,Standard
ZIP Code 85028,Phoenix,Maricopa,Standard
ZIP Code 85029,Phoenix,Maricopa,Standard
ZIP Code 85030,Phoenix,Maricopa,P.O. Box
ZIP Code 85031,Phoenix,Maricopa,Standard
ZIP Code 85032,Phoenix,Maricopa,Standard
ZIP Code 85033,Phoenix,Maricopa,Standard
ZIP Code 85034,Phoenix,Maricopa,Standard
ZIP Code 85035,Phoenix,Maricopa,Standard
ZIP Code 85036,Phoenix,Maricopa,P.O. Box
ZIP Code 85037,Phoenix,Maricopa,Standard
ZIP Code 85038,Phoenix,Maricopa,P.O. Box
ZIP Code 85039,Phoenix,Maricopa,Standard
ZIP Code 85040,Phoenix,Maricopa,Standard
ZIP Code 85041,Phoenix,Maricopa,Standard
ZIP Code 85042,Phoenix,Maricopa,Standard
ZIP Code 85043,Phoenix,Maricopa,Standard
ZIP Code 85044,Phoenix,Maricopa,Standard
ZIP Code 85045,Phoenix,Maricopa,Standard
ZIP Code 85046,Phoenix,Maricopa,P.O. Box
ZIP Code 85048,Phoenix,Maricopa,Standard
ZIP Code 85050,Phoenix,Maricopa,Standard
ZIP Code 85051,Phoenix,Maricopa,Standard
