ZIP CODE,City,County,Type
ZIP Code 71601,Pine Bluff,Jefferson,Standard
ZIP Code 71602,White Hall,Jefferson,Standard
ZIP Code 71603,Pine Bluff,Jefferson,Standard
ZIP Code 71611,Pine Bluff,Jefferson,P.O. Box
ZIP Code 71612,White Hall,Jefferson,P.O. Box
ZIP Code 71613,Pine Bluff,Jefferson,P.O. Box
ZIP Code 71630,Arkansas City,Desha,P.O. Box
ZIP Code 71631,Banks,Bradley,Standard
ZIP Code 71635,Crossett,Ashley,Standard
ZIP Code 71638,Dermott,Chicot,Standard
ZIP Code 71639,Dumas,Desha,Standard
ZIP Code 71640,Eudora,Chicot,Standard
ZIP Code 71642,Fountain Hill,Ashley,Standard
ZIP Code 71643,Gould,Lincoln,Standard
ZIP Code 71644,Grady,Lincoln,Standard
ZIP Code 71646,Hamburg,Ashley,Standard
ZIP Code 71647,Hermitage,Bradley,Standard
ZIP Code 71651,Jersey,Bradley,Standard
ZIP Code 71652,Kingsland,Cleveland,Standard
ZIP Code 71653,Lake Village,Chicot,Standard
ZIP Code 71654,Mc Gehee,Desha,Standard
ZIP Code 71655,Monticello,Drew,Standard
ZIP Code 71656,Monticello,Drew,P.O. Box
ZIP Code 71657,Monticello,Drew,P.O. Box
ZIP Code 71658,Montrose,Ashley,Standard
ZIP Code 71659,Moscow,Jefferson,P.O. Box
ZIP Code 71660,New Edinburg,Cleveland,Standard
ZIP Code 71661,Parkdale,Ashley,Standard
ZIP Code 71662,Pickens,Desha,Standard
ZIP Code 71663,Portland,Ashley,Standard
ZIP Code 71665,Rison,Cleveland,Standard
ZIP Code 71666,Rohwer,Desha,P.O. Box
ZIP Code 71667,Star City,Lincoln,Standard
ZIP Code 71670,Tillar,Desha,Standard
ZIP Code 71671,Warren,Bradley,Standard
ZIP Code 71674,Watson,Desha,Standard
ZIP Code 71675,Wilmar,Drew,Standard
ZIP Code 71676,Wilmot,Ashley,Standard
ZIP Code 71677,Winchester,Drew,P.O. Box
ZIP Code 71678,Yorktown,Lincoln,P.O. Box
ZIP Code 71701,Camden,Ouachita,Standard
ZIP Code 71711,Camden,Ouachita,P.O. Box
ZIP Code 71720,Bearden,Ouachita,Standard
ZIP Code 71721,Beirne,Clark,P.O. Box
ZIP Code 71722,Bluff City,Nevada,Standard
ZIP Code 71724,Calion,Union,P.O. Box
ZIP Code 71725,Carthage,Dallas,Standard
ZIP Code 71726,Chidester,Ouachita,Standard
ZIP Code 71728,Curtis,Clark,P.O. Box
ZIP Code 71730,El Dorado,Union,Standard
ZIP Code 71731,El Dorado,Union,P.O. Box
ZIP Code 71740,Emerson,Columbia,Standard
ZIP Code 71742,Fordyce,Dallas,Standard
ZIP Code 71743,Gurdon,Clark,Standard
ZIP Code 71744,Hampton,Calhoun,Standard
ZIP Code 71745,Harrell,Calhoun,P.O. Box
ZIP Code 71747,Huttig,Union,Standard
ZIP Code 71748,Ivan,Dallas,P.O. Box
ZIP Code 71749,Junction City,Union,Standard
ZIP Code 71750,Lawson,Union,P.O. Box
ZIP Code 71751,Louann,Ouachita,Standard
ZIP Code 71752,Mc Neil,Columbia,Standard
ZIP Code 71753,Magnolia,Columbia,Standard
ZIP Code 71754,Magnolia,Columbia,P.O. Box
ZIP Code 71758,Mount Holly,Union,Standard
ZIP Code 71759,Norphlet,Union,P.O. Box
ZIP Code 71762,Smackover,Union,Standard
ZIP Code 71763,Sparkman,Dallas,Standard
ZIP Code 71764,Stephens,Ouachita,Standard
ZIP Code 71765,Strong,Union,Standard
ZIP Code 71766,Thornton,Calhoun,Standard
ZIP Code 71770,Waldo,Columbia,Standard
ZIP Code 71772,Whelen Springs,Clark,P.O. Box
ZIP Code 71801,Hope,Hempstead,Standard
ZIP Code 71802,Hope,Hempstead,P.O. Box
ZIP Code 71820,Alleene,Little River,P.O. Box
ZIP Code 71822,Ashdown,Little River,Standard
ZIP Code 71823,Ben Lomond,Sevier,P.O. Box
ZIP Code 71825,Blevins,Hempstead,Standard
ZIP Code 71826,Bradley,Lafayette,Standard
ZIP Code 71827,Buckner,Lafayette,Standard
ZIP Code 71828,Cale,Nevada,P.O. Box
ZIP Code 71831,Columbus,Hempstead,Standard
ZIP Code 71832,De Queen,Sevier,Standard
ZIP Code 71833,Dierks,Howard,Standard
ZIP Code 71834,Doddridge,Miller,Standard
ZIP Code 71835,Emmet,Nevada,Standard
ZIP Code 71836,Foreman,Little River,Standard
ZIP Code 71837,Fouke,Miller,Standard
ZIP Code 71838,Fulton,Hempstead,Standard
ZIP Code 71839,Garland City,Miller,Standard
ZIP Code 71840,Genoa,Miller,P.O. Box
ZIP Code 71841,Gillham,Sevier,Standard
ZIP Code 71842,Horatio,Sevier,Standard
ZIP Code 71845,Lewisville,Lafayette,Standard
ZIP Code 71846,Lockesburg,Sevier,Standard
ZIP Code 71847,Mc Caskill,Hempstead,Standard
