State,ZIP Code,City,County,Type
Georgia,ZIP Code 30002,Avondale Estates,Dekalb,Standard
Georgia,ZIP Code 30003,Norcross,Gwinnett,P.O. Box
Georgia,ZIP Code 30004,Alpharetta,Fulton,Standard
Georgia,ZIP Code 30005,Alpharetta,Fulton,Standard
Georgia,ZIP Code 30006,Marietta,Cobb,P.O. Box
Georgia,ZIP Code 30007,Marietta,Cobb,P.O. Box
Georgia,ZIP Code 30008,Marietta,Cobb,Standard
Georgia,ZIP Code 30009,Alpharetta,Fulton,Standard
Georgia,ZIP Code 30010,Norcross,Gwinnett,P.O. Box
Georgia,ZIP Code 30011,Auburn,Barrow,Standard
Georgia,ZIP Code 30012,Conyers,Rockdale,Standard
Georgia,ZIP Code 30013,Conyers,Rockdale,Standard
Georgia,ZIP Code 30014,Covington,Newton,Standard
Georgia,ZIP Code 30015,Covington,Newton,P.O. Box
Georgia,ZIP Code 30016,Covington,Newton,Standard
Georgia,ZIP Code 30017,Grayson,Gwinnett,Standard
Georgia,ZIP Code 30018,Jersey,Walton,P.O. Box
Georgia,ZIP Code 30019,Dacula,Gwinnett,Standard
Georgia,ZIP Code 30021,Clarkston,Dekalb,Standard
Georgia,ZIP Code 30022,Alpharetta,Fulton,Standard
Georgia,ZIP Code 30023,Alpharetta,Fulton,P.O. Box
Georgia,ZIP Code 30024,Suwanee,Gwinnett,Standard
Georgia,ZIP Code 30025,Social Circle,Walton,Standard
Georgia,ZIP Code 30026,North Metro,Gwinnett,P.O. Box
Georgia,ZIP Code 30028,Cumming,Forsyth,Standard
Georgia,ZIP Code 30029,North Metro,Gwinnett,P.O. Box
Georgia,ZIP Code 30030,Decatur,Dekalb,Standard
Georgia,ZIP Code 30031,Decatur,Dekalb,P.O. Box
Georgia,ZIP Code 30032,Decatur,Dekalb,Standard
Georgia,ZIP Code 30033,Decatur,Dekalb,Standard
Georgia,ZIP Code 30034,Decatur,Dekalb,Standard
Georgia,ZIP Code 30035,Decatur,Dekalb,Standard
Georgia,ZIP Code 30036,Decatur,Dekalb,P.O. Box
Georgia,ZIP Code 30037,Decatur,Dekalb,P.O. Box
Georgia,ZIP Code 30038,Lithonia,Dekalb,Standard
Georgia,ZIP Code 30039,Snellville,Gwinnett,Standard
Georgia,ZIP Code 30040,Cumming,Forsyth,Standard
Georgia,ZIP Code 30041,Cumming,Forsyth,Standard
Georgia,ZIP Code 30042,Lawrenceville,Gwinnett,P.O. Box
Georgia,ZIP Code 30043,Lawrenceville,Gwinnett,Standard
Georgia,ZIP Code 30044,Lawrenceville,Gwinnett,Standard
Georgia,ZIP Code 30045,Lawrenceville,Gwinnett,Standard
Georgia,ZIP Code 30046,Lawrenceville,Gwinnett,Standard
Georgia,ZIP Code 30047,Lilburn,Gwinnett,Standard
Georgia,ZIP Code 30048,Lilburn,Gwinnett,P.O. Box
Georgia,ZIP Code 30049,Lawrenceville,Gwinnett,P.O. Box
Georgia,ZIP Code 30052,Loganville,Walton,Standard
Georgia,ZIP Code 30054,Oxford,Newton,Standard
Georgia,ZIP Code 30055,Mansfield,Newton,Standard
Georgia,ZIP Code 30056,Newborn,Newton,Standard
Georgia,ZIP Code 30058,Lithonia,Dekalb,Standard
Georgia,ZIP Code 30060,Marietta,Cobb,Standard
Georgia,ZIP Code 30061,Marietta,Cobb,P.O. Box
Georgia,ZIP Code 30062,Marietta,Cobb,Standard
Georgia,ZIP Code 30063,Marietta,Cobb,Unique
Georgia,ZIP Code 30064,Marietta,Cobb,Standard
Georgia,ZIP Code 30065,Marietta,Cobb,P.O. Box
Georgia,ZIP Code 30066,Marietta,Cobb,Standard
Georgia,ZIP Code 30067,Marietta,Cobb,Standard
Georgia,ZIP Code 30068,Marietta,Cobb,Standard
Georgia,ZIP Code 30069,Marietta,Cobb,Unique
Georgia,ZIP Code 30070,Porterdale,Newton,P.O. Box
Georgia,ZIP Code 30071,Norcross,Gwinnett,Standard
Georgia,ZIP Code 30072,Pine Lake,Dekalb,P.O. Box
Georgia,ZIP Code 30074,Redan,Dekalb,P.O. Box
Georgia,ZIP Code 30075,Roswell,Fulton,Standard
Georgia,ZIP Code 30076,Roswell,Fulton,Standard
Georgia,ZIP Code 30077,Roswell,Fulton,P.O. Box
Georgia,ZIP Code 30078,Snellville,Gwinnett,Standard
Georgia,ZIP Code 30079,Scottdale,Dekalb,Standard
Georgia,ZIP Code 30080,Smyrna,Cobb,Standard
Georgia,ZIP Code 30081,Smyrna,Cobb,P.O. Box
Georgia,ZIP Code 30082,Smyrna,Cobb,Standard
Georgia,ZIP Code 30083,Stone Mountain,Dekalb,Standard
Georgia,ZIP Code 30084,Tucker,Dekalb,Standard
Georgia,ZIP Code 30085,Tucker,Dekalb,P.O. Box
