State,ZIP Code,City,County,Type
Hawaii,ZIP Code 96701,Aiea,Honolulu,Standard
Hawaii,ZIP Code 96703,Anahola,Kauai,P.O. Box
Hawaii,ZIP Code 96704,Captain Cook,Hawaii,Standard
Hawaii,ZIP Code 96705,Eleele,Kauai,P.O. Box
Hawaii,ZIP Code 96706,Ewa Beach,Honolulu,Standard
Hawaii,ZIP Code 96707,Kapolei,Honolulu,Standard
Hawaii,ZIP Code 96708,Haiku,Maui,Standard
Hawaii,ZIP Code 96709,Kapolei,Honolulu,P.O. Box
Hawaii,ZIP Code 96710,Hakalau,Hawaii,P.O. Box
Hawaii,ZIP Code 96712,Haleiwa,Honolulu,Standard
Hawaii,ZIP Code 96713,Hana,Maui,Standard
Hawaii,ZIP Code 96714,Hanalei,Kauai,P.O. Box
Hawaii,ZIP Code 96715,Hanamaulu,Kauai,P.O. Box
Hawaii,ZIP Code 96716,Hanapepe,Kauai,P.O. Box
Hawaii,ZIP Code 96717,Hauula,Honolulu,Standard
Hawaii,ZIP Code 96718,Hawaii National Park,Hawaii,P.O. Box
Hawaii,ZIP Code 96719,Hawi,Hawaii,P.O. Box
Hawaii,ZIP Code 96720,Hilo,Hawaii,Standard
Hawaii,ZIP Code 96721,Hilo,Hawaii,P.O. Box
Hawaii,ZIP Code 96722,Princeville,Kauai,Standard
Hawaii,ZIP Code 96725,Holualoa,Hawaii,Standard
Hawaii,ZIP Code 96726,Honaunau,Hawaii,P.O. Box
Hawaii,ZIP Code 96727,Honokaa,Hawaii,Standard
Hawaii,ZIP Code 96728,Honomu,Hawaii,P.O. Box
Hawaii,ZIP Code 96729,Hoolehua,Maui,P.O. Box
Hawaii,ZIP Code 96730,Kaaawa,Honolulu,Standard
Hawaii,ZIP Code 96731,Kahuku,Honolulu,Standard
Hawaii,ZIP Code 96732,Kahului,Maui,Standard
Hawaii,ZIP Code 96733,Kahului,Maui,P.O. Box
Hawaii,ZIP Code 96734,Kailua,Honolulu,Standard
Hawaii,ZIP Code 96737,Ocean View,Hawaii,P.O. Box
Hawaii,ZIP Code 96738,Waikoloa,Hawaii,Standard
Hawaii,ZIP Code 96739,Keauhou,Hawaii,P.O. Box
Hawaii,ZIP Code 96740,Kailua Kona,Hawaii,Standard
Hawaii,ZIP Code 96741,Kalaheo,Kauai,Standard
Hawaii,ZIP Code 96742,Kalaupapa,Kalawao,P.O. Box
Hawaii,ZIP Code 96743,Kamuela,Hawaii,Standard
Hawaii,ZIP Code 96744,Kaneohe,Honolulu,Standard
Hawaii,ZIP Code 96745,Kailua Kona,Hawaii,P.O. Box
Hawaii,ZIP Code 96746,Kapaa,Kauai,Standard
Hawaii,ZIP Code 96747,Kaumakani,Kauai,P.O. Box
Hawaii,ZIP Code 96748,Kaunakakai,Maui,Standard
Hawaii,ZIP Code 96749,Keaau,Hawaii,Standard
Hawaii,ZIP Code 96750,Kealakekua,Hawaii,Standard
Hawaii,ZIP Code 96751,Kealia,Kauai,P.O. Box
Hawaii,ZIP Code 96752,Kekaha,Kauai,P.O. Box
Hawaii,ZIP Code 96753,Kihei,Maui,Standard
Hawaii,ZIP Code 96754,Kilauea,Kauai,Standard
Hawaii,ZIP Code 96755,Kapaau,Hawaii,P.O. Box
Hawaii,ZIP Code 96756,Koloa,Kauai,Standard
Hawaii,ZIP Code 96757,Kualapuu,Maui,P.O. Box
Hawaii,ZIP Code 96759,Kunia,Honolulu,P.O. Box
Hawaii,ZIP Code 96760,Kurtistown,Hawaii,Standard
Hawaii,ZIP Code 96761,Lahaina,Maui,Standard
Hawaii,ZIP Code 96762,Laie,Honolulu,Standard
Hawaii,ZIP Code 96763,Lanai City,Maui,P.O. Box
Hawaii,ZIP Code 96764,Laupahoehoe,Hawaii,P.O. Box
Hawaii,ZIP Code 96765,Lawai,Kauai,P.O. Box
Hawaii,ZIP Code 96766,Lihue,Kauai,Standard
Hawaii,ZIP Code 96767,Lahaina,Maui,P.O. Box
Hawaii,ZIP Code 96768,Makawao,Maui,Standard
Hawaii,ZIP Code 96769,Makaweli,Kauai,P.O. Box
Hawaii,ZIP Code 96770,Maunaloa,Maui,P.O. Box
Hawaii,ZIP Code 96771,Mountain View,Hawaii,Standard
Hawaii,ZIP Code 96772,Naalehu,Hawaii,P.O. Box
Hawaii,ZIP Code 96773,Ninole,Hawaii,P.O. Box
Hawaii,ZIP Code 96774,Ookala,Hawaii,P.O. Box
Hawaii,ZIP Code 96776,Paauilo,Hawaii,P.O. Box
Hawaii,ZIP Code 96777,Pahala,Hawaii,P.O. Box
Hawaii,ZIP Code 96778,Pahoa,Hawaii,Standard
Hawaii,ZIP Code 96779,Paia,Maui,Standard
Hawaii,ZIP Code 96780,Papaaloa,Hawaii,P.O. Box
Hawaii,ZIP Code 96781,Papaikou,Hawaii,Standard
Hawaii,ZIP Code 96782,Pearl City,Honolulu,Standard
Hawaii,ZIP Code 96783,Pepeekeo,Hawaii,Standard
Hawaii,ZIP Code 96784,Puunene,Maui,P.O. Box
Hawaii,ZIP Code 96785,Volcano,Hawaii,P.O. Box
Hawaii,ZIP Code 96786,Wahiawa,Honolulu,Standard
Hawaii,ZIP Code 96788,Pukalani,Maui,P.O. Box
Hawaii,ZIP Code 96789,Mililani,Honolulu,Standard
Hawaii,ZIP Code 96790,Kula,Maui,Standard
Hawaii,ZIP Code 96791,Waialua,Honolulu,Standard
Hawaii,ZIP Code 96792,Waianae,Honolulu,Standard
Hawaii,ZIP Code 96793,Wailuku,Maui,Standard
Hawaii,ZIP Code 96795,Waimanalo,Honolulu,Standard
Hawaii,ZIP Code 96796,Waimea,Kauai,P.O. Box
Hawaii,ZIP Code 96797,Waipahu,Honolulu,Standard
Hawaii,ZIP Code 96801,Honolulu,Honolulu,P.O. Box
Hawaii,ZIP Code 96802,Honolulu,Honolulu,P.O. Box
Hawaii,ZIP Code 96803,Honolulu,Honolulu,P.O. Box
Hawaii,ZIP Code 96804,Honolulu,Honolulu,P.O. Box
Hawaii,ZIP Code 96805,Honolulu,Honolulu,P.O. Box
Hawaii,ZIP Code 96806,Honolulu,Honolulu,P.O. Box
Hawaii,ZIP Code 96807,Honolulu,Honolulu,P.O. Box
Hawaii,ZIP Code 96808,Honolulu,Honolulu,P.O. Box
Hawaii,ZIP Code 96809,Honolulu,Honolulu,P.O. Box
Hawaii,ZIP Code 96810,Honolulu,Honolulu,P.O. Box
Hawaii,ZIP Code 96811,Honolulu,Honolulu,P.O. Box
Hawaii,ZIP Code 96812,Honolulu,Honolulu,P.O. Box
Hawaii,ZIP Code 96813,Honolulu,Honolulu,Standard
Hawaii,ZIP Code 96814,Honolulu,Honolulu,Standard
Hawaii,ZIP Code 96815,Honolulu,Honolulu,Standard
Hawaii,ZIP Code 96816,Honolulu,Honolulu,Standard
Hawaii,ZIP Code 96817,Honolulu,Honolulu,Standard
Hawaii,ZIP Code 96818,Honolulu,Honolulu,Standard
Hawaii,ZIP Code 96819,Honolulu,Honolulu,Standard
