State,ZIP Code,City,County,Type
Illinois,ZIP Code 60002,Antioch,Lake,Standard
Illinois,ZIP Code 60004,Arlington Heights,Cook,Standard
Illinois,ZIP Code 60005,Arlington Heights,Cook,Standard
Illinois,ZIP Code 60006,Arlington Heights,Cook,P.O. Box
Illinois,ZIP Code 60007,Elk Grove Village,Cook,Standard
Illinois,ZIP Code 60008,Rolling Meadows,Cook,Standard
Illinois,ZIP Code 60009,Elk Grove Village,Cook,P.O. Box
Illinois,ZIP Code 60010,Barrington,Lake,Standard
Illinois,ZIP Code 60011,Barrington,Lake,P.O. Box
Illinois,ZIP Code 60012,Crystal Lake,McHenry,Standard
Illinois,ZIP Code 60013,Cary,McHenry,Standard
Illinois,ZIP Code 60014,Crystal Lake,McHenry,Standard
Illinois,ZIP Code 60015,Deerfield,Lake,Standard
Illinois,ZIP Code 60016,Des Plaines,Cook,Standard
Illinois,ZIP Code 60017,Des Plaines,Cook,P.O. Box
Illinois,ZIP Code 60018,Des Plaines,Cook,Standard
Illinois,ZIP Code 60019,Des Plaines,Cook,Unique
Illinois,ZIP Code 60020,Fox Lake,Lake,Standard
Illinois,ZIP Code 60021,Fox River Grove,McHenry,Standard
Illinois,ZIP Code 60022,Glencoe,Cook,Standard
Illinois,ZIP Code 60025,Glenview,Cook,Standard
Illinois,ZIP Code 60026,Glenview,Cook,Standard
Illinois,ZIP Code 60029,Golf,Cook,P.O. Box
Illinois,ZIP Code 60030,Grayslake,Lake,Standard
Illinois,ZIP Code 60031,Gurnee,Lake,Standard
Illinois,ZIP Code 60033,Harvard,McHenry,Standard
Illinois,ZIP Code 60034,Hebron,McHenry,Standard
Illinois,ZIP Code 60035,Highland Park,Lake,Standard
Illinois,ZIP Code 60037,Fort Sheridan,Lake,Standard
Illinois,ZIP Code 60038,Palatine,Cook,Unique
Illinois,ZIP Code 60039,Crystal Lake,McHenry,P.O. Box
Illinois,ZIP Code 60040,Highwood,Lake,Standard
Illinois,ZIP Code 60041,Ingleside,Lake,Standard
Illinois,ZIP Code 60042,Island Lake,Lake,Standard
Illinois,ZIP Code 60043,Kenilworth,Cook,Standard
Illinois,ZIP Code 60044,Lake Bluff,Lake,Standard
Illinois,ZIP Code 60045,Lake Forest,Lake,Standard
Illinois,ZIP Code 60046,Lake Villa,Lake,Standard
Illinois,ZIP Code 60047,Lake Zurich,Lake,Standard
Illinois,ZIP Code 60048,Libertyville,Lake,Standard
Illinois,ZIP Code 60050,McHenry,McHenry,Standard
Illinois,ZIP Code 60051,McHenry,McHenry,Standard
Illinois,ZIP Code 60053,Morton Grove,Cook,Standard
Illinois,ZIP Code 60055,Palatine,Cook,Unique
Illinois,ZIP Code 60056,Mount Prospect,Cook,Standard
Illinois,ZIP Code 60060,Mundelein,Lake,Standard
Illinois,ZIP Code 60061,Vernon Hills,Lake,Standard
Illinois,ZIP Code 60062,Northbrook,Cook,Standard
Illinois,ZIP Code 60064,North Chicago,Lake,Standard
