State,ZIP Code,City,County,Type
Indiana,ZIP Code 46001,Alexandria,Madison,Standard
Indiana,ZIP Code 46011,Anderson,Madison,Standard
Indiana,ZIP Code 46012,Anderson,Madison,Standard
Indiana,ZIP Code 46013,Anderson,Madison,Standard
Indiana,ZIP Code 46014,Anderson,Madison,P.O. Box
Indiana,ZIP Code 46015,Anderson,Madison,P.O. Box
Indiana,ZIP Code 46016,Anderson,Madison,Standard
Indiana,ZIP Code 46017,Anderson,Madison,Standard
Indiana,ZIP Code 46018,Anderson,Madison,P.O. Box
Indiana,ZIP Code 46030,Arcadia,Hamilton,Standard
Indiana,ZIP Code 46031,Atlanta,Hamilton,Standard
Indiana,ZIP Code 46032,Carmel,Hamilton,Standard
Indiana,ZIP Code 46033,Carmel,Hamilton,Standard
Indiana,ZIP Code 46034,Cicero,Hamilton,Standard
Indiana,ZIP Code 46035,Colfax,Clinton,Standard
Indiana,ZIP Code 46036,Elwood,Madison,Standard
Indiana,ZIP Code 46037,Fishers,Hamilton,Standard
Indiana,ZIP Code 46038,Fishers,Hamilton,Standard
Indiana,ZIP Code 46039,Forest,Clinton,Standard
Indiana,ZIP Code 46040,Fortville,Hancock,Standard
Indiana,ZIP Code 46041,Frankfort,Clinton,Standard
Indiana,ZIP Code 46044,Frankton,Madison,Standard
Indiana,ZIP Code 46045,Goldsmith,Tipton,P.O. Box
Indiana,ZIP Code 46047,Hobbs,Tipton,P.O. Box
Indiana,ZIP Code 46048,Ingalls,Madison,Standard
Indiana,ZIP Code 46049,Kempton,Tipton,Standard
Indiana,ZIP Code 46050,Kirklin,Clinton,Standard
Indiana,ZIP Code 46051,Lapel,Madison,Standard
Indiana,ZIP Code 46052,Lebanon,Boone,Standard
Indiana,ZIP Code 46055,Mccordsville,Hancock,Standard
Indiana,ZIP Code 46056,Markleville,Madison,Standard
Indiana,ZIP Code 46057,Michigantown,Clinton,Standard
Indiana,ZIP Code 46058,Mulberry,Clinton,Standard
Indiana,ZIP Code 46060,Noblesville,Hamilton,Standard
Indiana,ZIP Code 46061,Noblesville,Hamilton,P.O. Box
Indiana,ZIP Code 46062,Noblesville,Hamilton,Standard
Indiana,ZIP Code 46063,Orestes,Madison,P.O. Box
Indiana,ZIP Code 46064,Pendleton,Madison,Standard
Indiana,ZIP Code 46065,Rossville,Clinton,Standard
Indiana,ZIP Code 46067,Sedalia,Clinton,P.O. Box
Indiana,ZIP Code 46068,Sharpsville,Tipton,Standard
Indiana,ZIP Code 46069,Sheridan,Hamilton,Standard
Indiana,ZIP Code 46070,Summitville,Madison,Standard
Indiana,ZIP Code 46071,Thorntown,Boone,Standard
Indiana,ZIP Code 46072,Tipton,Tipton,Standard
Indiana,ZIP Code 46074,Westfield,Hamilton,Standard
Indiana,ZIP Code 46075,Whitestown,Boone,Standard
Indiana,ZIP Code 46076,Windfall,Tipton,Standard
Indiana,ZIP Code 46077,Zionsville,Boone,Standard
Indiana,ZIP Code 46082,Carmel,Hamilton,P.O. Box
Indiana,ZIP Code 46085,Fishers,Hamilton,Unique
Indiana,ZIP Code 46102,Advance,Boone,P.O. Box
Indiana,ZIP Code 46103,Amo,Hendricks,P.O. Box
Indiana,ZIP Code 46104,Arlington,Rush,Standard
Indiana,ZIP Code 46105,Bainbridge,Putnam,Standard
Indiana,ZIP Code 46106,Bargersville,Johnson,Standard
Indiana,ZIP Code 46107,Beech Grove,Marion,Standard
