State,ZIP Code,City,County,Type
Iowa,ZIP Code 50001,Ackworth,Warren,Standard
Iowa,ZIP Code 50002,Adair,Adair,Standard
Iowa,ZIP Code 50003,Adel,Dallas,Standard
Iowa,ZIP Code 50005,Albion,Marshall,Standard
Iowa,ZIP Code 50006,Alden,Hardin,Standard
Iowa,ZIP Code 50007,Alleman,Polk,Standard
Iowa,ZIP Code 50008,Allerton,Wayne,Standard
Iowa,ZIP Code 50009,Altoona,Polk,Standard
Iowa,ZIP Code 50010,Ames,Story,Standard
Iowa,ZIP Code 50011,Ames,Story,Unique
Iowa,ZIP Code 50012,Ames,Story,Unique
Iowa,ZIP Code 50013,Ames,Story,Unique
Iowa,ZIP Code 50014,Ames,Story,Standard
Iowa,ZIP Code 50020,Anita,Cass,Standard
Iowa,ZIP Code 50021,Ankeny,Polk,Standard
Iowa,ZIP Code 50022,Atlantic,Cass,Standard
Iowa,ZIP Code 50023,Ankeny,Polk,Standard
Iowa,ZIP Code 50025,Audubon,Audubon,Standard
Iowa,ZIP Code 50026,Bagley,Guthrie,Standard
Iowa,ZIP Code 50027,Barnes City,Mahaska,Standard
Iowa,ZIP Code 50028,Baxter,Jasper,Standard
Iowa,ZIP Code 50029,Bayard,Guthrie,Standard
Iowa,ZIP Code 50031,Beaver,Boone,P.O. Box
Iowa,ZIP Code 50032,Berwick,Polk,P.O. Box
Iowa,ZIP Code 50033,Bevington,Madison,Standard
Iowa,ZIP Code 50034,Blairsburg,Hamilton,Standard
Iowa,ZIP Code 50035,Bondurant,Polk,Standard
Iowa,ZIP Code 50036,Boone,Boone,Standard
Iowa,ZIP Code 50037,Boone,Boone,P.O. Box
Iowa,ZIP Code 50038,Booneville,Dallas,Standard
Iowa,ZIP Code 50039,Bouton,Dallas,Standard
Iowa,ZIP Code 50040,Boxholm,Boone,P.O. Box
Iowa,ZIP Code 50041,Bradford,Franklin,P.O. Box
Iowa,ZIP Code 50042,Brayton,Audubon,Standard
Iowa,ZIP Code 50043,Buckeye,Hardin,P.O. Box
Iowa,ZIP Code 50044,Bussey,Marion,Standard
Iowa,ZIP Code 50046,Cambridge,Story,Standard
Iowa,ZIP Code 50047,Carlisle,Warren,Standard
Iowa,ZIP Code 50048,Casey,Guthrie,Standard
Iowa,ZIP Code 50049,Chariton,Lucas,Standard
Iowa,ZIP Code 50050,Churdan,Greene,Standard
Iowa,ZIP Code 50051,Clemons,Marshall,Standard
Iowa,ZIP Code 50052,Clio,Wayne,Standard
Iowa,ZIP Code 50054,Colfax,Jasper,Standard
Iowa,ZIP Code 50055,Collins,Story,Standard
Iowa,ZIP Code 50056,Colo,Story,Standard
Iowa,ZIP Code 50057,Columbia,Marion,Standard
Iowa,ZIP Code 50058,Coon Rapids,Carroll,Standard
Iowa,ZIP Code 50059,Cooper,Greene,Standard
Iowa,ZIP Code 50060,Corydon,Wayne,Standard
Iowa,ZIP Code 50061,Cumming,Warren,Standard
Iowa,ZIP Code 50062,Melcher Dallas,Marion,Standard
Iowa,ZIP Code 50063,Dallas Center,Dallas,Standard
Iowa,ZIP Code 50064,Dana,Greene,Standard
Iowa,ZIP Code 50065,Davis City,Decatur,Standard
Iowa,ZIP Code 50066,Dawson,Dallas,Standard
Iowa,ZIP Code 50067,Decatur,Decatur,Standard
Iowa,ZIP Code 50068,Derby,Lucas,Standard
Iowa,ZIP Code 50069,De Soto,Dallas,Standard
Iowa,ZIP Code 50070,Dexter,Dallas,Standard
Iowa,ZIP Code 50071,Dows,Wright,Standard
Iowa,ZIP Code 50072,Earlham,Madison,Standard
Iowa,ZIP Code 50073,Elkhart,Polk,Standard
Iowa,ZIP Code 50074,Ellston,Ringgold,Standard
Iowa,ZIP Code 50075,Ellsworth,Hamilton,Standard
Iowa,ZIP Code 50076,Exira,Audubon,Standard
