State,ZIP Code,City,County,Type
Kentucky,ZIP Code 40003,Bagdad,Shelby,Standard
Kentucky,ZIP Code 40004,Bardstown,Nelson,Standard
Kentucky,ZIP Code 40006,Bedford,Trimble,Standard
Kentucky,ZIP Code 40007,Bethlehem,Henry,Standard
Kentucky,ZIP Code 40008,Bloomfield,Nelson,Standard
Kentucky,ZIP Code 40009,Bradfordsville,Marion,Standard
Kentucky,ZIP Code 40010,Buckner,Oldham,Standard
Kentucky,ZIP Code 40011,Campbellsburg,Henry,Standard
Kentucky,ZIP Code 40012,Chaplin,Nelson,Standard
Kentucky,ZIP Code 40013,Coxs Creek,Nelson,Standard
Kentucky,ZIP Code 40014,Crestwood,Oldham,Standard
Kentucky,ZIP Code 40018,Eastwood,Jefferson,P.O. Box
Kentucky,ZIP Code 40019,Eminence,Henry,Standard
Kentucky,ZIP Code 40020,Fairfield,Nelson,P.O. Box
Kentucky,ZIP Code 40022,Finchville,Shelby,Standard
Kentucky,ZIP Code 40023,Fisherville,Jefferson,Standard
Kentucky,ZIP Code 40025,Glenview,Jefferson,P.O. Box
Kentucky,ZIP Code 40026,Goshen,Oldham,Standard
Kentucky,ZIP Code 40027,Harrods Creek,Jefferson,P.O. Box
Kentucky,ZIP Code 40031,La Grange,Oldham,Standard
Kentucky,ZIP Code 40032,La Grange,Oldham,Unique
Kentucky,ZIP Code 40033,Lebanon,Marion,Standard
Kentucky,ZIP Code 40036,Lockport,Henry,Standard
Kentucky,ZIP Code 40037,Loretto,Marion,Standard
Kentucky,ZIP Code 40040,Mackville,Washington,Standard
Kentucky,ZIP Code 40041,Masonic Home,Jefferson,Standard
Kentucky,ZIP Code 40045,Milton,Trimble,Standard
Kentucky,ZIP Code 40046,Mount Eden,Spencer,Standard
Kentucky,ZIP Code 40047,Mount Washington,Bullitt,Standard
Kentucky,ZIP Code 40048,Nazareth,Nelson,P.O. Box
Kentucky,ZIP Code 40049,Nerinx,Marion,P.O. Box
Kentucky,ZIP Code 40050,New Castle,Henry,Standard
Kentucky,ZIP Code 40051,New Haven,Nelson,Standard
Kentucky,ZIP Code 40052,New Hope,Nelson,Standard
Kentucky,ZIP Code 40055,Pendleton,Henry,Standard
Kentucky,ZIP Code 40056,Pewee Valley,Oldham,Standard
Kentucky,ZIP Code 40057,Pleasureville,Henry,Standard
Kentucky,ZIP Code 40058,Port Royal,Henry,P.O. Box
Kentucky,ZIP Code 40059,Prospect,Jefferson,Standard
Kentucky,ZIP Code 40060,Raywick,Marion,Standard
Kentucky,ZIP Code 40061,Saint Catharine,Washington,P.O. Box
Kentucky,ZIP Code 40062,Saint Francis,Marion,Standard
Kentucky,ZIP Code 40063,Saint Mary,Marion,P.O. Box
Kentucky,ZIP Code 40065,Shelbyville,Shelby,Standard
Kentucky,ZIP Code 40066,Shelbyville,Shelby,P.O. Box
Kentucky,ZIP Code 40067,Simpsonville,Shelby,Standard
Kentucky,ZIP Code 40068,Smithfield,Henry,Standard
Kentucky,ZIP Code 40069,Springfield,Washington,Standard
Kentucky,ZIP Code 40070,Sulphur,Henry,Standard
Kentucky,ZIP Code 40071,Taylorsville,Spencer,Standard
Kentucky,ZIP Code 40075,Turners Station,Henry,Standard
Kentucky,ZIP Code 40076,Waddy,Shelby,Standard
Kentucky,ZIP Code 40077,Westport,Oldham,Standard
Kentucky,ZIP Code 40078,Willisburg,Washington,Standard
Kentucky,ZIP Code 40104,Battletown,Meade,Standard
Kentucky,ZIP Code 40107,Boston,Nelson,Standard
Kentucky,ZIP Code 40108,Brandenburg,Meade,Standard
Kentucky,ZIP Code 40109,Brooks,Bullitt,Standard
Kentucky,ZIP Code 40110,Clermont,Bullitt,P.O. Box
Kentucky,ZIP Code 40111,Cloverport,Breckinridge,Standard
Kentucky,ZIP Code 40115,Custer,Breckinridge,Standard
Kentucky,ZIP Code 40117,Ekron,Meade,Standard
Kentucky,ZIP Code 40118,Fairdale,Jefferson,Standard
Kentucky,ZIP Code 40119,Falls Of Rough,Grayson,Standard
Kentucky,ZIP Code 40121,Fort Knox,Hardin,Standard
Kentucky,ZIP Code 40122,Fort Knox,Hardin,Standard
Kentucky,ZIP Code 40129,Hillview,Bullitt,P.O. Box
Kentucky,ZIP Code 40140,Garfield,Breckinridge,Standard
Kentucky,ZIP Code 40142,Guston,Meade,Standard
Kentucky,ZIP Code 40143,Hardinsburg,Breckinridge,Standard
Kentucky,ZIP Code 40144,Harned,Breckinridge,Standard
Kentucky,ZIP Code 40145,Hudson,Breckinridge,Standard
Kentucky,ZIP Code 40146,Irvington,Breckinridge,Standard
Kentucky,ZIP Code 40150,Lebanon Junction,Bullitt,Standard
Kentucky,ZIP Code 40152,Mc Daniels,Breckinridge,Standard
Kentucky,ZIP Code 40153,Mc Quady,Breckinridge,P.O. Box
Kentucky,ZIP Code 40155,Muldraugh,Meade,Standard
Kentucky,ZIP Code 40157,Payneville,Meade,Standard
Kentucky,ZIP Code 40159,Radcliff,Hardin,P.O. Box
Kentucky,ZIP Code 40160,Radcliff,Hardin,Standard
Kentucky,ZIP Code 40161,Rhodelia,Meade,Standard
Kentucky,ZIP Code 40162,Rineyville,Hardin,Standard
Kentucky,ZIP Code 40165,Shepherdsville,Bullitt,Standard
Kentucky,ZIP Code 40166,Shepherdsville,Bullitt,Unique
Kentucky,ZIP Code 40170,Stephensport,Breckinridge,Standard
Kentucky,ZIP Code 40171,Union Star,Breckinridge,Standard
Kentucky,ZIP Code 40175,Vine Grove,Hardin,Standard
Kentucky,ZIP Code 40176,Webster,Breckinridge,Standard
Kentucky,ZIP Code 40177,West Point,Hardin,Standard
Kentucky,ZIP Code 40178,Westview,Breckinridge,Standard
Kentucky,ZIP Code 40201,Louisville,Jefferson,P.O. Box
Kentucky,ZIP Code 40202,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40203,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40204,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40205,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40206,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40207,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40208,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40209,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40210,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40211,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40212,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40213,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40214,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40215,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40216,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40217,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40218,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40219,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40220,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40221,Louisville,Jefferson,P.O. Box
Kentucky,ZIP Code 40222,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40223,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40224,Louisville,Jefferson,P.O. Box
Kentucky,ZIP Code 40225,Louisville,Jefferson,Unique
Kentucky,ZIP Code 40228,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40229,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40231,Louisville,Jefferson,P.O. Box
Kentucky,ZIP Code 40232,Louisville,Jefferson,P.O. Box
Kentucky,ZIP Code 40233,Louisville,Jefferson,P.O. Box
Kentucky,ZIP Code 40241,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40242,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40243,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40245,Louisville,Jefferson,Standard
Kentucky,ZIP Code 40250,Louisville,Jefferson,P.O. Box
Kentucky,ZIP Code 40251,Louisville,Jefferson,P.O. Box
Kentucky,ZIP Code 40252,Louisville,Jefferson,P.O. Box
Kentucky,ZIP Code 40253,Louisville,Jefferson,P.O. Box
Kentucky,ZIP Code 40255,Louisville,Jefferson,P.O. Box
Kentucky,ZIP Code 40256,Louisville,Jefferson,P.O. Box
Kentucky,ZIP Code 40257,Louisville,Jefferson,P.O. Box
