State,ZIP Code,City,County,Type
Louisiana,ZIP Code 70001,Metairie,Jefferson,Standard
Louisiana,ZIP Code 70002,Metairie,Jefferson,Standard
Louisiana,ZIP Code 70003,Metairie,Jefferson,Standard
Louisiana,ZIP Code 70004,Metairie,Jefferson,P.O. Box
Louisiana,ZIP Code 70005,Metairie,Jefferson,Standard
Louisiana,ZIP Code 70006,Metairie,Jefferson,Standard
Louisiana,ZIP Code 70009,Metairie,Jefferson,P.O. Box
Louisiana,ZIP Code 70010,Metairie,Jefferson,P.O. Box
Louisiana,ZIP Code 70011,Metairie,Jefferson,P.O. Box
Louisiana,ZIP Code 70030,Des Allemands,Saint Charles,Standard
Louisiana,ZIP Code 70031,Ama,Saint Charles,Standard
Louisiana,ZIP Code 70032,Arabi,Saint Bernard,Standard
Louisiana,ZIP Code 70033,Metairie,Jefferson,P.O. Box
Louisiana,ZIP Code 70036,Barataria,Jefferson,Standard
Louisiana,ZIP Code 70037,Belle Chasse,Plaquemines,Standard
Louisiana,ZIP Code 70038,Boothville,Plaquemines,P.O. Box
Louisiana,ZIP Code 70039,Boutte,Saint Charles,Standard
Louisiana,ZIP Code 70040,Braithwaite,Plaquemines,Standard
Louisiana,ZIP Code 70041,Buras,Plaquemines,Standard
Louisiana,ZIP Code 70043,Chalmette,Saint Bernard,Standard
Louisiana,ZIP Code 70044,Chalmette,Saint Bernard,P.O. Box
Louisiana,ZIP Code 70047,Destrehan,Saint Charles,Standard
Louisiana,ZIP Code 70049,Edgard,St John The Baptist,Standard
Louisiana,ZIP Code 70050,Empire,Plaquemines,P.O. Box
Louisiana,ZIP Code 70051,Garyville,St John The Baptist,Standard
Louisiana,ZIP Code 70052,Gramercy,Saint James,Standard
Louisiana,ZIP Code 70053,Gretna,Jefferson,Standard
Louisiana,ZIP Code 70054,Gretna,Jefferson,P.O. Box
Louisiana,ZIP Code 70055,Metairie,Jefferson,P.O. Box
Louisiana,ZIP Code 70056,Gretna,Jefferson,Standard
Louisiana,ZIP Code 70057,Hahnville,Saint Charles,Standard
Louisiana,ZIP Code 70058,Harvey,Jefferson,Standard
Louisiana,ZIP Code 70059,Harvey,Jefferson,P.O. Box
Louisiana,ZIP Code 70060,Metairie,Jefferson,Unique
Louisiana,ZIP Code 70062,Kenner,Jefferson,Standard
Louisiana,ZIP Code 70063,Kenner,Jefferson,P.O. Box
Louisiana,ZIP Code 70064,Kenner,Jefferson,P.O. Box
Louisiana,ZIP Code 70065,Kenner,Jefferson,Standard
Louisiana,ZIP Code 70067,Lafitte,Jefferson,Standard
Louisiana,ZIP Code 70068,La Place,St John The Baptist,Standard
Louisiana,ZIP Code 70069,La Place,St John The Baptist,P.O. Box
Louisiana,ZIP Code 70070,Luling,Saint Charles,Standard
Louisiana,ZIP Code 70071,Lutcher,Saint James,Standard
Louisiana,ZIP Code 70072,Marrero,Jefferson,Standard
Louisiana,ZIP Code 70073,Marrero,Jefferson,P.O. Box
Louisiana,ZIP Code 70075,Meraux,Saint Bernard,Standard
Louisiana,ZIP Code 70076,Mount Airy,St John The Baptist,Standard
Louisiana,ZIP Code 70078,New Sarpy,Saint Charles,P.O. Box
Louisiana,ZIP Code 70079,Norco,Saint Charles,Standard
Louisiana,ZIP Code 70080,Paradis,Saint Charles,Standard
Louisiana,ZIP Code 70081,Pilottown,Plaquemines,P.O. Box
Louisiana,ZIP Code 70082,Pointe A La Hache,Plaquemines,P.O. Box
Louisiana,ZIP Code 70083,Port Sulphur,Plaquemines,Standard
Louisiana,ZIP Code 70084,Reserve,St John The Baptist,Standard
Louisiana,ZIP Code 70085,Saint Bernard,Saint Bernard,Standard
Louisiana,ZIP Code 70086,Saint James,Saint James,Standard
Louisiana,ZIP Code 70087,Saint Rose,Saint Charles,Standard
Louisiana,ZIP Code 70090,Vacherie,Saint James,Standard
Louisiana,ZIP Code 70091,Venice,Plaquemines,Standard
Louisiana,ZIP Code 70092,Violet,Saint Bernard,Standard
Louisiana,ZIP Code 70093,Belle Chasse,Plaquemines,P.O. Box
Louisiana,ZIP Code 70094,Westwego,Jefferson,Standard
Louisiana,ZIP Code 70096,Westwego,Jefferson,P.O. Box
Louisiana,ZIP Code 70097,Kenner,Jefferson,P.O. Box
Louisiana,ZIP Code 70112,New Orleans,Orleans,Standard
Louisiana,ZIP Code 70113,New Orleans,Orleans,Standard
Louisiana,ZIP Code 70114,New Orleans,Orleans,Standard
Louisiana,ZIP Code 70115,New Orleans,Orleans,Standard
Louisiana,ZIP Code 70116,New Orleans,Orleans,Standard
Louisiana,ZIP Code 70117,New Orleans,Orleans,Standard
Louisiana,ZIP Code 70118,New Orleans,Orleans,Standard
Louisiana,ZIP Code 70119,New Orleans,Orleans,Standard
Louisiana,ZIP Code 70121,New Orleans,Jefferson,Standard
Louisiana,ZIP Code 70122,New Orleans,Orleans,Standard
Louisiana,ZIP Code 70123,New Orleans,Jefferson,Standard
Louisiana,ZIP Code 70124,New Orleans,Orleans,Standard
Louisiana,ZIP Code 70125,New Orleans,Orleans,Standard
Louisiana,ZIP Code 70126,New Orleans,Orleans,Standard
