State,ZIP Code,City,County,Type
Maine,ZIP Code 03901,Berwick,York,Standard
Maine,ZIP Code 03902,Cape Neddick,York,Standard
Maine,ZIP Code 03903,Eliot,York,Standard
Maine,ZIP Code 03904,Kittery,York,Standard
Maine,ZIP Code 03905,Kittery Point,York,Standard
Maine,ZIP Code 03906,North Berwick,York,Standard
Maine,ZIP Code 03907,Ogunquit,York,Standard
Maine,ZIP Code 03908,South Berwick,York,Standard
Maine,ZIP Code 03909,York,York,Standard
Maine,ZIP Code 03910,York Beach,York,P.O. Box
Maine,ZIP Code 03911,York Harbor,York,P.O. Box
Maine,ZIP Code 04001,Acton,York,Standard
Maine,ZIP Code 04002,Alfred,York,Standard
Maine,ZIP Code 04003,Bailey Island,Cumberland,Standard
Maine,ZIP Code 04004,Bar Mills,York,P.O. Box
Maine,ZIP Code 04005,Biddeford,York,Standard
Maine,ZIP Code 04006,Biddeford Pool,York,P.O. Box
Maine,ZIP Code 04007,Biddeford,York,P.O. Box
Maine,ZIP Code 04008,Bowdoinham,Sagadahoc,Standard
Maine,ZIP Code 04009,Bridgton,Cumberland,Standard
Maine,ZIP Code 04010,Brownfield,Oxford,Standard
Maine,ZIP Code 04011,Brunswick,Cumberland,Standard
Maine,ZIP Code 04013,Bustins Island,Cumberland,Standard
Maine,ZIP Code 04014,Cape Porpoise,York,P.O. Box
Maine,ZIP Code 04015,Casco,Cumberland,Standard
Maine,ZIP Code 04016,Center Lovell,Oxford,P.O. Box
Maine,ZIP Code 04017,Chebeague Island,Cumberland,Standard
Maine,ZIP Code 04019,Cliff Island,Cumberland,P.O. Box
Maine,ZIP Code 04020,Cornish,York,Standard
Maine,ZIP Code 04021,Cumberland Center,Cumberland,Standard
Maine,ZIP Code 04022,Denmark,Oxford,Standard
Maine,ZIP Code 04024,East Baldwin,Cumberland,Standard
Maine,ZIP Code 04027,Lebanon,York,Standard
Maine,ZIP Code 04028,East Parsonsfield,York,P.O. Box
Maine,ZIP Code 04029,Sebago,Cumberland,Standard
Maine,ZIP Code 04030,East Waterboro,York,Standard
Maine,ZIP Code 04032,Freeport,Cumberland,Standard
Maine,ZIP Code 04033,Freeport,Cumberland,Unique
Maine,ZIP Code 04034,Freeport,Cumberland,Unique
Maine,ZIP Code 04037,Fryeburg,Oxford,Standard
Maine,ZIP Code 04038,Gorham,Cumberland,Standard
Maine,ZIP Code 04039,Gray,Cumberland,Standard
Maine,ZIP Code 04040,Harrison,Cumberland,Standard
Maine,ZIP Code 04041,Hiram,Oxford,Standard
Maine,ZIP Code 04042,Hollis Center,York,Standard
Maine,ZIP Code 04043,Kennebunk,York,Standard
Maine,ZIP Code 04046,Kennebunkport,York,Standard
Maine,ZIP Code 04047,Parsonsfield,York,Standard
Maine,ZIP Code 04048,Limerick,York,Standard
Maine,ZIP Code 04049,Limington,York,Standard
Maine,ZIP Code 04050,Long Island,Cumberland,Standard
Maine,ZIP Code 04051,Lovell,Oxford,Standard
Maine,ZIP Code 04054,Moody,York,P.O. Box
Maine,ZIP Code 04055,Naples,Cumberland,Standard
Maine,ZIP Code 04056,Newfield,York,P.O. Box
Maine,ZIP Code 04057,North Bridgton,Cumberland,P.O. Box
Maine,ZIP Code 04061,North Waterboro,York,Standard
Maine,ZIP Code 04062,Windham,Cumberland,Standard
Maine,ZIP Code 04063,Ocean Park,York,P.O. Box
Maine,ZIP Code 04064,Old Orchard Beach,York,Standard
Maine,ZIP Code 04066,Orrs Island,Cumberland,Standard
Maine,ZIP Code 04068,Porter,Oxford,Standard
Maine,ZIP Code 04069,Pownal,Cumberland,Standard
Maine,ZIP Code 04070,Scarborough,Cumberland,P.O. Box
Maine,ZIP Code 04071,Raymond,Cumberland,Standard
Maine,ZIP Code 04072,Saco,York,Standard
Maine,ZIP Code 04073,Sanford,York,Standard
Maine,ZIP Code 04074,Scarborough,Cumberland,Standard
Maine,ZIP Code 04076,Shapleigh,York,Standard
Maine,ZIP Code 04077,South Casco,Cumberland,P.O. Box
Maine,ZIP Code 04078,South Freeport,Cumberland,P.O. Box
Maine,ZIP Code 04079,Harpswell,Cumberland,Standard
Maine,ZIP Code 04082,South Windham,Cumberland,P.O. Box
Maine,ZIP Code 04083,Springvale,York,Standard
Maine,ZIP Code 04084,Standish,Cumberland,Standard
Maine,ZIP Code 04085,Steep Falls,Cumberland,Standard
Maine,ZIP Code 04086,Topsham,Sagadahoc,Standard
Maine,ZIP Code 04087,Waterboro,York,Standard
Maine,ZIP Code 04088,Waterford,Oxford,Standard
Maine,ZIP Code 04090,Wells,York,Standard
Maine,ZIP Code 04091,West Baldwin,Cumberland,Standard
Maine,ZIP Code 04092,Westbrook,Cumberland,Standard
Maine,ZIP Code 04093,Buxton,York,Standard
Maine,ZIP Code 04094,West Kennebunk,York,P.O. Box
Maine,ZIP Code 04095,West Newfield,York,Standard
Maine,ZIP Code 04096,Yarmouth,Cumberland,Standard
Maine,ZIP Code 04097,North Yarmouth,Cumberland,Standard
Maine,ZIP Code 04098,Westbrook,Cumberland,P.O. Box
Maine,ZIP Code 04101,Portland,Cumberland,Standard
Maine,ZIP Code 04102,Portland,Cumberland,Standard
Maine,ZIP Code 04103,Portland,Cumberland,Standard
Maine,ZIP Code 04104,Portland,Cumberland,P.O. Box
Maine,ZIP Code 04105,Falmouth,Cumberland,Standard
Maine,ZIP Code 04106,South Portland,Cumberland,Standard
Maine,ZIP Code 04107,Cape Elizabeth,Cumberland,Standard
Maine,ZIP Code 04108,Peaks Island,Cumberland,Standard
Maine,ZIP Code 04109,Portland,Cumberland,Standard
Maine,ZIP Code 04110,Cumberland Foreside,Cumberland,Standard
Maine,ZIP Code 04112,Portland,Cumberland,P.O. Box
Maine,ZIP Code 04116,South Portland,Cumberland,P.O. Box
Maine,ZIP Code 04122,Portland,Cumberland,Unique
Maine,ZIP Code 04123,Portland,Cumberland,Unique
Maine,ZIP Code 04124,Portland,Cumberland,Unique
Maine,ZIP Code 04210,Auburn,Androscoggin,Standard
Maine,ZIP Code 04211,Auburn,Androscoggin,P.O. Box
Maine,ZIP Code 04212,Auburn,Androscoggin,P.O. Box
Maine,ZIP Code 04216,Andover,Oxford,Standard
Maine,ZIP Code 04217,Bethel,Oxford,Standard
Maine,ZIP Code 04219,Bryant Pond,Oxford,Standard
