State,ZIP Code,City,County,Type
Missouri,ZIP Code 63005,Chesterfield,Saint Louis,Standard
Missouri,ZIP Code 63006,Chesterfield,Saint Louis,P.O. Box
Missouri,ZIP Code 63010,Arnold,Jefferson,Standard
Missouri,ZIP Code 63011,Ballwin,Saint Louis,Standard
Missouri,ZIP Code 63012,Barnhart,Jefferson,Standard
Missouri,ZIP Code 63013,Beaufort,Franklin,Standard
Missouri,ZIP Code 63014,Berger,Franklin,Standard
Missouri,ZIP Code 63015,Catawissa,Franklin,Standard
Missouri,ZIP Code 63016,Cedar Hill,Jefferson,Standard
Missouri,ZIP Code 63017,Chesterfield,Saint Louis,Standard
Missouri,ZIP Code 63019,Crystal City,Jefferson,Standard
Missouri,ZIP Code 63020,De Soto,Jefferson,Standard
Missouri,ZIP Code 63021,Ballwin,Saint Louis,Standard
Missouri,ZIP Code 63022,Ballwin,Saint Louis,P.O. Box
Missouri,ZIP Code 63023,Dittmer,Jefferson,Standard
Missouri,ZIP Code 63024,Ballwin,Saint Louis,P.O. Box
Missouri,ZIP Code 63025,Eureka,Saint Louis,Standard
Missouri,ZIP Code 63026,Fenton,Saint Louis,Standard
Missouri,ZIP Code 63028,Festus,Jefferson,Standard
Missouri,ZIP Code 63030,Fletcher,Jefferson,Standard
Missouri,ZIP Code 63031,Florissant,Saint Louis,Standard
Missouri,ZIP Code 63032,Florissant,Saint Louis,P.O. Box
Missouri,ZIP Code 63033,Florissant,Saint Louis,Standard
Missouri,ZIP Code 63034,Florissant,Saint Louis,Standard
Missouri,ZIP Code 63036,French Village,Saint Francois,Standard
Missouri,ZIP Code 63037,Gerald,Franklin,Standard
Missouri,ZIP Code 63038,Wildwood,Saint Louis,Standard
Missouri,ZIP Code 63039,Gray Summit,Franklin,Standard
Missouri,ZIP Code 63040,Wildwood,Saint Louis,Standard
Missouri,ZIP Code 63041,Grubville,Franklin,Standard
Missouri,ZIP Code 63042,Hazelwood,Saint Louis,Standard
Missouri,ZIP Code 63043,Maryland Heights,Saint Louis,Standard
Missouri,ZIP Code 63044,Bridgeton,Saint Louis,Standard
Missouri,ZIP Code 63045,Earth City,Saint Louis,Standard
Missouri,ZIP Code 63047,Hematite,Jefferson,P.O. Box
Missouri,ZIP Code 63048,Herculaneum,Jefferson,Standard
Missouri,ZIP Code 63049,High Ridge,Jefferson,Standard
Missouri,ZIP Code 63050,Hillsboro,Jefferson,Standard
Missouri,ZIP Code 63051,House Springs,Jefferson,Standard
Missouri,ZIP Code 63052,Imperial,Jefferson,Standard
Missouri,ZIP Code 63053,Kimmswick,Jefferson,P.O. Box
Missouri,ZIP Code 63055,Labadie,Franklin,Standard
Missouri,ZIP Code 63056,Leslie,Franklin,Standard
Missouri,ZIP Code 63057,Liguori,Jefferson,P.O. Box
Missouri,ZIP Code 63060,Lonedell,Franklin,Standard
Missouri,ZIP Code 63061,Luebbering,Franklin,Standard
Missouri,ZIP Code 63065,Mapaville,Jefferson,P.O. Box
Missouri,ZIP Code 63066,Morse Mill,Jefferson,P.O. Box
Missouri,ZIP Code 63068,New Haven,Franklin,Standard
Missouri,ZIP Code 63069,Pacific,Franklin,Standard
Missouri,ZIP Code 63070,Pevely,Jefferson,Standard
Missouri,ZIP Code 63071,Richwoods,Washington,Standard
Missouri,ZIP Code 63072,Robertsville,Franklin,Standard
Missouri,ZIP Code 63073,Saint Albans,Franklin,P.O. Box
Missouri,ZIP Code 63074,Saint Ann,Saint Louis,Standard
