State,ZIP Code,City,County,Type
Nebraska,ZIP Code 68001,Abie,Butler,Standard
Nebraska,ZIP Code 68002,Arlington,Washington,Standard
Nebraska,ZIP Code 68003,Ashland,Saunders,Standard
Nebraska,ZIP Code 68004,Bancroft,Cuming,Standard
Nebraska,ZIP Code 68005,Bellevue,Sarpy,Standard
Nebraska,ZIP Code 68007,Bennington,Douglas,Standard
Nebraska,ZIP Code 68008,Blair,Washington,Standard
Nebraska,ZIP Code 68010,Boys Town,Douglas,P.O. Box
Nebraska,ZIP Code 68014,Bruno,Butler,Standard
Nebraska,ZIP Code 68015,Cedar Bluffs,Saunders,Standard
Nebraska,ZIP Code 68016,Cedar Creek,Cass,P.O. Box
Nebraska,ZIP Code 68017,Ceresco,Saunders,Standard
Nebraska,ZIP Code 68018,Colon,Saunders,Standard
Nebraska,ZIP Code 68019,Craig,Burt,Standard
Nebraska,ZIP Code 68020,Decatur,Burt,Standard
Nebraska,ZIP Code 68022,Elkhorn,Douglas,Standard
Nebraska,ZIP Code 68023,Fort Calhoun,Washington,Standard
Nebraska,ZIP Code 68025,Fremont,Dodge,Standard
Nebraska,ZIP Code 68026,Fremont,Dodge,P.O. Box
Nebraska,ZIP Code 68028,Gretna,Sarpy,Standard
Nebraska,ZIP Code 68029,Herman,Washington,Standard
Nebraska,ZIP Code 68030,Homer,Dakota,Standard
Nebraska,ZIP Code 68031,Hooper,Dodge,Standard
Nebraska,ZIP Code 68033,Ithaca,Saunders,Standard
Nebraska,ZIP Code 68034,Kennard,Washington,Standard
Nebraska,ZIP Code 68036,Linwood,Butler,Standard
Nebraska,ZIP Code 68037,Louisville,Cass,Standard
Nebraska,ZIP Code 68038,Lyons,Burt,Standard
Nebraska,ZIP Code 68039,Macy,Thurston,Standard
Nebraska,ZIP Code 68040,Malmo,Saunders,Standard
Nebraska,ZIP Code 68041,Mead,Saunders,Standard
Nebraska,ZIP Code 68042,Memphis,Saunders,Standard
Nebraska,ZIP Code 68044,Nickerson,Dodge,Standard
Nebraska,ZIP Code 68045,Oakland,Burt,Standard
Nebraska,ZIP Code 68046,Papillion,Sarpy,Standard
Nebraska,ZIP Code 68047,Pender,Thurston,Standard
Nebraska,ZIP Code 68048,Plattsmouth,Cass,Standard
Nebraska,ZIP Code 68050,Prague,Saunders,Standard
Nebraska,ZIP Code 68055,Rosalie,Thurston,Standard
Nebraska,ZIP Code 68056,St Columbans,Sarpy,Standard
Nebraska,ZIP Code 68057,Scribner,Dodge,Standard
Nebraska,ZIP Code 68058,South Bend,Cass,P.O. Box
Nebraska,ZIP Code 68059,Springfield,Sarpy,Standard
Nebraska,ZIP Code 68061,Tekamah,Burt,Standard
Nebraska,ZIP Code 68062,Thurston,Thurston,Standard
Nebraska,ZIP Code 68063,Uehling,Dodge,P.O. Box
Nebraska,ZIP Code 68064,Valley,Douglas,Standard
Nebraska,ZIP Code 68065,Valparaiso,Saunders,Standard
Nebraska,ZIP Code 68066,Wahoo,Saunders,Standard
Nebraska,ZIP Code 68067,Walthill,Thurston,Standard
Nebraska,ZIP Code 68068,Washington,Washington,Standard
Nebraska,ZIP Code 68069,Waterloo,Douglas,Standard
Nebraska,ZIP Code 68070,Weston,Saunders,Standard
Nebraska,ZIP Code 68071,Winnebago,Thurston,Standard
Nebraska,ZIP Code 68072,Winslow,Dodge,P.O. Box
Nebraska,ZIP Code 68073,Yutan,Saunders,Standard
Nebraska,ZIP Code 68101,Omaha,Douglas,P.O. Box
Nebraska,ZIP Code 68102,Omaha,Douglas,Standard
Nebraska,ZIP Code 68103,Omaha,Douglas,P.O. Box
Nebraska,ZIP Code 68104,Omaha,Douglas,Standard
Nebraska,ZIP Code 68105,Omaha,Douglas,Standard
Nebraska,ZIP Code 68106,Omaha,Douglas,Standard
Nebraska,ZIP Code 68107,Omaha,Douglas,Standard
Nebraska,ZIP Code 68108,Omaha,Douglas,Standard
Nebraska,ZIP Code 68109,Omaha,Douglas,P.O. Box
Nebraska,ZIP Code 68110,Omaha,Douglas,Standard
Nebraska,ZIP Code 68111,Omaha,Douglas,Standard
Nebraska,ZIP Code 68112,Omaha,Douglas,Standard
Nebraska,ZIP Code 68113,Offutt AFB,Sarpy,Standard
Nebraska,ZIP Code 68114,Omaha,Douglas,Standard
Nebraska,ZIP Code 68116,Omaha,Douglas,Standard
Nebraska,ZIP Code 68117,Omaha,Douglas,Standard
Nebraska,ZIP Code 68118,Omaha,Douglas,Standard
Nebraska,ZIP Code 68119,Omaha,Douglas,P.O. Box
Nebraska,ZIP Code 68122,Omaha,Douglas,Standard
Nebraska,ZIP Code 68123,Bellevue,Sarpy,Standard
Nebraska,ZIP Code 68124,Omaha,Douglas,Standard
Nebraska,ZIP Code 68127,Omaha,Douglas,Standard
Nebraska,ZIP Code 68128,La Vista,Sarpy,Standard
Nebraska,ZIP Code 68130,Omaha,Douglas,Standard
Nebraska,ZIP Code 68131,Omaha,Douglas,Standard
Nebraska,ZIP Code 68132,Omaha,Douglas,Standard
Nebraska,ZIP Code 68133,Papillion,Sarpy,Standard
Nebraska,ZIP Code 68134,Omaha,Douglas,Standard
Nebraska,ZIP Code 68135,Omaha,Douglas,Standard
Nebraska,ZIP Code 68136,Omaha,Sarpy,Standard
Nebraska,ZIP Code 68137,Omaha,Douglas,Standard
Nebraska,ZIP Code 68138,Omaha,Sarpy,Standard
Nebraska,ZIP Code 68139,Omaha,Douglas,P.O. Box
Nebraska,ZIP Code 68142,Omaha,Douglas,Standard
Nebraska,ZIP Code 68144,Omaha,Douglas,Standard
Nebraska,ZIP Code 68145,Omaha,Douglas,P.O. Box
Nebraska,ZIP Code 68147,Bellevue,Sarpy,Standard
Nebraska,ZIP Code 68152,Omaha,Douglas,Standard
Nebraska,ZIP Code 68154,Omaha,Douglas,Standard
Nebraska,ZIP Code 68157,Omaha,Sarpy,Standard
Nebraska,ZIP Code 68164,Omaha,Douglas,Standard
Nebraska,ZIP Code 68172,Omaha,Douglas,Unique
Nebraska,ZIP Code 68175,Omaha,Douglas,Unique
Nebraska,ZIP Code 68176,Omaha,Douglas,Standard
Nebraska,ZIP Code 68178,Omaha,Douglas,Unique
Nebraska,ZIP Code 68179,Omaha,Douglas,Unique
Nebraska,ZIP Code 68180,Omaha,Douglas,Unique
Nebraska,ZIP Code 68182,Omaha,Douglas,Unique
Nebraska,ZIP Code 68183,Omaha,Douglas,Unique
Nebraska,ZIP Code 68197,Omaha,Douglas,Unique
Nebraska,ZIP Code 68198,Omaha,Douglas,Unique
Nebraska,ZIP Code 68301,Adams,Gage,Standard
Nebraska,ZIP Code 68303,Alexandria,Thayer,Standard
Nebraska,ZIP Code 68304,Alvo,Cass,Standard
Nebraska,ZIP Code 68305,Auburn,Nemaha,Standard
Nebraska,ZIP Code 68307,Avoca,Cass,Standard
Nebraska,ZIP Code 68309,Barneston,Gage,Standard
Nebraska,ZIP Code 68310,Beatrice,Gage,Standard
Nebraska,ZIP Code 68313,Beaver Crossing,Seward,Standard
Nebraska,ZIP Code 68314,Bee,Seward,Standard
Nebraska,ZIP Code 68315,Belvidere,Thayer,Standard
Nebraska,ZIP Code 68316,Benedict,York,Standard
Nebraska,ZIP Code 68317,Bennet,Lancaster,Standard
Nebraska,ZIP Code 68318,Blue Springs,Gage,Standard
Nebraska,ZIP Code 68319,Bradshaw,York,Standard
Nebraska,ZIP Code 68320,Brock,Nemaha,Standard
