State,ZIP Code,City,County,Type
Nevada,ZIP Code 88901,The Lakes,Clark,Unique
Nevada,ZIP Code 88905,The Lakes,Clark,Unique
Nevada,ZIP Code 89001,Alamo,Lincoln,Standard
Nevada,ZIP Code 89002,Henderson,Clark,Standard
Nevada,ZIP Code 89003,Beatty,Nye,P.O. Box
Nevada,ZIP Code 89004,Blue Diamond,Clark,P.O. Box
Nevada,ZIP Code 89005,Boulder City,Clark,Standard
Nevada,ZIP Code 89006,Boulder City,Clark,P.O. Box
Nevada,ZIP Code 89007,Bunkerville,Clark,P.O. Box
Nevada,ZIP Code 89008,Caliente,Lincoln,Standard
Nevada,ZIP Code 89009,Henderson,Clark,P.O. Box
Nevada,ZIP Code 89010,Dyer,Esmeralda,Standard
Nevada,ZIP Code 89011,Henderson,Clark,Standard
Nevada,ZIP Code 89012,Henderson,Clark,Standard
Nevada,ZIP Code 89013,Goldfield,Esmeralda,Standard
Nevada,ZIP Code 89014,Henderson,Clark,Standard
Nevada,ZIP Code 89015,Henderson,Clark,Standard
Nevada,ZIP Code 89016,Henderson,Clark,P.O. Box
Nevada,ZIP Code 89017,Hiko,Lincoln,Standard
Nevada,ZIP Code 89018,Indian Springs,Clark,P.O. Box
Nevada,ZIP Code 89019,Jean,Clark,Standard
Nevada,ZIP Code 89020,Amargosa Valley,Nye,Standard
Nevada,ZIP Code 89021,Logandale,Clark,P.O. Box
Nevada,ZIP Code 89022,Manhattan,Nye,P.O. Box
Nevada,ZIP Code 89023,Mercury,Nye,P.O. Box
Nevada,ZIP Code 89024,Mesquite,Clark,P.O. Box
Nevada,ZIP Code 89025,Moapa,Clark,P.O. Box
Nevada,ZIP Code 89026,Jean,Clark,Unique
Nevada,ZIP Code 89027,Mesquite,Clark,Standard
Nevada,ZIP Code 89028,Laughlin,Clark,P.O. Box
Nevada,ZIP Code 89029,Laughlin,Clark,Standard
Nevada,ZIP Code 89030,North Las Vegas,Clark,Standard
Nevada,ZIP Code 89031,North Las Vegas,Clark,Standard
Nevada,ZIP Code 89032,North Las Vegas,Clark,Standard
Nevada,ZIP Code 89033,North Las Vegas,Clark,Standard
Nevada,ZIP Code 89034,Mesquite,Clark,Standard
Nevada,ZIP Code 89036,North Las Vegas,Clark,P.O. Box
Nevada,ZIP Code 89037,Coyote Springs,Clark,P.O. Box
Nevada,ZIP Code 89039,Cal Nev Ari,Clark,Standard
Nevada,ZIP Code 89040,Overton,Clark,Standard
Nevada,ZIP Code 89041,Pahrump,Nye,P.O. Box
Nevada,ZIP Code 89042,Panaca,Lincoln,P.O. Box
Nevada,ZIP Code 89043,Pioche,Lincoln,Standard
Nevada,ZIP Code 89044,Henderson,Clark,Standard
Nevada,ZIP Code 89045,Round Mountain,Nye,Standard
Nevada,ZIP Code 89046,Searchlight,Clark,Standard
Nevada,ZIP Code 89047,Silverpeak,Esmeralda,P.O. Box
Nevada,ZIP Code 89048,Pahrump,Nye,Standard
Nevada,ZIP Code 89049,Tonopah,Nye,Standard
Nevada,ZIP Code 89052,Henderson,Clark,Standard
Nevada,ZIP Code 89053,Henderson,Clark,P.O. Box
Nevada,ZIP Code 89054,Sloan,Clark,Standard
Nevada,ZIP Code 89060,Pahrump,Nye,Standard
Nevada,ZIP Code 89061,Pahrump,Nye,Standard
Nevada,ZIP Code 89067,Coyote Springs,Clark,Standard
Nevada,ZIP Code 89070,Indian Springs,Clark,Unique
Nevada,ZIP Code 89074,Henderson,Clark,Standard
Nevada,ZIP Code 89077,Henderson,Clark,P.O. Box
Nevada,ZIP Code 89081,North Las Vegas,Clark,Standard
Nevada,ZIP Code 89084,North Las Vegas,Clark,Standard
Nevada,ZIP Code 89085,North Las Vegas,Clark,Standard
Nevada,ZIP Code 89086,North Las Vegas,Clark,Standard
Nevada,ZIP Code 89087,North Las Vegas,Clark,Standard
Nevada,ZIP Code 89101,Las Vegas,Clark,Standard
Nevada,ZIP Code 89102,Las Vegas,Clark,Standard
Nevada,ZIP Code 89103,Las Vegas,Clark,Standard
Nevada,ZIP Code 89104,Las Vegas,Clark,Standard
Nevada,ZIP Code 89105,Las Vegas,Clark,P.O. Box
Nevada,ZIP Code 89106,Las Vegas,Clark,Standard
Nevada,ZIP Code 89107,Las Vegas,Clark,Standard
Nevada,ZIP Code 89108,Las Vegas,Clark,Standard
Nevada,ZIP Code 89109,Las Vegas,Clark,Standard
Nevada,ZIP Code 89110,Las Vegas,Clark,Standard
Nevada,ZIP Code 89111,Las Vegas,Clark,P.O. Box
Nevada,ZIP Code 89112,Las Vegas,Clark,P.O. Box
Nevada,ZIP Code 89113,Las Vegas,Clark,Standard
Nevada,ZIP Code 89114,Las Vegas,Clark,P.O. Box
Nevada,ZIP Code 89115,Las Vegas,Clark,Standard
Nevada,ZIP Code 89116,Las Vegas,Clark,P.O. Box
Nevada,ZIP Code 89117,Las Vegas,Clark,Standard
Nevada,ZIP Code 89118,Las Vegas,Clark,Standard
Nevada,ZIP Code 89119,Las Vegas,Clark,Standard
Nevada,ZIP Code 89120,Las Vegas,Clark,Standard
Nevada,ZIP Code 89121,Las Vegas,Clark,Standard
Nevada,ZIP Code 89122,Las Vegas,Clark,Standard
Nevada,ZIP Code 89123,Las Vegas,Clark,Standard
Nevada,ZIP Code 89124,Las Vegas,Clark,Standard
