State,ZIP Code,City,County,Type
New Hampshire,ZIP Code 03031,Amherst,Hillsborough,Standard
New Hampshire,ZIP Code 03032,Auburn,Rockingham,Standard
New Hampshire,ZIP Code 03033,Brookline,Hillsborough,Standard
New Hampshire,ZIP Code 03034,Candia,Rockingham,Standard
New Hampshire,ZIP Code 03036,Chester,Rockingham,Standard
New Hampshire,ZIP Code 03037,Deerfield,Rockingham,Standard
New Hampshire,ZIP Code 03038,Derry,Rockingham,Standard
New Hampshire,ZIP Code 03040,East Candia,Rockingham,P.O. Box
New Hampshire,ZIP Code 03041,East Derry,Rockingham,P.O. Box
New Hampshire,ZIP Code 03042,Epping,Rockingham,Standard
New Hampshire,ZIP Code 03043,Francestown,Hillsborough,Standard
New Hampshire,ZIP Code 03044,Fremont,Rockingham,Standard
New Hampshire,ZIP Code 03045,Goffstown,Hillsborough,Standard
New Hampshire,ZIP Code 03046,Dunbarton,Merrimack,Standard
New Hampshire,ZIP Code 03047,Greenfield,Hillsborough,Standard
New Hampshire,ZIP Code 03048,Greenville,Hillsborough,Standard
New Hampshire,ZIP Code 03049,Hollis,Hillsborough,Standard
New Hampshire,ZIP Code 03051,Hudson,Hillsborough,Standard
New Hampshire,ZIP Code 03052,Litchfield,Hillsborough,Standard
New Hampshire,ZIP Code 03053,Londonderry,Rockingham,Standard
New Hampshire,ZIP Code 03054,Merrimack,Hillsborough,Standard
New Hampshire,ZIP Code 03055,Milford,Hillsborough,Standard
New Hampshire,ZIP Code 03057,Mont Vernon,Hillsborough,Standard
New Hampshire,ZIP Code 03060,Nashua,Hillsborough,Standard
New Hampshire,ZIP Code 03061,Nashua,Hillsborough,P.O. Box
New Hampshire,ZIP Code 03062,Nashua,Hillsborough,Standard
New Hampshire,ZIP Code 03063,Nashua,Hillsborough,Standard
New Hampshire,ZIP Code 03064,Nashua,Hillsborough,Standard
New Hampshire,ZIP Code 03070,New Boston,Hillsborough,Standard
New Hampshire,ZIP Code 03071,New Ipswich,Hillsborough,Standard
New Hampshire,ZIP Code 03073,North Salem,Rockingham,P.O. Box
New Hampshire,ZIP Code 03076,Pelham,Hillsborough,Standard
New Hampshire,ZIP Code 03077,Raymond,Rockingham,Standard
New Hampshire,ZIP Code 03079,Salem,Rockingham,Standard
New Hampshire,ZIP Code 03082,Lyndeborough,Hillsborough,Standard
New Hampshire,ZIP Code 03084,Temple,Hillsborough,Standard
New Hampshire,ZIP Code 03086,Wilton,Hillsborough,Standard
New Hampshire,ZIP Code 03087,Windham,Rockingham,Standard
New Hampshire,ZIP Code 03101,Manchester,Hillsborough,Standard
New Hampshire,ZIP Code 03102,Manchester,Hillsborough,Standard
New Hampshire,ZIP Code 03103,Manchester,Hillsborough,Standard
New Hampshire,ZIP Code 03104,Manchester,Hillsborough,Standard
New Hampshire,ZIP Code 03105,Manchester,Hillsborough,P.O. Box
New Hampshire,ZIP Code 03106,Hooksett,Merrimack,Standard
New Hampshire,ZIP Code 03108,Manchester,Hillsborough,P.O. Box
New Hampshire,ZIP Code 03109,Manchester,Hillsborough,Standard
New Hampshire,ZIP Code 03110,Bedford,Hillsborough,Standard
New Hampshire,ZIP Code 03111,Manchester,Hillsborough,Unique
New Hampshire,ZIP Code 03215,Waterville Valley,Grafton,P.O. Box
