State,ZIP Code,City,County,Type
New Jersey,ZIP Code 07001,Avenel,Middlesex,Standard
New Jersey,ZIP Code 07002,Bayonne,Hudson,Standard
New Jersey,ZIP Code 07003,Bloomfield,Essex,Standard
New Jersey,ZIP Code 07004,Fairfield,Essex,Standard
New Jersey,ZIP Code 07005,Boonton,Morris,Standard
New Jersey,ZIP Code 07006,Caldwell,Essex,Standard
New Jersey,ZIP Code 07007,Caldwell,Essex,P.O. Box
New Jersey,ZIP Code 07008,Carteret,Middlesex,Standard
New Jersey,ZIP Code 07009,Cedar Grove,Essex,Standard
New Jersey,ZIP Code 07010,Cliffside Park,Bergen,Standard
New Jersey,ZIP Code 07011,Clifton,Passaic,Standard
New Jersey,ZIP Code 07012,Clifton,Passaic,Standard
New Jersey,ZIP Code 07013,Clifton,Passaic,Standard
New Jersey,ZIP Code 07014,Clifton,Passaic,Standard
New Jersey,ZIP Code 07015,Clifton,Passaic,P.O. Box
New Jersey,ZIP Code 07016,Cranford,Union,Standard
New Jersey,ZIP Code 07017,East Orange,Essex,Standard
New Jersey,ZIP Code 07018,East Orange,Essex,Standard
New Jersey,ZIP Code 07019,East Orange,Essex,P.O. Box
New Jersey,ZIP Code 07020,Edgewater,Bergen,Standard
New Jersey,ZIP Code 07021,Essex Fells,Essex,Standard
New Jersey,ZIP Code 07022,Fairview,Bergen,Standard
New Jersey,ZIP Code 07023,Fanwood,Union,Standard
New Jersey,ZIP Code 07024,Fort Lee,Bergen,Standard
New Jersey,ZIP Code 07026,Garfield,Bergen,Standard
New Jersey,ZIP Code 07027,Garwood,Union,Standard
New Jersey,ZIP Code 07028,Glen Ridge,Essex,Standard
New Jersey,ZIP Code 07029,Harrison,Hudson,Standard
New Jersey,ZIP Code 07030,Hoboken,Hudson,Standard
New Jersey,ZIP Code 07031,North Arlington,Bergen,Standard
New Jersey,ZIP Code 07032,Kearny,Hudson,Standard
New Jersey,ZIP Code 07033,Kenilworth,Union,Standard
New Jersey,ZIP Code 07034,Lake Hiawatha,Morris,Standard
New Jersey,ZIP Code 07035,Lincoln Park,Morris,Standard
New Jersey,ZIP Code 07036,Linden,Union,Standard
New Jersey,ZIP Code 07039,Livingston,Essex,Standard
New Jersey,ZIP Code 07040,Maplewood,Essex,Standard
New Jersey,ZIP Code 07041,Millburn,Essex,Standard
New Jersey,ZIP Code 07042,Montclair,Essex,Standard
New Jersey,ZIP Code 07043,Montclair,Essex,Standard
New Jersey,ZIP Code 07044,Verona,Essex,Standard
New Jersey,ZIP Code 07045,Montville,Morris,Standard
New Jersey,ZIP Code 07046,Mountain Lakes,Morris,Standard
New Jersey,ZIP Code 07047,North Bergen,Hudson,Standard
New Jersey,ZIP Code 07050,Orange,Essex,Standard
New Jersey,ZIP Code 07051,Orange,Essex,P.O. Box
New Jersey,ZIP Code 07052,West Orange,Essex,Standard
New Jersey,ZIP Code 07054,Parsippany,Morris,Standard
New Jersey,ZIP Code 07055,Passaic,Passaic,Standard
New Jersey,ZIP Code 07057,Wallington,Bergen,Standard
New Jersey,ZIP Code 07058,Pine Brook,Morris,Standard
New Jersey,ZIP Code 07059,Warren,Somerset,Standard
New Jersey,ZIP Code 07060,Plainfield,Union,Standard
New Jersey,ZIP Code 07061,Plainfield,Union,P.O. Box
New Jersey,ZIP Code 07062,Plainfield,Union,Standard
New Jersey,ZIP Code 07063,Plainfield,Union,Standard
New Jersey,ZIP Code 07064,Port Reading,Middlesex,Standard
New Jersey,ZIP Code 07065,Rahway,Union,Standard
New Jersey,ZIP Code 07066,Clark,Union,Standard
New Jersey,ZIP Code 07067,Colonia,Middlesex,Standard
New Jersey,ZIP Code 07068,Roseland,Essex,Standard
New Jersey,ZIP Code 07069,Watchung,Somerset,Standard
New Jersey,ZIP Code 07070,Rutherford,Bergen,Standard
New Jersey,ZIP Code 07071,Lyndhurst,Bergen,Standard
New Jersey,ZIP Code 07072,Carlstadt,Bergen,Standard
New Jersey,ZIP Code 07073,East Rutherford,Bergen,Standard
New Jersey,ZIP Code 07074,Moonachie,Bergen,Standard
New Jersey,ZIP Code 07075,Wood Ridge,Bergen,Standard
New Jersey,ZIP Code 07076,Scotch Plains,Union,Standard
New Jersey,ZIP Code 07077,Sewaren,Middlesex,Standard
New Jersey,ZIP Code 07078,Short Hills,Essex,Standard
New Jersey,ZIP Code 07079,South Orange,Essex,Standard
New Jersey,ZIP Code 07080,South Plainfield,Middlesex,Standard
New Jersey,ZIP Code 07081,Springfield,Union,Standard
New Jersey,ZIP Code 07082,Towaco,Morris,Standard
New Jersey,ZIP Code 07083,Union,Union,Standard
New Jersey,ZIP Code 07086,Weehawken,Hudson,Standard
New Jersey,ZIP Code 07087,Union City,Hudson,Standard
New Jersey,ZIP Code 07088,Vauxhall,Union,Standard
New Jersey,ZIP Code 07090,Westfield,Union,Standard
New Jersey,ZIP Code 07091,Westfield,Union,P.O. Box
New Jersey,ZIP Code 07092,Mountainside,Union,Standard
New Jersey,ZIP Code 07093,West New York,Hudson,Standard
New Jersey,ZIP Code 07094,Secaucus,Hudson,Standard
New Jersey,ZIP Code 07095,Woodbridge,Middlesex,Standard
New Jersey,ZIP Code 07096,Secaucus,Hudson,P.O. Box
New Jersey,ZIP Code 07097,Jersey City,Hudson,Unique
New Jersey,ZIP Code 07099,Kearny,Hudson,Unique
New Jersey,ZIP Code 07101,Newark,Essex,P.O. Box
New Jersey,ZIP Code 07102,Newark,Essex,Standard
New Jersey,ZIP Code 07103,Newark,Essex,Standard
New Jersey,ZIP Code 07104,Newark,Essex,Standard
New Jersey,ZIP Code 07105,Newark,Essex,Standard
New Jersey,ZIP Code 07106,Newark,Essex,Standard
New Jersey,ZIP Code 07107,Newark,Essex,Standard
New Jersey,ZIP Code 07108,Newark,Essex,Standard
New Jersey,ZIP Code 07109,Belleville,Essex,Standard
New Jersey,ZIP Code 07110,Nutley,Essex,Standard
New Jersey,ZIP Code 07111,Irvington,Essex,Standard
New Jersey,ZIP Code 07112,Newark,Essex,Standard
New Jersey,ZIP Code 07114,Newark,Essex,Standard
New Jersey,ZIP Code 07175,Newark,Essex,Unique
New Jersey,ZIP Code 07184,Newark,Essex,Unique
New Jersey,ZIP Code 07188,Newark,Essex,Unique
New Jersey,ZIP Code 07189,Newark,Essex,Unique
New Jersey,ZIP Code 07191,Newark,Essex,Unique
New Jersey,ZIP Code 07192,Newark,Essex,Unique
New Jersey,ZIP Code 07193,Newark,Essex,Unique
New Jersey,ZIP Code 07195,Newark,Essex,Unique
New Jersey,ZIP Code 07198,Newark,Essex,Unique
New Jersey,ZIP Code 07199,Newark,Essex,Unique
New Jersey,ZIP Code 07201,Elizabeth,Union,Standard
New Jersey,ZIP Code 07202,Elizabeth,Union,Standard
New Jersey,ZIP Code 07203,Roselle,Union,Standard
New Jersey,ZIP Code 07204,Roselle Park,Union,Standard
New Jersey,ZIP Code 07205,Hillside,Union,Standard
New Jersey,ZIP Code 07206,Elizabethport,Union,Standard
New Jersey,ZIP Code 07207,Elizabeth,Union,P.O. Box
New Jersey,ZIP Code 07208,Elizabeth,Union,Standard
New Jersey,ZIP Code 07302,Jersey City,Hudson,Standard
New Jersey,ZIP Code 07303,Jersey City,Hudson,P.O. Box
New Jersey,ZIP Code 07304,Jersey City,Hudson,Standard
New Jersey,ZIP Code 07305,Jersey City,Hudson,Standard
New Jersey,ZIP Code 07306,Jersey City,Hudson,Standard
New Jersey,ZIP Code 07307,Jersey City,Hudson,Standard
New Jersey,ZIP Code 07308,Jersey City,Hudson,P.O. Box
New Jersey,ZIP Code 07310,Jersey City,Hudson,Standard
New Jersey,ZIP Code 07311,Jersey City,Hudson,Standard
New Jersey,ZIP Code 07395,Jersey City,Hudson,Unique
New Jersey,ZIP Code 07399,Jersey City,Hudson,Unique
New Jersey,ZIP Code 07401,Allendale,Bergen,Standard
New Jersey,ZIP Code 07403,Bloomingdale,Passaic,Standard
New Jersey,ZIP Code 07405,Butler,Morris,Standard
New Jersey,ZIP Code 07407,Elmwood Park,Bergen,Standard
New Jersey,ZIP Code 07410,Fair Lawn,Bergen,Standard
New Jersey,ZIP Code 07416,Franklin,Sussex,Standard
New Jersey,ZIP Code 07417,Franklin Lakes,Bergen,Standard
New Jersey,ZIP Code 07418,Glenwood,Sussex,Standard
New Jersey,ZIP Code 07419,Hamburg,Sussex,Standard
New Jersey,ZIP Code 07420,Haskell,Passaic,Standard
New Jersey,ZIP Code 07421,Hewitt,Passaic,Standard
New Jersey,ZIP Code 07422,Highland Lakes,Sussex,Standard
New Jersey,ZIP Code 07423,Ho Ho Kus,Bergen,Standard
New Jersey,ZIP Code 07424,Little Falls,Passaic,Standard
New Jersey,ZIP Code 07428,Mc Afee,Sussex,P.O. Box
New Jersey,ZIP Code 07430,Mahwah,Bergen,Standard
New Jersey,ZIP Code 07432,Midland Park,Bergen,Standard
New Jersey,ZIP Code 07435,Newfoundland,Passaic,Standard
New Jersey,ZIP Code 07436,Oakland,Bergen,Standard
New Jersey,ZIP Code 07438,Oak Ridge,Passaic,Standard
New Jersey,ZIP Code 07439,Ogdensburg,Sussex,Standard
New Jersey,ZIP Code 07440,Pequannock,Morris,Standard
New Jersey,ZIP Code 07442,Pompton Lakes,Passaic,Standard
New Jersey,ZIP Code 07444,Pompton Plains,Morris,Standard
New Jersey,ZIP Code 07446,Ramsey,Bergen,Standard
New Jersey,ZIP Code 07450,Ridgewood,Bergen,Standard
New Jersey,ZIP Code 07451,Ridgewood,Bergen,P.O. Box
New Jersey,ZIP Code 07452,Glen Rock,Bergen,Standard
New Jersey,ZIP Code 07456,Ringwood,Passaic,Standard
New Jersey,ZIP Code 07457,Riverdale,Morris,Standard
New Jersey,ZIP Code 07458,Saddle River,Bergen,Standard
New Jersey,ZIP Code 07460,Stockholm,Sussex,Standard
New Jersey,ZIP Code 07461,Sussex,Sussex,Standard
New Jersey,ZIP Code 07462,Vernon,Sussex,Standard
New Jersey,ZIP Code 07463,Waldwick,Bergen,Standard
New Jersey,ZIP Code 07465,Wanaque,Passaic,Standard
New Jersey,ZIP Code 07470,Wayne,Passaic,Standard
New Jersey,ZIP Code 07474,Wayne,Passaic,P.O. Box
New Jersey,ZIP Code 07480,West Milford,Passaic,Standard
New Jersey,ZIP Code 07481,Wyckoff,Bergen,Standard
New Jersey,ZIP Code 07495,Mahwah,Bergen,Standard
New Jersey,ZIP Code 07501,Paterson,Passaic,Standard
New Jersey,ZIP Code 07502,Paterson,Passaic,Standard
New Jersey,ZIP Code 07503,Paterson,Passaic,Standard
New Jersey,ZIP Code 07504,Paterson,Passaic,Standard
New Jersey,ZIP Code 07505,Paterson,Passaic,Standard
New Jersey,ZIP Code 07506,Hawthorne,Passaic,Standard
New Jersey,ZIP Code 07507,Hawthorne,Passaic,P.O. Box
New Jersey,ZIP Code 07508,Haledon,Passaic,Standard
New Jersey,ZIP Code 07509,Paterson,Passaic,P.O. Box
New Jersey,ZIP Code 07510,Paterson,Passaic,Standard
New Jersey,ZIP Code 07511,Totowa,Passaic,P.O. Box
New Jersey,ZIP Code 07512,Totowa,Passaic,Standard
New Jersey,ZIP Code 07513,Paterson,Passaic,Standard
New Jersey,ZIP Code 07514,Paterson,Passaic,Standard
New Jersey,ZIP Code 07522,Paterson,Passaic,Standard
New Jersey,ZIP Code 07524,Paterson,Passaic,Standard
New Jersey,ZIP Code 07533,Paterson,Passaic,P.O. Box
New Jersey,ZIP Code 07538,Haledon,Passaic,P.O. Box
New Jersey,ZIP Code 07543,Paterson,Passaic,P.O. Box
New Jersey,ZIP Code 07544,Paterson,Passaic,P.O. Box
New Jersey,ZIP Code 07601,Hackensack,Bergen,Standard
New Jersey,ZIP Code 07602,Hackensack,Bergen,P.O. Box
New Jersey,ZIP Code 07603,Bogota,Bergen,Standard
New Jersey,ZIP Code 07604,Hasbrouck Heights,Bergen,Standard
New Jersey,ZIP Code 07605,Leonia,Bergen,Standard
New Jersey,ZIP Code 07606,South Hackensack,Bergen,Standard
New Jersey,ZIP Code 07607,Maywood,Bergen,Standard
New Jersey,ZIP Code 07608,Teterboro,Bergen,Standard
New Jersey,ZIP Code 07620,Alpine,Bergen,P.O. Box
New Jersey,ZIP Code 07621,Bergenfield,Bergen,Standard
New Jersey,ZIP Code 07624,Closter,Bergen,Standard
New Jersey,ZIP Code 07626,Cresskill,Bergen,Standard
New Jersey,ZIP Code 07627,Demarest,Bergen,Standard
