State,ZIP Code,City,County,Type
North Carolina,ZIP Code 27006,Advance,Davie,Standard
North Carolina,ZIP Code 27007,Ararat,Surry,Standard
North Carolina,ZIP Code 27009,Belews Creek,Forsyth,Standard
North Carolina,ZIP Code 27010,Bethania,Forsyth,P.O. Box
North Carolina,ZIP Code 27011,Boonville,Yadkin,Standard
North Carolina,ZIP Code 27012,Clemmons,Forsyth,Standard
North Carolina,ZIP Code 27013,Cleveland,Rowan,Standard
North Carolina,ZIP Code 27014,Cooleemee,Davie,P.O. Box
North Carolina,ZIP Code 27016,Danbury,Stokes,Standard
North Carolina,ZIP Code 27017,Dobson,Surry,Standard
North Carolina,ZIP Code 27018,East Bend,Yadkin,Standard
North Carolina,ZIP Code 27019,Germanton,Stokes,Standard
North Carolina,ZIP Code 27020,Hamptonville,Yadkin,Standard
North Carolina,ZIP Code 27021,King,Stokes,Standard
North Carolina,ZIP Code 27022,Lawsonville,Stokes,Standard
North Carolina,ZIP Code 27023,Lewisville,Forsyth,Standard
North Carolina,ZIP Code 27024,Lowgap,Surry,Standard
North Carolina,ZIP Code 27025,Madison,Rockingham,Standard
North Carolina,ZIP Code 27027,Mayodan,Rockingham,Standard
North Carolina,ZIP Code 27028,Mocksville,Davie,Standard
North Carolina,ZIP Code 27030,Mount Airy,Surry,Standard
North Carolina,ZIP Code 27031,Mount Airy,Surry,P.O. Box
North Carolina,ZIP Code 27040,Pfafftown,Forsyth,Standard
North Carolina,ZIP Code 27041,Pilot Mountain,Surry,Standard
North Carolina,ZIP Code 27042,Pine Hall,Stokes,Standard
North Carolina,ZIP Code 27043,Pinnacle,Stokes,Standard
North Carolina,ZIP Code 27045,Rural Hall,Forsyth,Standard
North Carolina,ZIP Code 27046,Sandy Ridge,Stokes,Standard
North Carolina,ZIP Code 27047,Siloam,Surry,Standard
North Carolina,ZIP Code 27048,Stoneville,Rockingham,Standard
North Carolina,ZIP Code 27049,Toast,Surry,P.O. Box
North Carolina,ZIP Code 27050,Tobaccoville,Forsyth,Standard
North Carolina,ZIP Code 27051,Walkertown,Forsyth,Standard
North Carolina,ZIP Code 27052,Walnut Cove,Stokes,Standard
North Carolina,ZIP Code 27053,Westfield,Surry,Standard
North Carolina,ZIP Code 27054,Woodleaf,Rowan,Standard
North Carolina,ZIP Code 27055,Yadkinville,Yadkin,Standard
North Carolina,ZIP Code 27094,Rural Hall,Forsyth,Unique
North Carolina,ZIP Code 27098,Rural Hall,Forsyth,Unique
North Carolina,ZIP Code 27099,Rural Hall,Forsyth,Unique
North Carolina,ZIP Code 27101,Winston Salem,Forsyth,Standard
North Carolina,ZIP Code 27102,Winston Salem,Forsyth,P.O. Box
North Carolina,ZIP Code 27103,Winston Salem,Forsyth,Standard
North Carolina,ZIP Code 27104,Winston Salem,Forsyth,Standard
North Carolina,ZIP Code 27105,Winston Salem,Forsyth,Standard
North Carolina,ZIP Code 27106,Winston Salem,Forsyth,Standard
North Carolina,ZIP Code 27107,Winston Salem,Forsyth,Standard
North Carolina,ZIP Code 27108,Winston Salem,Forsyth,P.O. Box
North Carolina,ZIP Code 27109,Winston Salem,Forsyth,Standard
North Carolina,ZIP Code 27110,Winston Salem,Forsyth,Unique
North Carolina,ZIP Code 27111,Winston Salem,Forsyth,Unique
North Carolina,ZIP Code 27113,Winston Salem,Forsyth,P.O. Box
North Carolina,ZIP Code 27114,Winston Salem,Forsyth,P.O. Box
North Carolina,ZIP Code 27115,Winston Salem,Forsyth,P.O. Box
North Carolina,ZIP Code 27116,Winston Salem,Forsyth,P.O. Box
North Carolina,ZIP Code 27117,Winston Salem,Forsyth,P.O. Box
North Carolina,ZIP Code 27120,Winston Salem,Forsyth,P.O. Box
North Carolina,ZIP Code 27127,Winston Salem,Forsyth,Standard
North Carolina,ZIP Code 27130,Winston Salem,Forsyth,P.O. Box
North Carolina,ZIP Code 27150,Winston Salem,Forsyth,Unique
North Carolina,ZIP Code 27152,Winston Salem,Forsyth,Unique
North Carolina,ZIP Code 27155,Winston Salem,Forsyth,Unique
North Carolina,ZIP Code 27157,Winston Salem,Forsyth,Unique
North Carolina,ZIP Code 27198,Winston Salem,Forsyth,Unique
North Carolina,ZIP Code 27199,Winston Salem,Forsyth,Unique
North Carolina,ZIP Code 27201,Alamance,Alamance,P.O. Box
North Carolina,ZIP Code 27202,Altamahaw,Alamance,P.O. Box
North Carolina,ZIP Code 27203,Asheboro,Randolph,Standard
North Carolina,ZIP Code 27204,Asheboro,Randolph,P.O. Box
North Carolina,ZIP Code 27205,Asheboro,Randolph,Standard
North Carolina,ZIP Code 27207,Bear Creek,Chatham,Standard
North Carolina,ZIP Code 27208,Bennett,Chatham,Standard
North Carolina,ZIP Code 27209,Biscoe,Montgomery,Standard
North Carolina,ZIP Code 27212,Blanch,Caswell,Standard
North Carolina,ZIP Code 27213,Bonlee,Chatham,P.O. Box
North Carolina,ZIP Code 27214,Browns Summit,Guilford,Standard
North Carolina,ZIP Code 27215,Burlington,Alamance,Standard
North Carolina,ZIP Code 27216,Burlington,Alamance,P.O. Box
North Carolina,ZIP Code 27217,Burlington,Alamance,Standard
North Carolina,ZIP Code 27228,Bynum,Chatham,P.O. Box
North Carolina,ZIP Code 27229,Candor,Montgomery,Standard
North Carolina,ZIP Code 27230,Cedar Falls,Randolph,P.O. Box
North Carolina,ZIP Code 27231,Cedar Grove,Orange,Standard
North Carolina,ZIP Code 27233,Climax,Guilford,Standard
North Carolina,ZIP Code 27235,Colfax,Guilford,Standard
North Carolina,ZIP Code 27237,Cumnock,Lee,P.O. Box
North Carolina,ZIP Code 27239,Denton,Davidson,Standard
North Carolina,ZIP Code 27242,Eagle Springs,Moore,Standard
North Carolina,ZIP Code 27243,Efland,Orange,Standard
North Carolina,ZIP Code 27244,Elon,Alamance,Standard
North Carolina,ZIP Code 27247,Ether,Montgomery,P.O. Box
North Carolina,ZIP Code 27248,Franklinville,Randolph,Standard
North Carolina,ZIP Code 27249,Gibsonville,Guilford,Standard
North Carolina,ZIP Code 27252,Goldston,Chatham,Standard
North Carolina,ZIP Code 27253,Graham,Alamance,Standard
North Carolina,ZIP Code 27256,Gulf,Chatham,P.O. Box
North Carolina,ZIP Code 27258,Haw River,Alamance,Standard
North Carolina,ZIP Code 27259,Highfalls,Moore,P.O. Box
North Carolina,ZIP Code 27260,High Point,Guilford,Standard
North Carolina,ZIP Code 27261,High Point,Guilford,P.O. Box
North Carolina,ZIP Code 27262,High Point,Guilford,Standard
North Carolina,ZIP Code 27263,High Point,Guilford,Standard
North Carolina,ZIP Code 27264,High Point,Guilford,P.O. Box
North Carolina,ZIP Code 27265,High Point,Guilford,Standard
North Carolina,ZIP Code 27268,High Point,Guilford,Unique
North Carolina,ZIP Code 27278,Hillsborough,Orange,Standard
North Carolina,ZIP Code 27281,Jackson Springs,Moore,Standard
North Carolina,ZIP Code 27282,Jamestown,Guilford,Standard
North Carolina,ZIP Code 27283,Julian,Guilford,Standard
North Carolina,ZIP Code 27284,Kernersville,Forsyth,Standard
North Carolina,ZIP Code 27285,Kernersville,Forsyth,P.O. Box
North Carolina,ZIP Code 27288,Eden,Rockingham,Standard
North Carolina,ZIP Code 27289,Eden,Rockingham,P.O. Box
North Carolina,ZIP Code 27291,Leasburg,Caswell,Standard
North Carolina,ZIP Code 27292,Lexington,Davidson,Standard
North Carolina,ZIP Code 27293,Lexington,Davidson,P.O. Box
North Carolina,ZIP Code 27294,Lexington,Davidson,Unique
North Carolina,ZIP Code 27295,Lexington,Davidson,Standard
North Carolina,ZIP Code 27298,Liberty,Randolph,Standard
North Carolina,ZIP Code 27299,Linwood,Davidson,Standard
North Carolina,ZIP Code 27301,Mc Leansville,Guilford,Standard
North Carolina,ZIP Code 27302,Mebane,Alamance,Standard
North Carolina,ZIP Code 27305,Milton,Caswell,Standard
North Carolina,ZIP Code 27306,Mount Gilead,Montgomery,Standard
North Carolina,ZIP Code 27310,Oak Ridge,Guilford,Standard
North Carolina,ZIP Code 27311,Pelham,Caswell,Standard
North Carolina,ZIP Code 27312,Pittsboro,Chatham,Standard
North Carolina,ZIP Code 27313,Pleasant Garden,Guilford,Standard
North Carolina,ZIP Code 27314,Prospect Hill,Caswell,Standard
North Carolina,ZIP Code 27315,Providence,Caswell,Standard
North Carolina,ZIP Code 27316,Ramseur,Randolph,Standard
North Carolina,ZIP Code 27317,Randleman,Randolph,Standard
North Carolina,ZIP Code 27320,Reidsville,Rockingham,Standard
North Carolina,ZIP Code 27323,Reidsville,Rockingham,P.O. Box
North Carolina,ZIP Code 27325,Robbins,Moore,Standard
North Carolina,ZIP Code 27326,Ruffin,Rockingham,Standard
North Carolina,ZIP Code 27330,Sanford,Lee,Standard
North Carolina,ZIP Code 27331,Sanford,Lee,P.O. Box
North Carolina,ZIP Code 27332,Sanford,Lee,Standard
North Carolina,ZIP Code 27340,Saxapahaw,Alamance,P.O. Box
North Carolina,ZIP Code 27341,Seagrove,Randolph,Standard
North Carolina,ZIP Code 27342,Sedalia,Guilford,P.O. Box
North Carolina,ZIP Code 27343,Semora,Person,Standard
North Carolina,ZIP Code 27344,Siler City,Chatham,Standard
North Carolina,ZIP Code 27349,Snow Camp,Alamance,Standard
North Carolina,ZIP Code 27350,Sophia,Randolph,Standard
North Carolina,ZIP Code 27351,Southmont,Davidson,P.O. Box
North Carolina,ZIP Code 27355,Staley,Randolph,Standard
North Carolina,ZIP Code 27356,Star,Montgomery,Standard
North Carolina,ZIP Code 27357,Stokesdale,Guilford,Standard
North Carolina,ZIP Code 27358,Summerfield,Guilford,Standard
North Carolina,ZIP Code 27359,Swepsonville,Alamance,P.O. Box
North Carolina,ZIP Code 27360,Thomasville,Davidson,Standard
North Carolina,ZIP Code 27361,Thomasville,Davidson,P.O. Box
North Carolina,ZIP Code 27370,Trinity,Randolph,Standard
North Carolina,ZIP Code 27371,Troy,Montgomery,Standard
North Carolina,ZIP Code 27373,Wallburg,Davidson,P.O. Box
North Carolina,ZIP Code 27374,Welcome,Davidson,P.O. Box
North Carolina,ZIP Code 27375,Wentworth,Rockingham,P.O. Box
North Carolina,ZIP Code 27376,West End,Moore,Standard
North Carolina,ZIP Code 27377,Whitsett,Guilford,Standard
North Carolina,ZIP Code 27379,Yanceyville,Caswell,Standard
North Carolina,ZIP Code 27401,Greensboro,Guilford,Standard
North Carolina,ZIP Code 27402,Greensboro,Guilford,P.O. Box
North Carolina,ZIP Code 27403,Greensboro,Guilford,Standard
North Carolina,ZIP Code 27404,Greensboro,Guilford,P.O. Box
North Carolina,ZIP Code 27405,Greensboro,Guilford,Standard
North Carolina,ZIP Code 27406,Greensboro,Guilford,Standard
North Carolina,ZIP Code 27407,Greensboro,Guilford,Standard
North Carolina,ZIP Code 27408,Greensboro,Guilford,Standard
North Carolina,ZIP Code 27409,Greensboro,Guilford,Standard
North Carolina,ZIP Code 27410,Greensboro,Guilford,Standard
North Carolina,ZIP Code 27411,Greensboro,Guilford,Unique
North Carolina,ZIP Code 27412,Greensboro,Guilford,Unique
North Carolina,ZIP Code 27413,Greensboro,Guilford,Unique
North Carolina,ZIP Code 27415,Greensboro,Guilford,P.O. Box
North Carolina,ZIP Code 27416,Greensboro,Guilford,P.O. Box
North Carolina,ZIP Code 27417,Greensboro,Guilford,P.O. Box
North Carolina,ZIP Code 27419,Greensboro,Guilford,P.O. Box
North Carolina,ZIP Code 27420,Greensboro,Guilford,P.O. Box
North Carolina,ZIP Code 27425,Greensboro,Guilford,P.O. Box
North Carolina,ZIP Code 27427,Greensboro,Guilford,P.O. Box
North Carolina,ZIP Code 27429,Greensboro,Guilford,P.O. Box
North Carolina,ZIP Code 27435,Greensboro,Guilford,P.O. Box
North Carolina,ZIP Code 27438,Greensboro,Guilford,P.O. Box
North Carolina,ZIP Code 27455,Greensboro,Guilford,Standard
North Carolina,ZIP Code 27495,Greensboro,Guilford,Standard
North Carolina,ZIP Code 27497,Greensboro,Guilford,Unique
North Carolina,ZIP Code 27498,Greensboro,Guilford,Unique
North Carolina,ZIP Code 27499,Greensboro,Guilford,Unique
North Carolina,ZIP Code 27501,Angier,Harnett,Standard
North Carolina,ZIP Code 27502,Apex,Wake,Standard
North Carolina,ZIP Code 27503,Bahama,Durham,Standard
North Carolina,ZIP Code 27504,Benson,Johnston,Standard
North Carolina,ZIP Code 27505,Broadway,Lee,Standard
North Carolina,ZIP Code 27506,Buies Creek,Harnett,P.O. Box
North Carolina,ZIP Code 27507,Bullock,Granville,Standard
North Carolina,ZIP Code 27508,Bunn,Franklin,Standard
North Carolina,ZIP Code 27509,Butner,Granville,Standard
North Carolina,ZIP Code 27510,Carrboro,Orange,Standard
North Carolina,ZIP Code 27511,Cary,Wake,Standard
North Carolina,ZIP Code 27512,Cary,Wake,P.O. Box
North Carolina,ZIP Code 27513,Cary,Wake,Standard
North Carolina,ZIP Code 27514,Chapel Hill,Orange,Standard
North Carolina,ZIP Code 27515,Chapel Hill,Orange,P.O. Box
North Carolina,ZIP Code 27516,Chapel Hill,Orange,Standard
North Carolina,ZIP Code 27517,Chapel Hill,Orange,Standard
North Carolina,ZIP Code 27518,Cary,Wake,Standard
North Carolina,ZIP Code 27519,Cary,Wake,Standard
North Carolina,ZIP Code 27520,Clayton,Johnston,Standard
North Carolina,ZIP Code 27521,Coats,Harnett,Standard
North Carolina,ZIP Code 27522,Creedmoor,Granville,Standard
North Carolina,ZIP Code 27523,Apex,Wake,Standard
North Carolina,ZIP Code 27524,Four Oaks,Johnston,Standard
