State,ZIP Code,City,County,Type
Ohio,ZIP Code 43001,Alexandria,Licking,Standard
Ohio,ZIP Code 43002,Amlin,Franklin,P.O. Box
Ohio,ZIP Code 43003,Ashley,Delaware,Standard
Ohio,ZIP Code 43004,Blacklick,Franklin,Standard
Ohio,ZIP Code 43005,Bladensburg,Knox,P.O. Box
Ohio,ZIP Code 43006,Brinkhaven,Knox,Standard
Ohio,ZIP Code 43007,Broadway,Union,P.O. Box
Ohio,ZIP Code 43008,Buckeye Lake,Licking,P.O. Box
Ohio,ZIP Code 43009,Cable,Champaign,Standard
Ohio,ZIP Code 43010,Catawba,Clark,P.O. Box
Ohio,ZIP Code 43011,Centerburg,Knox,Standard
Ohio,ZIP Code 43013,Croton,Licking,Standard
Ohio,ZIP Code 43014,Danville,Knox,Standard
Ohio,ZIP Code 43015,Delaware,Delaware,Standard
Ohio,ZIP Code 43016,Dublin,Franklin,Standard
Ohio,ZIP Code 43017,Dublin,Franklin,Standard
Ohio,ZIP Code 43018,Etna,Licking,P.O. Box
Ohio,ZIP Code 43019,Fredericktown,Knox,Standard
Ohio,ZIP Code 43021,Galena,Delaware,Standard
Ohio,ZIP Code 43022,Gambier,Knox,Standard
Ohio,ZIP Code 43023,Granville,Licking,Standard
Ohio,ZIP Code 43025,Hebron,Licking,Standard
Ohio,ZIP Code 43026,Hilliard,Franklin,Standard
Ohio,ZIP Code 43027,Homer,Licking,P.O. Box
Ohio,ZIP Code 43028,Howard,Knox,Standard
Ohio,ZIP Code 43029,Irwin,Union,Standard
Ohio,ZIP Code 43030,Jacksontown,Licking,P.O. Box
Ohio,ZIP Code 43031,Johnstown,Licking,Standard
Ohio,ZIP Code 43032,Kilbourne,Delaware,P.O. Box
Ohio,ZIP Code 43033,Kirkersville,Licking,P.O. Box
Ohio,ZIP Code 43035,Lewis Center,Delaware,Standard
Ohio,ZIP Code 43036,Magnetic Springs,Union,P.O. Box
Ohio,ZIP Code 43037,Martinsburg,Knox,Standard
Ohio,ZIP Code 43040,Marysville,Union,Standard
Ohio,ZIP Code 43041,Marysville,Union,Unique
Ohio,ZIP Code 43044,Mechanicsburg,Champaign,Standard
Ohio,ZIP Code 43045,Milford Center,Union,Standard
Ohio,ZIP Code 43046,Millersport,Fairfield,Standard
Ohio,ZIP Code 43047,Mingo,Champaign,P.O. Box
Ohio,ZIP Code 43048,Mount Liberty,Knox,P.O. Box
Ohio,ZIP Code 43050,Mount Vernon,Knox,Standard
Ohio,ZIP Code 43054,New Albany,Franklin,Standard
Ohio,ZIP Code 43055,Newark,Licking,Standard
Ohio,ZIP Code 43056,Heath,Licking,Standard
Ohio,ZIP Code 43058,Newark,Licking,P.O. Box
Ohio,ZIP Code 43060,North Lewisburg,Champaign,Standard
Ohio,ZIP Code 43061,Ostrander,Delaware,Standard
Ohio,ZIP Code 43062,Pataskala,Licking,Standard
Ohio,ZIP Code 43064,Plain City,Madison,Standard
Ohio,ZIP Code 43065,Powell,Delaware,Standard
Ohio,ZIP Code 43066,Radnor,Delaware,Standard
Ohio,ZIP Code 43067,Raymond,Union,Standard
Ohio,ZIP Code 43068,Reynoldsburg,Franklin,Standard
Ohio,ZIP Code 43069,Reynoldsburg,Franklin,Unique
Ohio,ZIP Code 43070,Rosewood,Champaign,P.O. Box
Ohio,ZIP Code 43071,Saint Louisville,Licking,Standard
Ohio,ZIP Code 43072,Saint Paris,Champaign,Standard
Ohio,ZIP Code 43073,Summit Station,Licking,P.O. Box
Ohio,ZIP Code 43074,Sunbury,Delaware,Standard
Ohio,ZIP Code 43076,Thornville,Perry,Standard
Ohio,ZIP Code 43077,Unionville Center,Union,P.O. Box
Ohio,ZIP Code 43078,Urbana,Champaign,Standard
Ohio,ZIP Code 43080,Utica,Licking,Standard
Ohio,ZIP Code 43081,Westerville,Franklin,Standard
Ohio,ZIP Code 43082,Westerville,Delaware,Standard
Ohio,ZIP Code 43083,Westville,Champaign,P.O. Box
Ohio,ZIP Code 43084,Woodstock,Champaign,Standard
Ohio,ZIP Code 43085,Columbus,Franklin,Standard
Ohio,ZIP Code 43086,Westerville,Franklin,P.O. Box
Ohio,ZIP Code 43093,Newark,Licking,Unique
Ohio,ZIP Code 43101,Adelphi,Ross,P.O. Box
Ohio,ZIP Code 43102,Amanda,Fairfield,Standard
Ohio,ZIP Code 43103,Ashville,Pickaway,Standard
Ohio,ZIP Code 43105,Baltimore,Fairfield,Standard
Ohio,ZIP Code 43106,Bloomingburg,Fayette,Standard
Ohio,ZIP Code 43107,Bremen,Fairfield,Standard
Ohio,ZIP Code 43107,Hideaway Hls,Fairfield,Standard
Ohio,ZIP Code 43109,Brice,Franklin,P.O. Box
Ohio,ZIP Code 43110,Canal Winchester,Franklin,Standard
Ohio,ZIP Code 43111,Carbon Hill,Hocking,P.O. Box
Ohio,ZIP Code 43112,Carroll,Fairfield,Standard
Ohio,ZIP Code 43113,Circleville,Pickaway,Standard
Ohio,ZIP Code 43115,Clarksburg,Ross,Standard
Ohio,ZIP Code 43116,Commercial Point,Pickaway,Standard
Ohio,ZIP Code 43117,Derby,Pickaway,P.O. Box
Ohio,ZIP Code 43119,Galloway,Franklin,Standard
Ohio,ZIP Code 43123,Grove City,Franklin,Standard
Ohio,ZIP Code 43125,Groveport,Franklin,Standard
Ohio,ZIP Code 43126,Harrisburg,Franklin,P.O. Box
Ohio,ZIP Code 43127,Haydenville,Hocking,P.O. Box
Ohio,ZIP Code 43128,Jeffersonville,Fayette,Standard
Ohio,ZIP Code 43130,Lancaster,Fairfield,Standard
Ohio,ZIP Code 43135,Laurelville,Hocking,Standard
Ohio,ZIP Code 43136,Lithopolis,Fairfield,Standard
