State,ZIP Code,City,County,Type
South Carolina,ZIP Code 29001,Alcolu,Clarendon,Standard
South Carolina,ZIP Code 29002,Ballentine,Richland,P.O. Box
South Carolina,ZIP Code 29003,Bamberg,Bamberg,Standard
South Carolina,ZIP Code 29006,Batesburg,Lexington,Standard
South Carolina,ZIP Code 29009,Bethune,Kershaw,Standard
South Carolina,ZIP Code 29010,Bishopville,Lee,Standard
South Carolina,ZIP Code 29014,Blackstock,Chester,Standard
South Carolina,ZIP Code 29015,Blair,Fairfield,Standard
South Carolina,ZIP Code 29016,Blythewood,Richland,Standard
South Carolina,ZIP Code 29018,Bowman,Orangeburg,Standard
South Carolina,ZIP Code 29020,Camden,Kershaw,Standard
South Carolina,ZIP Code 29021,Camden,Kershaw,P.O. Box
South Carolina,ZIP Code 29030,Cameron,Calhoun,Standard
South Carolina,ZIP Code 29031,Carlisle,Union,Standard
South Carolina,ZIP Code 29032,Cassatt,Kershaw,Standard
South Carolina,ZIP Code 29033,Cayce,Lexington,Standard
South Carolina,ZIP Code 29036,Chapin,Lexington,Standard
South Carolina,ZIP Code 29037,Chappells,Newberry,Standard
South Carolina,ZIP Code 29038,Cope,Orangeburg,Standard
South Carolina,ZIP Code 29039,Cordova,Orangeburg,Standard
South Carolina,ZIP Code 29040,Dalzell,Sumter,Standard
South Carolina,ZIP Code 29041,Davis Station,Clarendon,P.O. Box
South Carolina,ZIP Code 29042,Denmark,Bamberg,Standard
South Carolina,ZIP Code 29044,Eastover,Richland,Standard
South Carolina,ZIP Code 29045,Elgin,Kershaw,Standard
South Carolina,ZIP Code 29046,Elliott,Lee,P.O. Box
South Carolina,ZIP Code 29047,Elloree,Orangeburg,Standard
South Carolina,ZIP Code 29048,Eutawville,Orangeburg,Standard
South Carolina,ZIP Code 29051,Gable,Clarendon,Standard
South Carolina,ZIP Code 29052,Gadsden,Richland,Standard
South Carolina,ZIP Code 29053,Gaston,Lexington,Standard
South Carolina,ZIP Code 29054,Gilbert,Lexington,Standard
South Carolina,ZIP Code 29055,Great Falls,Chester,Standard
South Carolina,ZIP Code 29056,Greeleyville,Williamsburg,Standard
South Carolina,ZIP Code 29058,Heath Springs,Lancaster,Standard
South Carolina,ZIP Code 29059,Holly Hill,Orangeburg,Standard
South Carolina,ZIP Code 29061,Hopkins,Richland,Standard
South Carolina,ZIP Code 29062,Horatio,Sumter,P.O. Box
South Carolina,ZIP Code 29063,Irmo,Richland,Standard
South Carolina,ZIP Code 29065,Jenkinsville,Fairfield,Standard
South Carolina,ZIP Code 29067,Kershaw,Lancaster,Standard
South Carolina,ZIP Code 29069,Lamar,Darlington,Standard
South Carolina,ZIP Code 29070,Leesville,Lexington,Standard
South Carolina,ZIP Code 29071,Lexington,Lexington,P.O. Box
South Carolina,ZIP Code 29072,Lexington,Lexington,Standard
South Carolina,ZIP Code 29073,Lexington,Lexington,Standard
South Carolina,ZIP Code 29074,Liberty Hill,Kershaw,P.O. Box
South Carolina,ZIP Code 29075,Little Mountain,Newberry,Standard
South Carolina,ZIP Code 29078,Lugoff,Kershaw,Standard
South Carolina,ZIP Code 29079,Lydia,Darlington,P.O. Box
South Carolina,ZIP Code 29080,Lynchburg,Lee,Standard
South Carolina,ZIP Code 29081,Ehrhardt,Bamberg,Standard
South Carolina,ZIP Code 29082,Lodge,Colleton,Standard
South Carolina,ZIP Code 29101,Mc Bee,Chesterfield,Standard
South Carolina,ZIP Code 29102,Manning,Clarendon,Standard
South Carolina,ZIP Code 29104,Mayesville,Sumter,Standard
South Carolina,ZIP Code 29105,Monetta,Aiken,Standard
South Carolina,ZIP Code 29107,Neeses,Orangeburg,Standard
South Carolina,ZIP Code 29108,Newberry,Newberry,Standard
South Carolina,ZIP Code 29111,New Zion,Clarendon,Standard
South Carolina,ZIP Code 29112,North,Orangeburg,Standard
South Carolina,ZIP Code 29113,Norway,Orangeburg,Standard
South Carolina,ZIP Code 29114,Olanta,Florence,Standard
South Carolina,ZIP Code 29115,Orangeburg,Orangeburg,Standard
South Carolina,ZIP Code 29116,Orangeburg,Orangeburg,P.O. Box
South Carolina,ZIP Code 29117,Orangeburg,Orangeburg,Unique
South Carolina,ZIP Code 29118,Orangeburg,Orangeburg,Standard
South Carolina,ZIP Code 29122,Peak,Newberry,P.O. Box
South Carolina,ZIP Code 29123,Pelion,Lexington,Standard
South Carolina,ZIP Code 29125,Pinewood,Sumter,Standard
South Carolina,ZIP Code 29126,Pomaria,Newberry,Standard
South Carolina,ZIP Code 29127,Prosperity,Newberry,Standard
South Carolina,ZIP Code 29128,Rembert,Sumter,Standard
South Carolina,ZIP Code 29129,Ridge Spring,Saluda,Standard
South Carolina,ZIP Code 29130,Ridgeway,Fairfield,Standard
South Carolina,ZIP Code 29132,Rion,Fairfield,P.O. Box
South Carolina,ZIP Code 29133,Rowesville,Orangeburg,Standard
South Carolina,ZIP Code 29135,Saint Matthews,Calhoun,Standard
South Carolina,ZIP Code 29137,Salley,Aiken,Standard
South Carolina,ZIP Code 29138,Saluda,Saluda,Standard
South Carolina,ZIP Code 29142,Santee,Orangeburg,Standard
South Carolina,ZIP Code 29143,Sardinia,Clarendon,P.O. Box
South Carolina,ZIP Code 29145,Silverstreet,Newberry,Standard
South Carolina,ZIP Code 29146,Springfield,Orangeburg,Standard
South Carolina,ZIP Code 29147,State Park,Richland,P.O. Box
South Carolina,ZIP Code 29148,Summerton,Clarendon,Standard
South Carolina,ZIP Code 29150,Sumter,Sumter,Standard
South Carolina,ZIP Code 29151,Sumter,Sumter,P.O. Box
South Carolina,ZIP Code 29152,Shaw AFB,Sumter,Standard
South Carolina,ZIP Code 29153,Sumter,Sumter,Standard
South Carolina,ZIP Code 29154,Sumter,Sumter,Standard
South Carolina,ZIP Code 29160,Swansea,Lexington,Standard
South Carolina,ZIP Code 29161,Timmonsville,Florence,Standard
South Carolina,ZIP Code 29162,Turbeville,Clarendon,Standard
South Carolina,ZIP Code 29163,Vance,Orangeburg,Standard
South Carolina,ZIP Code 29164,Wagener,Aiken,Standard
South Carolina,ZIP Code 29166,Ward,Saluda,Standard
South Carolina,ZIP Code 29168,Wedgefield,Sumter,Standard
South Carolina,ZIP Code 29169,West Columbia,Lexington,Standard
South Carolina,ZIP Code 29170,West Columbia,Lexington,Standard
South Carolina,ZIP Code 29171,West Columbia,Lexington,P.O. Box
South Carolina,ZIP Code 29172,West Columbia,Lexington,Standard
South Carolina,ZIP Code 29175,Westville,Kershaw,Standard
South Carolina,ZIP Code 29177,White Rock,Richland,P.O. Box
South Carolina,ZIP Code 29178,Whitmire,Newberry,Standard
South Carolina,ZIP Code 29180,Winnsboro,Fairfield,Standard
South Carolina,ZIP Code 29201,Columbia,Richland,Standard
South Carolina,ZIP Code 29202,Columbia,Richland,P.O. Box
South Carolina,ZIP Code 29203,Columbia,Richland,Standard
South Carolina,ZIP Code 29204,Columbia,Richland,Standard
South Carolina,ZIP Code 29205,Columbia,Richland,Standard
South Carolina,ZIP Code 29206,Columbia,Richland,Standard
South Carolina,ZIP Code 29207,Columbia,Richland,P.O. Box
South Carolina,ZIP Code 29208,Columbia,Richland,Unique
South Carolina,ZIP Code 29209,Columbia,Richland,Standard
South Carolina,ZIP Code 29210,Columbia,Richland,Standard
South Carolina,ZIP Code 29211,Columbia,Richland,P.O. Box
South Carolina,ZIP Code 29212,Columbia,Lexington,Standard
South Carolina,ZIP Code 29214,Columbia,Richland,Unique
South Carolina,ZIP Code 29215,Columbia,Richland,Unique
South Carolina,ZIP Code 29216,Columbia,Richland,Unique
South Carolina,ZIP Code 29217,Columbia,Richland,Unique
South Carolina,ZIP Code 29218,Columbia,Richland,Unique
South Carolina,ZIP Code 29219,Columbia,Richland,Unique
South Carolina,ZIP Code 29220,Columbia,Richland,Unique
South Carolina,ZIP Code 29221,Columbia,Richland,P.O. Box
South Carolina,ZIP Code 29222,Columbia,Richland,Standard
South Carolina,ZIP Code 29223,Columbia,Richland,Standard
South Carolina,ZIP Code 29224,Columbia,Richland,P.O. Box
South Carolina,ZIP Code 29225,Columbia,Richland,Unique
South Carolina,ZIP Code 29226,Columbia,Richland,Unique
South Carolina,ZIP Code 29227,Columbia,Richland,Unique
South Carolina,ZIP Code 29228,Columbia,Lexington,P.O. Box
South Carolina,ZIP Code 29229,Columbia,Richland,Standard
South Carolina,ZIP Code 29230,Columbia,Richland,P.O. Box
South Carolina,ZIP Code 29240,Columbia,Richland,P.O. Box
South Carolina,ZIP Code 29250,Columbia,Richland,P.O. Box
South Carolina,ZIP Code 29260,Columbia,Richland,P.O. Box
South Carolina,ZIP Code 29290,Columbia,Richland,P.O. Box
South Carolina,ZIP Code 29292,Columbia,Richland,P.O. Box
South Carolina,ZIP Code 29301,Spartanburg,Spartanburg,Standard
South Carolina,ZIP Code 29302,Spartanburg,Spartanburg,Standard
South Carolina,ZIP Code 29303,Spartanburg,Spartanburg,Standard
South Carolina,ZIP Code 29304,Spartanburg,Spartanburg,P.O. Box
South Carolina,ZIP Code 29305,Spartanburg,Spartanburg,P.O. Box
South Carolina,ZIP Code 29306,Spartanburg,Spartanburg,Standard
South Carolina,ZIP Code 29307,Spartanburg,Spartanburg,Standard
South Carolina,ZIP Code 29316,Boiling Springs,Spartanburg,Standard
South Carolina,ZIP Code 29319,Spartanburg,Spartanburg,Unique
South Carolina,ZIP Code 29320,Arcadia,Spartanburg,P.O. Box
South Carolina,ZIP Code 29321,Buffalo,Union,Standard
South Carolina,ZIP Code 29322,Campobello,Spartanburg,Standard
South Carolina,ZIP Code 29323,Chesnee,Spartanburg,Standard
South Carolina,ZIP Code 29324,Clifton,Spartanburg,P.O. Box
South Carolina,ZIP Code 29325,Clinton,Laurens,Standard
South Carolina,ZIP Code 29329,Converse,Spartanburg,P.O. Box
South Carolina,ZIP Code 29330,Cowpens,Spartanburg,Standard
