State,ZIP Code,City,County,Type
South Dakota,ZIP Code 57001,Alcester,Union,Standard
South Dakota,ZIP Code 57002,Aurora,Brookings,Standard
South Dakota,ZIP Code 57003,Baltic,Minnehaha,Standard
South Dakota,ZIP Code 57004,Beresford,Union,Standard
South Dakota,ZIP Code 57005,Brandon,Minnehaha,Standard
South Dakota,ZIP Code 57006,Brookings,Brookings,Standard
South Dakota,ZIP Code 57007,Brookings,Brookings,Unique
South Dakota,ZIP Code 57010,Burbank,Clay,Standard
South Dakota,ZIP Code 57012,Canistota,Mccook,Standard
South Dakota,ZIP Code 57013,Canton,Lincoln,Standard
South Dakota,ZIP Code 57014,Centerville,Turner,Standard
South Dakota,ZIP Code 57015,Chancellor,Turner,Standard
South Dakota,ZIP Code 57016,Chester,Lake,Standard
South Dakota,ZIP Code 57017,Colman,Moody,Standard
South Dakota,ZIP Code 57018,Colton,Minnehaha,Standard
South Dakota,ZIP Code 57020,Crooks,Minnehaha,Standard
South Dakota,ZIP Code 57021,Davis,Turner,Standard
South Dakota,ZIP Code 57022,Dell Rapids,Minnehaha,Standard
South Dakota,ZIP Code 57024,Egan,Moody,Standard
South Dakota,ZIP Code 57025,Elk Point,Union,Standard
South Dakota,ZIP Code 57026,Elkton,Brookings,Standard
South Dakota,ZIP Code 57027,Fairview,Lincoln,Standard
South Dakota,ZIP Code 57028,Flandreau,Moody,Standard
South Dakota,ZIP Code 57029,Freeman,Hutchinson,Standard
South Dakota,ZIP Code 57030,Garretson,Minnehaha,Standard
South Dakota,ZIP Code 57031,Gayville,Yankton,Standard
South Dakota,ZIP Code 57032,Harrisburg,Lincoln,Standard
South Dakota,ZIP Code 57033,Hartford,Minnehaha,Standard
South Dakota,ZIP Code 57034,Hudson,Lincoln,Standard
South Dakota,ZIP Code 57035,Humboldt,Minnehaha,Standard
South Dakota,ZIP Code 57036,Hurley,Turner,Standard
South Dakota,ZIP Code 57037,Irene,Clay,Standard
South Dakota,ZIP Code 57038,Jefferson,Union,Standard
South Dakota,ZIP Code 57039,Lennox,Lincoln,Standard
South Dakota,ZIP Code 57040,Lesterville,Yankton,Standard
South Dakota,ZIP Code 57041,Lyons,Minnehaha,Standard
South Dakota,ZIP Code 57042,Madison,Lake,Standard
South Dakota,ZIP Code 57043,Marion,Turner,Standard
South Dakota,ZIP Code 57045,Menno,Hutchinson,Standard
South Dakota,ZIP Code 57046,Mission Hill,Yankton,Standard
South Dakota,ZIP Code 57047,Monroe,Turner,Standard
South Dakota,ZIP Code 57048,Montrose,Mccook,Standard
South Dakota,ZIP Code 57049,North Sioux City,Union,Standard
South Dakota,ZIP Code 57050,Nunda,Lake,Standard
South Dakota,ZIP Code 57051,Oldham,Kingsbury,Standard
South Dakota,ZIP Code 57052,Olivet,Hutchinson,Standard
South Dakota,ZIP Code 57053,Parker,Turner,Standard
South Dakota,ZIP Code 57054,Ramona,Lake,Standard
South Dakota,ZIP Code 57055,Renner,Minnehaha,Standard
South Dakota,ZIP Code 57057,Rutland,Lake,Standard
South Dakota,ZIP Code 57058,Salem,Mccook,Standard
South Dakota,ZIP Code 57059,Scotland,Bon Homme,Standard
South Dakota,ZIP Code 57061,Sinai,Brookings,P.O. Box
South Dakota,ZIP Code 57062,Springfield,Bon Homme,Standard
South Dakota,ZIP Code 57063,Tabor,Bon Homme,Standard
South Dakota,ZIP Code 57064,Tea,Lincoln,Standard
South Dakota,ZIP Code 57065,Trent,Moody,Standard
