State,ZIP Code,City,County,Type
Tennessee,ZIP Code 37010,Adams,Robertson,Standard
Tennessee,ZIP Code 37011,Antioch,Davidson,P.O. Box
Tennessee,ZIP Code 37012,Alexandria,Dekalb,Standard
Tennessee,ZIP Code 37013,Antioch,Davidson,Standard
Tennessee,ZIP Code 37014,Arrington,Williamson,Standard
Tennessee,ZIP Code 37015,Ashland City,Cheatham,Standard
Tennessee,ZIP Code 37016,Auburntown,Cannon,Standard
Tennessee,ZIP Code 37018,Beechgrove,Coffee,Standard
Tennessee,ZIP Code 37019,Belfast,Marshall,Standard
Tennessee,ZIP Code 37020,Bell Buckle,Bedford,Standard
Tennessee,ZIP Code 37022,Bethpage,Sumner,Standard
Tennessee,ZIP Code 37023,Big Rock,Stewart,Standard
Tennessee,ZIP Code 37024,Brentwood,Williamson,P.O. Box
Tennessee,ZIP Code 37025,Bon Aqua,Hickman,Standard
Tennessee,ZIP Code 37026,Bradyville,Cannon,Standard
Tennessee,ZIP Code 37027,Brentwood,Williamson,Standard
Tennessee,ZIP Code 37028,Bumpus Mills,Stewart,Standard
Tennessee,ZIP Code 37029,Burns,Dickson,Standard
Tennessee,ZIP Code 37030,Carthage,Smith,Standard
Tennessee,ZIP Code 37031,Castalian Springs,Sumner,Standard
Tennessee,ZIP Code 37032,Cedar Hill,Robertson,Standard
Tennessee,ZIP Code 37033,Centerville,Hickman,Standard
Tennessee,ZIP Code 37034,Chapel Hill,Marshall,Standard
Tennessee,ZIP Code 37035,Chapmansboro,Cheatham,Standard
Tennessee,ZIP Code 37036,Charlotte,Dickson,Standard
Tennessee,ZIP Code 37037,Christiana,Rutherford,Standard
Tennessee,ZIP Code 37040,Clarksville,Montgomery,Standard
Tennessee,ZIP Code 37041,Clarksville,Montgomery,P.O. Box
Tennessee,ZIP Code 37042,Clarksville,Montgomery,Standard
Tennessee,ZIP Code 37043,Clarksville,Montgomery,Standard
Tennessee,ZIP Code 37044,Clarksville,Montgomery,Unique
Tennessee,ZIP Code 37046,College Grove,Williamson,Standard
Tennessee,ZIP Code 37047,Cornersville,Marshall,Standard
Tennessee,ZIP Code 37048,Cottontown,Sumner,Standard
Tennessee,ZIP Code 37049,Cross Plains,Robertson,Standard
Tennessee,ZIP Code 37050,Cumberland City,Stewart,Standard
Tennessee,ZIP Code 37051,Cumberland Furnace,Dickson,Standard
Tennessee,ZIP Code 37052,Cunningham,Montgomery,Standard
Tennessee,ZIP Code 37055,Dickson,Dickson,Standard
Tennessee,ZIP Code 37056,Dickson,Dickson,P.O. Box
Tennessee,ZIP Code 37057,Dixon Springs,Smith,Standard
Tennessee,ZIP Code 37058,Dover,Stewart,Standard
Tennessee,ZIP Code 37059,Dowelltown,Dekalb,Standard
Tennessee,ZIP Code 37060,Eagleville,Rutherford,Standard
Tennessee,ZIP Code 37061,Erin,Houston,Standard
Tennessee,ZIP Code 37062,Fairview,Williamson,Standard
Tennessee,ZIP Code 37063,Fosterville,Rutherford,P.O. Box
Tennessee,ZIP Code 37064,Franklin,Williamson,Standard
Tennessee,ZIP Code 37065,Franklin,Williamson,P.O. Box
Tennessee,ZIP Code 37066,Gallatin,Sumner,Standard
Tennessee,ZIP Code 37067,Franklin,Williamson,Standard
Tennessee,ZIP Code 37068,Franklin,Williamson,P.O. Box
Tennessee,ZIP Code 37069,Franklin,Williamson,Standard
Tennessee,ZIP Code 37070,Goodlettsville,Davidson,P.O. Box
Tennessee,ZIP Code 37071,Gladeville,Wilson,P.O. Box
Tennessee,ZIP Code 37072,Goodlettsville,Davidson,Standard
Tennessee,ZIP Code 37073,Greenbrier,Robertson,Standard
Tennessee,ZIP Code 37074,Hartsville,Trousdale,Standard
Tennessee,ZIP Code 37075,Hendersonville,Sumner,Standard
Tennessee,ZIP Code 37076,Hermitage,Davidson,Standard
Tennessee,ZIP Code 37077,Hendersonville,Sumner,P.O. Box
Tennessee,ZIP Code 37078,Hurricane Mills,Humphreys,Standard
Tennessee,ZIP Code 37079,Indian Mound,Stewart,Standard
Tennessee,ZIP Code 37080,Joelton,Davidson,Standard
Tennessee,ZIP Code 37082,Kingston Springs,Cheatham,Standard
Tennessee,ZIP Code 37083,Lafayette,Macon,Standard
Tennessee,ZIP Code 37085,Lascassas,Rutherford,Standard
Tennessee,ZIP Code 37086,La Vergne,Rutherford,Standard
Tennessee,ZIP Code 37087,Lebanon,Wilson,Standard
Tennessee,ZIP Code 37088,Lebanon,Wilson,P.O. Box
Tennessee,ZIP Code 37089,La Vergne,Rutherford,Unique
Tennessee,ZIP Code 37090,Lebanon,Wilson,Standard
Tennessee,ZIP Code 37091,Lewisburg,Marshall,Standard
Tennessee,ZIP Code 37095,Liberty,Dekalb,Standard
Tennessee,ZIP Code 37096,Linden,Perry,Standard
Tennessee,ZIP Code 37097,Lobelville,Perry,Standard
Tennessee,ZIP Code 37098,Lyles,Hickman,Standard
Tennessee,ZIP Code 37101,Mc Ewen,Humphreys,Standard
Tennessee,ZIP Code 37110,Mcminnville,Warren,Standard
Tennessee,ZIP Code 37111,Mcminnville,Warren,P.O. Box
Tennessee,ZIP Code 37115,Madison,Davidson,Standard
Tennessee,ZIP Code 37116,Madison,Davidson,P.O. Box
Tennessee,ZIP Code 37118,Milton,Rutherford,Standard
Tennessee,ZIP Code 37119,Mitchellville,Sumner,P.O. Box
Tennessee,ZIP Code 37121,Mount Juliet,Wilson,P.O. Box
Tennessee,ZIP Code 37122,Mount Juliet,Wilson,Standard
Tennessee,ZIP Code 37127,Murfreesboro,Rutherford,Standard
Tennessee,ZIP Code 37128,Murfreesboro,Rutherford,Standard
Tennessee,ZIP Code 37129,Murfreesboro,Rutherford,Standard
Tennessee,ZIP Code 37130,Murfreesboro,Rutherford,Standard
Tennessee,ZIP Code 37131,Murfreesboro,Rutherford,Unique
Tennessee,ZIP Code 37132,Murfreesboro,Rutherford,Unique
Tennessee,ZIP Code 37133,Murfreesboro,Rutherford,P.O. Box
Tennessee,ZIP Code 37134,New Johnsonville,Humphreys,Standard
Tennessee,ZIP Code 37135,Nolensville,Williamson,Standard
Tennessee,ZIP Code 37136,Norene,Wilson,P.O. Box
Tennessee,ZIP Code 37137,Nunnelly,Hickman,Standard
Tennessee,ZIP Code 37138,Old Hickory,Davidson,Standard
Tennessee,ZIP Code 37140,Only,Hickman,Standard
Tennessee,ZIP Code 37141,Orlinda,Robertson,Standard
Tennessee,ZIP Code 37142,Palmyra,Montgomery,Standard
Tennessee,ZIP Code 37143,Pegram,Cheatham,Standard
Tennessee,ZIP Code 37144,Petersburg,Lincoln,Standard
Tennessee,ZIP Code 37145,Pleasant Shade,Smith,Standard
Tennessee,ZIP Code 37146,Pleasant View,Cheatham,Standard
Tennessee,ZIP Code 37148,Portland,Sumner,Standard
Tennessee,ZIP Code 37149,Readyville,Cannon,Standard
Tennessee,ZIP Code 37150,Red Boiling Springs,Macon,Standard
Tennessee,ZIP Code 37151,Riddleton,Smith,Standard
Tennessee,ZIP Code 37152,Ridgetop,Robertson,P.O. Box
Tennessee,ZIP Code 37153,Rockvale,Rutherford,Standard
Tennessee,ZIP Code 37160,Shelbyville,Bedford,Standard
Tennessee,ZIP Code 37161,Shelbyville,Bedford,Unique
Tennessee,ZIP Code 37162,Shelbyville,Bedford,P.O. Box
Tennessee,ZIP Code 37165,Slayden,Dickson,P.O. Box
Tennessee,ZIP Code 37166,Smithville,Dekalb,Standard
Tennessee,ZIP Code 37167,Smyrna,Rutherford,Standard
Tennessee,ZIP Code 37171,Southside,Montgomery,Standard
Tennessee,ZIP Code 37172,Springfield,Robertson,Standard
Tennessee,ZIP Code 37174,Spring Hill,Maury,Standard
Tennessee,ZIP Code 37175,Stewart,Houston,Standard
Tennessee,ZIP Code 37178,Tennessee Ridge,Houston,Standard
Tennessee,ZIP Code 37179,Thompsons Station,Williamson,Standard
Tennessee,ZIP Code 37180,Unionville,Bedford,Standard
Tennessee,ZIP Code 37181,Vanleer,Dickson,Standard
Tennessee,ZIP Code 37183,Wartrace,Bedford,Standard
Tennessee,ZIP Code 37184,Watertown,Wilson,Standard
Tennessee,ZIP Code 37185,Waverly,Humphreys,Standard
Tennessee,ZIP Code 37186,Westmoreland,Sumner,Standard
Tennessee,ZIP Code 37187,White Bluff,Dickson,Standard
Tennessee,ZIP Code 37188,White House,Robertson,Standard
Tennessee,ZIP Code 37189,Whites Creek,Davidson,Standard
Tennessee,ZIP Code 37190,Woodbury,Cannon,Standard
Tennessee,ZIP Code 37191,Woodlawn,Montgomery,Standard
Tennessee,ZIP Code 37201,Nashville,Davidson,Standard
Tennessee,ZIP Code 37202,Nashville,Davidson,P.O. Box
Tennessee,ZIP Code 37203,Nashville,Davidson,Standard
Tennessee,ZIP Code 37204,Nashville,Davidson,Standard
Tennessee,ZIP Code 37205,Nashville,Davidson,Standard
Tennessee,ZIP Code 37206,Nashville,Davidson,Standard
Tennessee,ZIP Code 37207,Nashville,Davidson,Standard
Tennessee,ZIP Code 37208,Nashville,Davidson,Standard
Tennessee,ZIP Code 37209,Nashville,Davidson,Standard
Tennessee,ZIP Code 37210,Nashville,Davidson,Standard
Tennessee,ZIP Code 37211,Nashville,Davidson,Standard
Tennessee,ZIP Code 37212,Nashville,Davidson,Standard
Tennessee,ZIP Code 37213,Nashville,Davidson,Standard
Tennessee,ZIP Code 37214,Nashville,Davidson,Standard
Tennessee,ZIP Code 37215,Nashville,Davidson,Standard
Tennessee,ZIP Code 37216,Nashville,Davidson,Standard
Tennessee,ZIP Code 37217,Nashville,Davidson,Standard
Tennessee,ZIP Code 37218,Nashville,Davidson,Standard
Tennessee,ZIP Code 37219,Nashville,Davidson,Standard
Tennessee,ZIP Code 37220,Nashville,Davidson,Standard
Tennessee,ZIP Code 37221,Nashville,Davidson,Standard
Tennessee,ZIP Code 37222,Nashville,Davidson,P.O. Box
Tennessee,ZIP Code 37224,Nashville,Davidson,P.O. Box
Tennessee,ZIP Code 37227,Nashville,Davidson,P.O. Box
Tennessee,ZIP Code 37228,Nashville,Davidson,Standard
Tennessee,ZIP Code 37229,Nashville,Davidson,P.O. Box
Tennessee,ZIP Code 37230,Nashville,Davidson,P.O. Box
Tennessee,ZIP Code 37232,Nashville,Davidson,Unique
Tennessee,ZIP Code 37234,Nashville,Davidson,Unique
Tennessee,ZIP Code 37235,Nashville,Davidson,Unique
Tennessee,ZIP Code 37236,Nashville,Davidson,Unique
Tennessee,ZIP Code 37238,Nashville,Davidson,Standard
Tennessee,ZIP Code 37240,Nashville,Davidson,Unique
Tennessee,ZIP Code 37241,Nashville,Davidson,Unique
Tennessee,ZIP Code 37242,Nashville,Davidson,Unique
Tennessee,ZIP Code 37243,Nashville,Davidson,Unique
Tennessee,ZIP Code 37244,Nashville,Davidson,P.O. Box
Tennessee,ZIP Code 37246,Nashville,Davidson,Unique
Tennessee,ZIP Code 37250,Nashville,Davidson,Unique
Tennessee,ZIP Code 37301,Altamont,Grundy,Standard
Tennessee,ZIP Code 37302,Apison,Hamilton,Standard
Tennessee,ZIP Code 37303,Athens,Mcminn,Standard
Tennessee,ZIP Code 37304,Bakewell,Hamilton,Standard
Tennessee,ZIP Code 37305,Beersheba Springs,Grundy,Standard
