State,ZIP Code,City,County,Type
West Virginia,ZIP Code 24701,Bluefield,Mercer,Standard
West Virginia,ZIP Code 24712,Athens,Mercer,Standard
West Virginia,ZIP Code 24714,Beeson,Mercer,Standard
West Virginia,ZIP Code 24715,Bramwell,Mercer,Standard
West Virginia,ZIP Code 24716,Bud,Wyoming,P.O. Box
West Virginia,ZIP Code 24719,Covel,Wyoming,P.O. Box
West Virginia,ZIP Code 24724,Freeman,Mercer,Standard
West Virginia,ZIP Code 24726,Herndon,Wyoming,Standard
West Virginia,ZIP Code 24729,Hiawatha,Mercer,P.O. Box
West Virginia,ZIP Code 24731,Kegley,Mercer,Standard
West Virginia,ZIP Code 24732,Kellysville,Mercer,P.O. Box
West Virginia,ZIP Code 24733,Lashmeet,Mercer,Standard
West Virginia,ZIP Code 24736,Matoaka,Mercer,Standard
West Virginia,ZIP Code 24737,Montcalm,Mercer,P.O. Box
West Virginia,ZIP Code 24738,Nemours,Mercer,P.O. Box
West Virginia,ZIP Code 24739,Princeton,Mercer,Standard
West Virginia,ZIP Code 24740,Princeton,Mercer,Standard
West Virginia,ZIP Code 24747,Rock,Mercer,Standard
West Virginia,ZIP Code 24751,Wolfe,Mercer,P.O. Box
West Virginia,ZIP Code 24801,Welch,Mcdowell,Standard
West Virginia,ZIP Code 24808,Anawalt,Mcdowell,Standard
West Virginia,ZIP Code 24811,Avondale,Mcdowell,P.O. Box
West Virginia,ZIP Code 24813,Bartley,Mcdowell,P.O. Box
West Virginia,ZIP Code 24815,Berwind,Mcdowell,Standard
West Virginia,ZIP Code 24816,Big Sandy,Mcdowell,P.O. Box
West Virginia,ZIP Code 24817,Bradshaw,Mcdowell,P.O. Box
West Virginia,ZIP Code 24818,Brenton,Wyoming,Standard
West Virginia,ZIP Code 24822,Clear Fork,Wyoming,Standard
West Virginia,ZIP Code 24823,Coal Mountain,Wyoming,Standard
West Virginia,ZIP Code 24826,Cucumber,Mcdowell,P.O. Box
West Virginia,ZIP Code 24827,Cyclone,Wyoming,Standard
West Virginia,ZIP Code 24828,Davy,Mcdowell,Standard
West Virginia,ZIP Code 24829,Eckman,Mcdowell,Standard
West Virginia,ZIP Code 24830,Elbert,Mcdowell,Standard
West Virginia,ZIP Code 24831,Elkhorn,Mcdowell,Standard
West Virginia,ZIP Code 24834,Fanrock,Wyoming,P.O. Box
West Virginia,ZIP Code 24836,Gary,Mcdowell,P.O. Box
West Virginia,ZIP Code 24839,Hanover,Wyoming,Standard
West Virginia,ZIP Code 24843,Hensley,Mcdowell,P.O. Box
West Virginia,ZIP Code 24844,Iaeger,Mcdowell,Standard
West Virginia,ZIP Code 24845,Ikes Fork,Wyoming,P.O. Box
West Virginia,ZIP Code 24846,Isaban,Mcdowell,Standard
West Virginia,ZIP Code 24847,Itmann,Wyoming,P.O. Box
West Virginia,ZIP Code 24848,Jenkinjones,Mcdowell,P.O. Box
West Virginia,ZIP Code 24849,Jesse,Wyoming,Standard
West Virginia,ZIP Code 24850,Jolo,Mcdowell,Standard
West Virginia,ZIP Code 24851,Justice,Mingo,P.O. Box
West Virginia,ZIP Code 24853,Kimball,Mcdowell,P.O. Box
West Virginia,ZIP Code 24854,Kopperston,Wyoming,P.O. Box
West Virginia,ZIP Code 24855,Kyle,Mcdowell,Standard
West Virginia,ZIP Code 24857,Lynco,Wyoming,P.O. Box
West Virginia,ZIP Code 24859,Marianna,Wyoming,P.O. Box
West Virginia,ZIP Code 24860,Matheny,Wyoming,Standard
West Virginia,ZIP Code 24861,Maybeury,Mcdowell,P.O. Box
West Virginia,ZIP Code 24862,Mohawk,Mcdowell,Standard
West Virginia,ZIP Code 24866,Newhall,Mcdowell,P.O. Box
West Virginia,ZIP Code 24867,New Richmond,Wyoming,P.O. Box
West Virginia,ZIP Code 24868,Northfork,Mcdowell,Standard
West Virginia,ZIP Code 24869,North Spring,Wyoming,Standard
West Virginia,ZIP Code 24870,Oceana,Wyoming,Standard
West Virginia,ZIP Code 24871,Pageton,Mcdowell,P.O. Box
West Virginia,ZIP Code 24872,Panther,Mcdowell,Standard
West Virginia,ZIP Code 24873,Paynesville,Mcdowell,Standard
West Virginia,ZIP Code 24874,Pineville,Wyoming,Standard
West Virginia,ZIP Code 24878,Premier,Mcdowell,P.O. Box
West Virginia,ZIP Code 24879,Raysal,Mcdowell,Standard
West Virginia,ZIP Code 24880,Rock View,Wyoming,Standard
West Virginia,ZIP Code 24881,Roderfield,Mcdowell,P.O. Box
West Virginia,ZIP Code 24882,Simon,Wyoming,Standard
West Virginia,ZIP Code 24884,Squire,Mcdowell,Standard
West Virginia,ZIP Code 24887,Switchback,Mcdowell,P.O. Box
West Virginia,ZIP Code 24888,Thorpe,Mcdowell,P.O. Box
West Virginia,ZIP Code 24892,War,Mcdowell,Standard
West Virginia,ZIP Code 24894,Warriormine,Mcdowell,P.O. Box
West Virginia,ZIP Code 24895,Wilcoe,Mcdowell,P.O. Box
West Virginia,ZIP Code 24898,Wyoming,Wyoming,Standard
West Virginia,ZIP Code 24901,Lewisburg,Greenbrier,Standard
West Virginia,ZIP Code 24902,Fairlea,Greenbrier,P.O. Box
West Virginia,ZIP Code 24910,Alderson,Monroe,Standard
West Virginia,ZIP Code 24915,Arbovale,Pocahontas,Standard
West Virginia,ZIP Code 24916,Asbury,Greenbrier,Standard
West Virginia,ZIP Code 24918,Ballard,Monroe,Standard
West Virginia,ZIP Code 24920,Bartow,Pocahontas,Standard
West Virginia,ZIP Code 24924,Buckeye,Pocahontas,Standard
West Virginia,ZIP Code 24925,Caldwell,Greenbrier,Standard
West Virginia,ZIP Code 24927,Cass,Pocahontas,Standard
West Virginia,ZIP Code 24931,Crawley,Greenbrier,Standard
West Virginia,ZIP Code 24934,Dunmore,Pocahontas,Standard
West Virginia,ZIP Code 24935,Forest Hill,Summers,Standard
West Virginia,ZIP Code 24938,Frankford,Greenbrier,Standard
West Virginia,ZIP Code 24941,Gap Mills,Monroe,Standard
West Virginia,ZIP Code 24943,Grassy Meadows,Greenbrier,Standard
West Virginia,ZIP Code 24944,Green Bank,Pocahontas,Standard
West Virginia,ZIP Code 24945,Greenville,Monroe,Standard
West Virginia,ZIP Code 24946,Hillsboro,Pocahontas,Standard
West Virginia,ZIP Code 24951,Lindside,Monroe,Standard
West Virginia,ZIP Code 24954,Marlinton,Pocahontas,Standard
West Virginia,ZIP Code 24957,Maxwelton,Greenbrier,Standard
West Virginia,ZIP Code 24962,Pence Springs,Summers,Standard
