State,ZIP Code,City,County,Type
Wisconsin,ZIP Code 53001,Adell,Sheboygan,Standard
Wisconsin,ZIP Code 53002,Allenton,Washington,Standard
Wisconsin,ZIP Code 53003,Ashippun,Dodge,P.O. Box
Wisconsin,ZIP Code 53004,Belgium,Ozaukee,Standard
Wisconsin,ZIP Code 53005,Brookfield,Waukesha,Standard
Wisconsin,ZIP Code 53006,Brownsville,Dodge,Standard
Wisconsin,ZIP Code 53007,Butler,Waukesha,Standard
Wisconsin,ZIP Code 53008,Brookfield,Waukesha,P.O. Box
Wisconsin,ZIP Code 53010,Campbellsport,Fond Du Lac,Standard
Wisconsin,ZIP Code 53011,Cascade,Sheboygan,Standard
Wisconsin,ZIP Code 53012,Cedarburg,Ozaukee,Standard
Wisconsin,ZIP Code 53013,Cedar Grove,Sheboygan,Standard
Wisconsin,ZIP Code 53014,Chilton,Calumet,Standard
Wisconsin,ZIP Code 53015,Cleveland,Manitowoc,Standard
Wisconsin,ZIP Code 53016,Clyman,Dodge,P.O. Box
Wisconsin,ZIP Code 53017,Colgate,Washington,Standard
Wisconsin,ZIP Code 53018,Delafield,Waukesha,Standard
Wisconsin,ZIP Code 53019,Eden,Fond Du Lac,Standard
Wisconsin,ZIP Code 53020,Elkhart Lake,Sheboygan,Standard
Wisconsin,ZIP Code 53021,Fredonia,Ozaukee,Standard
Wisconsin,ZIP Code 53022,Germantown,Washington,Standard
Wisconsin,ZIP Code 53023,Glenbeulah,Sheboygan,Standard
Wisconsin,ZIP Code 53024,Grafton,Ozaukee,Standard
Wisconsin,ZIP Code 53026,Greenbush,Sheboygan,P.O. Box
Wisconsin,ZIP Code 53027,Hartford,Washington,Standard
Wisconsin,ZIP Code 53029,Hartland,Waukesha,Standard
Wisconsin,ZIP Code 53031,Hingham,Sheboygan,P.O. Box
Wisconsin,ZIP Code 53032,Horicon,Dodge,Standard
Wisconsin,ZIP Code 53033,Hubertus,Washington,Standard
Wisconsin,ZIP Code 53034,Hustisford,Dodge,Standard
Wisconsin,ZIP Code 53035,Iron Ridge,Dodge,Standard
Wisconsin,ZIP Code 53036,Ixonia,Jefferson,Standard
Wisconsin,ZIP Code 53037,Jackson,Washington,Standard
Wisconsin,ZIP Code 53038,Johnson Creek,Jefferson,Standard
Wisconsin,ZIP Code 53039,Juneau,Dodge,Standard
Wisconsin,ZIP Code 53040,Kewaskum,Washington,Standard
Wisconsin,ZIP Code 53042,Kiel,Manitowoc,Standard
Wisconsin,ZIP Code 53044,Kohler,Sheboygan,Standard
Wisconsin,ZIP Code 53045,Brookfield,Waukesha,Standard
Wisconsin,ZIP Code 53046,Lannon,Waukesha,Standard
Wisconsin,ZIP Code 53047,Lebanon,Dodge,P.O. Box
Wisconsin,ZIP Code 53048,Lomira,Dodge,Standard
Wisconsin,ZIP Code 53049,Malone,Fond Du Lac,Standard
Wisconsin,ZIP Code 53050,Mayville,Dodge,Standard
