ZIP Code,City,County,Type
ZIP Code 90002,Los Angeles,Los Angeles,Standard
ZIP Code 90001,Los Angeles,Los Angeles,Standard
ZIP Code 90003,Los Angeles,Los Angeles,Standard
ZIP Code 90004,Los Angeles,Los Angeles,Standard
ZIP Code 90005,Los Angeles,Los Angeles,Standard
ZIP Code 90006,Los Angeles,Los Angeles,Standard
ZIP Code 90007,Los Angeles,Los Angeles,Standard
ZIP Code 90008,Los Angeles,Los Angeles,Standard
ZIP Code 90009,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90010,Los Angeles,Los Angeles,Standard
ZIP Code 90011,Los Angeles,Los Angeles,Standard
ZIP Code 90012,Los Angeles,Los Angeles,Standard
ZIP Code 90013,Los Angeles,Los Angeles,Standard
ZIP Code 90014,Los Angeles,Los Angeles,Standard
ZIP Code 90015,Los Angeles,Los Angeles,Standard
ZIP Code 90016,Los Angeles,Los Angeles,Standard
ZIP Code 90017,Los Angeles,Los Angeles,Standard
ZIP Code 90018,Los Angeles,Los Angeles,Standard
ZIP Code 90019,Los Angeles,Los Angeles,Standard
ZIP Code 90020,Los Angeles,Los Angeles,Standard
ZIP Code 90021,Los Angeles,Los Angeles,Standard
ZIP Code 90022,Los Angeles,Los Angeles,Standard
ZIP Code 90023,Los Angeles,Los Angeles,Standard
ZIP Code 90024,Los Angeles,Los Angeles,Standard
ZIP Code 90025,Los Angeles,Los Angeles,Standard
ZIP Code 90026,Los Angeles,Los Angeles,Standard
ZIP Code 90027,Los Angeles,Los Angeles,Standard
ZIP Code 90028,Los Angeles,Los Angeles,Standard
ZIP Code 90029,Los Angeles,Los Angeles,Standard
ZIP Code 90030,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90031,Los Angeles,Los Angeles,Standard
ZIP Code 90032,Los Angeles,Los Angeles,Standard
ZIP Code 90033,Los Angeles,Los Angeles,Standard
ZIP Code 90034,Los Angeles,Los Angeles,Standard
ZIP Code 90035,Los Angeles,Los Angeles,Standard
ZIP Code 90036,Los Angeles,Los Angeles,Standard
ZIP Code 90037,Los Angeles,Los Angeles,Standard
ZIP Code 90038,Los Angeles,Los Angeles,Standard
ZIP Code 90039,Los Angeles,Los Angeles,Standard
ZIP Code 90040,Los Angeles,Los Angeles,Standard
ZIP Code 90041,Los Angeles,Los Angeles,Standard
ZIP Code 90042,Los Angeles,Los Angeles,Standard
ZIP Code 90043,Los Angeles,Los Angeles,Standard
ZIP Code 90044,Los Angeles,Los Angeles,Standard
ZIP Code 90045,Los Angeles,Los Angeles,Standard
ZIP Code 90046,Los Angeles,Los Angeles,Standard
ZIP Code 90047,Los Angeles,Los Angeles,Standard
ZIP Code 90048,Los Angeles,Los Angeles,Standard
ZIP Code 90049,Los Angeles,Los Angeles,Standard
ZIP Code 90050,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90051,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90052,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90053,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90054,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90055,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90056,Los Angeles,Los Angeles,Standard
ZIP Code 90057,Los Angeles,Los Angeles,Standard
ZIP Code 90058,Los Angeles,Los Angeles,Standard
ZIP Code 90059,Los Angeles,Los Angeles,Standard
ZIP Code 90060,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90061,Los Angeles,Los Angeles,Standard
ZIP Code 90062,Los Angeles,Los Angeles,Standard
ZIP Code 90063,Los Angeles,Los Angeles,Standard
ZIP Code 90064,Los Angeles,Los Angeles,Standard
ZIP Code 90065,Los Angeles,Los Angeles,Standard
ZIP Code 90066,Los Angeles,Los Angeles,Standard
ZIP Code 90067,Los Angeles,Los Angeles,Standard
ZIP Code 90068,Los Angeles,Los Angeles,Standard
ZIP Code 90069,West Hollywood,Los Angeles,Standard
ZIP Code 90070,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90071,Los Angeles,Los Angeles,Standard
ZIP Code 90072,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90073,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90074,Los Angeles,Los Angeles,Unique
ZIP Code 90075,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90076,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90077,Los Angeles,Los Angeles,Standard
ZIP Code 90078,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90079,Los Angeles,Los Angeles,Standard
ZIP Code 90080,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90081,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90082,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90083,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90084,Los Angeles,Los Angeles,Unique
ZIP Code 90086,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90087,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90088,Los Angeles,Los Angeles,Unique
ZIP Code 90089,Los Angeles,Los Angeles,Unique
ZIP Code 90090,Dodgertown,Los Angeles,Unique
ZIP Code 90091,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90093,Los Angeles,Los Angeles,P.O. Box
ZIP Code 90094,Playa Vista,Los Angeles,Standard
ZIP Code 90095,Los Angeles,Los Angeles,Unique
ZIP Code 90096,Los Angeles,Los Angeles,Unique
ZIP Code 90099,Los Angeles,Los Angeles,Unique
ZIP Code 90134,Los Angeles,Los Angeles,Standard
ZIP Code 90189,Los Angeles,Los Angeles,Unique
ZIP Code 90201,Bell Gardens,Los Angeles,Standard
ZIP Code 90202,Bell,Los Angeles,P.O. Box
ZIP Code 90209,Beverly Hills,Los Angeles,P.O. Box
ZIP Code 90210,Beverly Hills,Los Angeles,Standard
ZIP Code 90211,Beverly Hills,Los Angeles,Standard
ZIP Code 90212,Beverly Hills,Los Angeles,Standard
ZIP Code 90213,Beverly Hills,Los Angeles,P.O. Box
ZIP Code 90220,Compton,Los Angeles,Standard
ZIP Code 90221,Compton,Los Angeles,Standard
ZIP Code 90222,Compton,Los Angeles,Standard
ZIP Code 90223,Compton,Los Angeles,P.O. Box
ZIP Code 90224,Compton,Los Angeles,P.O. Box
ZIP Code 90230,Culver City,Los Angeles,Standard
ZIP Code 90231,Culver City,Los Angeles,P.O. Box
ZIP Code 90232,Culver City,Los Angeles,Standard
ZIP Code 90233,Culver City,Los Angeles,P.O. Box
ZIP Code 90239,Downey,Los Angeles,P.O. Box
ZIP Code 90240,Downey,Los Angeles,Standard
ZIP Code 90241,Downey,Los Angeles,Standard
ZIP Code 90242,Downey,Los Angeles,Standard
ZIP Code 90245,El Segundo,Los Angeles,Standard
