ZIP CODE,City,County,Type
ZIP Code 06001,Avon,Hartford,Standard
ZIP Code 06002,Bloomfield,Hartford,Standard
ZIP Code 06006,Windsor,Hartford,Unique
ZIP Code 06010,Bristol,Hartford,Standard
ZIP Code 06011,Bristol,Hartford,P.O. Box
ZIP Code 06013,Burlington,Hartford,Standard
ZIP Code 06016,Broad Brook,Hartford,Standard
ZIP Code 06018,Canaan,Litchfield,Standard
ZIP Code 06019,Canton,Hartford,Standard
ZIP Code 06020,Canton Center,Hartford,P.O. Box
ZIP Code 06021,Colebrook,Litchfield,Standard
ZIP Code 06022,Collinsville,Hartford,P.O. Box
ZIP Code 06023,East Berlin,Hartford,Standard
ZIP Code 06024,East Canaan,Litchfield,Standard
ZIP Code 06025,East Glastonbury,Hartford,P.O. Box
ZIP Code 06026,East Granby,Hartford,Standard
ZIP Code 06027,East Hartland,Hartford,Standard
ZIP Code 06028,East Windsor Hill,Hartford,P.O. Box
ZIP Code 06029,Ellington,Tolland,Standard
ZIP Code 06030,Farmington,Hartford,Unique
ZIP Code 06031,Falls Village,Litchfield,Standard
ZIP Code 06032,Farmington,Hartford,Standard
ZIP Code 06033,Glastonbury,Hartford,Standard
ZIP Code 06034,Farmington,Hartford,P.O. Box
ZIP Code 06035,Granby,Hartford,Standard
ZIP Code 06037,Berlin,Hartford,Standard
ZIP Code 06039,Lakeville,Litchfield,Standard
ZIP Code 06040,Manchester,Hartford,Standard
ZIP Code 06041,Manchester,Hartford,Unique
ZIP Code 06042,Manchester,Hartford,Standard
ZIP Code 06043,Bolton,Tolland,Standard
ZIP Code 06045,Manchester,Hartford,P.O. Box
ZIP Code 06050,New Britain,Hartford,P.O. Box
ZIP Code 06051,New Britain,Hartford,Standard
ZIP Code 06052,New Britain,Hartford,Standard
ZIP Code 06053,New Britain,Hartford,Standard
ZIP Code 06057,New Hartford,Litchfield,Standard
ZIP Code 06058,Norfolk,Litchfield,Standard
ZIP Code 06059,North Canton,Hartford,P.O. Box
ZIP Code 06060,North Granby,Hartford,Standard
ZIP Code 06061,Pine Meadow,Litchfield,P.O. Box
ZIP Code 06062,Plainville,Hartford,Standard
ZIP Code 06063,Barkhamsted,Litchfield,Standard
ZIP Code 06064,Poquonock,Hartford,P.O. Box
ZIP Code 06065,Riverton,Litchfield,Standard
ZIP Code 06066,Vernon Rockville,Tolland,Standard
ZIP Code 06067,Rocky Hill,Hartford,Standard
ZIP Code 06068,Salisbury,Litchfield,Standard
ZIP Code 06069,Sharon,Litchfield,Standard
ZIP Code 06070,Simsbury,Hartford,Standard
ZIP Code 06071,Somers,Tolland,Standard
ZIP Code 06072,Somersville,Tolland,P.O. Box
ZIP Code 06073,South Glastonbury,Hartford,Standard
ZIP Code 06074,South Windsor,Hartford,Standard
ZIP Code 06075,Stafford,Tolland,P.O. Box
ZIP Code 06076,Stafford Springs,Tolland,Standard
ZIP Code 06077,Staffordville,Tolland,P.O. Box
ZIP Code 06078,Suffield,Hartford,Standard
ZIP Code 06079,Taconic,Litchfield,P.O. Box
ZIP Code 06080,Suffield,Hartford,Unique
ZIP Code 06081,Tariffville,Hartford,Standard
ZIP Code 06082,Enfield,Hartford,Standard
ZIP Code 06083,Enfield,Hartford,P.O. Box
ZIP Code 06084,Tolland,Tolland,Standard
ZIP Code 06085,Unionville,Hartford,Standard
ZIP Code 06088,East Windsor,Hartford,Standard
ZIP Code 06089,Weatogue,Hartford,Standard
ZIP Code 06090,West Granby,Hartford,Standard
ZIP Code 06091,West Hartland,Hartford,Standard
ZIP Code 06092,West Simsbury,Hartford,Standard
ZIP Code 06093,West Suffield,Hartford,Standard
ZIP Code 06094,Winchester Center,Litchfield,P.O. Box
ZIP Code 06095,Windsor,Hartford,Standard
ZIP Code 06096,Windsor Locks,Hartford,Standard
ZIP Code 06098,Winsted,Litchfield,Standard
ZIP Code 06101,Hartford,Hartford,Standard
ZIP Code 06102,Hartford,Hartford,P.O. Box
ZIP Code 06103,Hartford,Hartford,Standard
ZIP Code 06104,Hartford,Hartford,P.O. Box
ZIP Code 06105,Hartford,Hartford,Standard
ZIP Code 06106,Hartford,Hartford,Standard
ZIP Code 06107,West Hartford,Hartford,Standard
ZIP Code 06108,East Hartford,Hartford,Standard
ZIP Code 06109,Wethersfield,Hartford,Standard
ZIP Code 06110,West Hartford,Hartford,Standard
ZIP Code 06111,Newington,Hartford,Standard
ZIP Code 06112,Hartford,Hartford,Standard
ZIP Code 06114,Hartford,Hartford,Standard
ZIP Code 06115,Hartford,Hartford,P.O. Box
ZIP Code 06117,West Hartford,Hartford,Standard
ZIP Code 06118,East Hartford,Hartford,Standard
ZIP Code 06119,West Hartford,Hartford,Standard
ZIP Code 06120,Hartford,Hartford,Standard
ZIP Code 06123,Hartford,Hartford,P.O. Box
ZIP Code 06126,Hartford,Hartford,P.O. Box
ZIP Code 06127,West Hartford,Hartford,P.O. Box
ZIP Code 06128,East Hartford,Hartford,P.O. Box
ZIP Code 06129,Wethersfield,Hartford,P.O. Box
ZIP Code 06131,Newington,Hartford,P.O. Box
ZIP Code 06132,Hartford,Hartford,P.O. Box
ZIP Code 06133,West Hartford,Hartford,P.O. Box
ZIP Code 06134,Hartford,Hartford,P.O. Box
ZIP Code 06137,West Hartford,Hartford,P.O. Box
ZIP Code 06138,East Hartford,Hartford,P.O. Box
ZIP Code 06140,Hartford,Hartford,P.O. Box
ZIP Code 06141,Hartford,Hartford,P.O. Box
ZIP Code 06142,Hartford,Hartford,P.O. Box
ZIP Code 06143,Hartford,Hartford,P.O. Box
ZIP Code 06144,Hartford,Hartford,P.O. Box
ZIP Code 06145,Hartford,Hartford,P.O. Box
ZIP Code 06146,Hartford,Hartford,P.O. Box
ZIP Code 06147,Hartford,Hartford,P.O. Box
ZIP Code 06150,Hartford,Hartford,Unique
ZIP Code 06151,Hartford,Hartford,Unique
ZIP Code 06152,Hartford,Hartford,Standard
ZIP Code 06153,Hartford,Hartford,Unique
ZIP Code 06154,Hartford,Hartford,Unique
ZIP Code 06155,Hartford,Hartford,Unique
ZIP Code 06156,Hartford,Hartford,Unique
ZIP Code 06160,Hartford,Hartford,Unique
ZIP Code 06161,Hartford,Hartford,Unique
ZIP Code 06167,Hartford,Hartford,Unique
ZIP Code 06176,Hartford,Hartford,Unique
ZIP Code 06180,Hartford,Hartford,Unique
ZIP Code 06183,Hartford,Hartford,Unique
ZIP Code 06199,Hartford,Hartford,P.O. Box
ZIP Code 06226,Willimantic,Windham,Standard
ZIP Code 06230,Abington,Windham,P.O. Box
ZIP Code 06231,Amston,Tolland,Standard
ZIP Code 06232,Andover,Tolland,Standard
ZIP Code 06233,Ballouville,Windham,P.O. Box
ZIP Code 06234,Brooklyn,Windham,Standard
ZIP Code 06235,Chaplin,Windham,Standard
ZIP Code 06237,Columbia,Tolland,Standard
ZIP Code 06238,Coventry,Tolland,Standard
ZIP Code 06239,Danielson,Windham,Standard
ZIP Code 06241,Dayville,Windham,Standard
ZIP Code 06242,Eastford,Windham,Standard
ZIP Code 06243,East Killingly,Windham,Standard
ZIP Code 06244,East Woodstock,Windham,P.O. Box
ZIP Code 06245,Fabyan,Windham,P.O. Box
ZIP Code 06246,Grosvenor Dale,Windham,P.O. Box
ZIP Code 06247,Hampton,Windham,Standard
ZIP Code 06248,Hebron,Tolland,Standard
ZIP Code 06249,Lebanon,New London,Standard
ZIP Code 06250,Mansfield Center,Tolland,Standard
ZIP Code 06251,Mansfield Depot,Tolland,P.O. Box
ZIP Code 06254,North Franklin,New London,Standard
ZIP Code 06255,North Grosvenordale,Windham,Standard
ZIP Code 06256,North Windham,Windham,Standard
ZIP Code 06258,Pomfret,Windham,P.O. Box
ZIP Code 06259,Pomfret Center,Windham,Standard
ZIP Code 06260,Putnam,Windham,Standard
ZIP Code 06262,Quinebaug,Windham,Standard
ZIP Code 06263,Rogers,Windham,P.O. Box
ZIP Code 06264,Scotland,Windham,Standard
ZIP Code 06265,South Willington,Tolland,Standard
ZIP Code 06266,South Windham,Windham,Standard
ZIP Code 06267,South Woodstock,Windham,P.O. Box
ZIP Code 06268,Storrs Mansfield,Tolland,Standard
ZIP Code 06269,Storrs Mansfield,Tolland,Unique
ZIP Code 06277,Thompson,Windham,Standard
ZIP Code 06278,Ashford,Windham,Standard
ZIP Code 06279,Willington,Tolland,Standard
ZIP Code 06280,Windham,Windham,Standard
ZIP Code 06281,Woodstock,Windham,Standard
ZIP Code 06282,Woodstock Valley,Windham,Standard
ZIP Code 06320,New London,New London,Standard
ZIP Code 06330,Baltic,New London,Standard
ZIP Code 06331,Canterbury,Windham,Standard
ZIP Code 06332,Central Village,Windham,P.O. Box
ZIP Code 06333,East Lyme,New London,Standard
ZIP Code 06334,Bozrah,New London,Standard
ZIP Code 06335,Gales Ferry,New London,Standard
ZIP Code 06336,Gilman,New London,Standard
ZIP Code 06338,Mashantucket,New London,P.O. Box
ZIP Code 06339,Ledyard,New London,Standard
ZIP Code 06340,Groton,New London,Standard
ZIP Code 06349,Groton,New London,P.O. Box
ZIP Code 06350,Hanover,New London,P.O. Box
ZIP Code 06351,Jewett City,New London,Standard
ZIP Code 06353,Montville,New London,Standard
ZIP Code 06354,Moosup,Windham,Standard
ZIP Code 06355,Mystic,New London,Standard
