ZIP Code,City,County,Type
ZIP Code 19701,Bear,New Castle,Standard
ZIP Code 19702,Newark,New Castle,Standard
ZIP Code 19703,Claymont,New Castle,Standard
ZIP Code 19706,Delaware City,New Castle,P.O. Box
ZIP Code 19707,Hockessin,New Castle,Standard
ZIP Code 19708,Kirkwood,New Castle,P.O. Box
ZIP Code 19709,Middletown,New Castle,Standard
ZIP Code 19710,Montchanin,New Castle,P.O. Box
ZIP Code 19711,Newark,New Castle,Standard
ZIP Code 19712,Newark,New Castle,Unique
ZIP Code 19713,Newark,New Castle,Standard
ZIP Code 19714,Newark,New Castle,P.O. Box
ZIP Code 19715,Newark,New Castle,P.O. Box
ZIP Code 19716,Newark,New Castle,Standard
ZIP Code 19717,Newark,New Castle,Standard
ZIP Code 19718,Newark,New Castle,Unique
ZIP Code 19720,New Castle,New Castle,Standard
ZIP Code 19721,New Castle,New Castle,Unique
ZIP Code 19725,Newark,New Castle,Unique
ZIP Code 19726,New Castle,New Castle,Unique
ZIP Code 19730,Odessa,New Castle,P.O. Box
ZIP Code 19731,Port Penn,New Castle,P.O. Box
ZIP Code 19732,Rockland,New Castle,P.O. Box
ZIP Code 19733,Saint Georges,New Castle,P.O. Box
ZIP Code 19734,Townsend,New Castle,Standard
ZIP Code 19735,Winterthur,New Castle,Standard
ZIP Code 19736,Yorklyn,New Castle,Standard
ZIP Code 19801,Wilmington,New Castle,Standard
ZIP Code 19802,Wilmington,New Castle,Standard
ZIP Code 19803,Wilmington,New Castle,Standard
ZIP Code 19804,Wilmington,New Castle,Standard
ZIP Code 19805,Wilmington,New Castle,Standard
ZIP Code 19806,Wilmington,New Castle,Standard
ZIP Code 19807,Wilmington,New Castle,Standard
ZIP Code 19808,Wilmington,New Castle,Standard
ZIP Code 19809,Wilmington,New Castle,Standard
ZIP Code 19810,Wilmington,New Castle,Standard
ZIP Code 19850,Wilmington,New Castle,P.O. Box
ZIP Code 19880,Wilmington,New Castle,P.O. Box
ZIP Code 19884,Wilmington,New Castle,Unique
ZIP Code 19885,Wilmington,New Castle,Unique
ZIP Code 19886,Wilmington,New Castle,Unique
ZIP Code 19890,Wilmington,New Castle,Unique
ZIP Code 19891,Wilmington,New Castle,Unique
ZIP Code 19892,Wilmington,New Castle,Unique
ZIP Code 19893,Wilmington,New Castle,Unique
ZIP Code 19894,Wilmington,New Castle,Unique
ZIP Code 19895,Wilmington,New Castle,Unique
ZIP Code 19896,Wilmington,New Castle,Unique
ZIP Code 19897,Wilmington,New Castle,Unique
ZIP Code 19898,Wilmington,New Castle,Unique
ZIP Code 19899,Wilmington,New Castle,P.O. Box
ZIP Code 19901,Dover,Kent,Standard
ZIP Code 19902,Dover AFB,Kent,Standard
ZIP Code 19903,Dover,Kent,P.O. Box
ZIP Code 19904,Dover,Kent,Standard
ZIP Code 19905,Dover,Kent,P.O. Box
ZIP Code 19906,Dover,Kent,Standard
ZIP Code 19930,Bethany Beach,Sussex,Standard
ZIP Code 19931,Bethel,Sussex,Standard
ZIP Code 19933,Bridgeville,Sussex,Standard
ZIP Code 19934,Camden Wyoming,Kent,Standard
ZIP Code 19936,Cheswold,Kent,P.O. Box
ZIP Code 19938,Clayton,Kent,Standard
ZIP Code 19939,Dagsboro,Sussex,Standard
ZIP Code 19940,Delmar,Sussex,Standard
ZIP Code 19941,Ellendale,Sussex,Standard
ZIP Code 19943,Felton,Kent,Standard
ZIP Code 19944,Fenwick Island,Sussex,Standard
ZIP Code 19945,Frankford,Sussex,Standard
ZIP Code 19946,Frederica,Kent,Standard
ZIP Code 19947,Georgetown,Sussex,Standard
ZIP Code 19950,Greenwood,Sussex,Standard
ZIP Code 19951,Harbeson,Sussex,Standard
ZIP Code 19952,Harrington,Kent,Standard
ZIP Code 19953,Hartly,Kent,Standard
ZIP Code 19954,Houston,Kent,Standard
ZIP Code 19955,Kenton,Kent,P.O. Box
ZIP Code 19956,Laurel,Sussex,Standard
ZIP Code 19958,Lewes,Sussex,Standard
ZIP Code 19960,Lincoln,Sussex,Standard
ZIP Code 19961,Little Creek,Kent,P.O. Box
ZIP Code 19962,Magnolia,Kent,Standard
ZIP Code 19963,Milford,Sussex,Standard
ZIP Code 19964,Marydel,Kent,Standard
ZIP Code 19966,Millsboro,Sussex,Standard
ZIP Code 19967,Millville,Sussex,Standard
ZIP Code 19968,Milton,Sussex,Standard
ZIP Code 19969,Nassau,Sussex,P.O. Box
ZIP Code 19970,Ocean View,Sussex,Standard
ZIP Code 19971,Rehoboth Beach,Sussex,Standard
ZIP Code 19973,Seaford,Sussex,Standard
ZIP Code 19975,Selbyville,Sussex,Standard
ZIP Code 19977,Smyrna,Kent,Standard
ZIP Code 19979,Viola,Kent,Standard
ZIP Code 19980,Woodside,Kent,P.O. Box
