ZIP Code,City,County,Type
ZIP Code 32003,Fleming Island,Clay,Standard
ZIP Code 32004,Ponte Vedra Beach,Saint Johns,P.O. Box
ZIP Code 32006,Fleming Island,Clay,P.O. Box
ZIP Code 32007,Bostwick,Putnam,P.O. Box
ZIP Code 32008,Branford,Suwannee,Standard
ZIP Code 32009,Bryceville,Nassau,Standard
ZIP Code 32011,Callahan,Nassau,Standard
ZIP Code 32013,Day,Lafayette,P.O. Box
ZIP Code 32024,Lake City,Columbia,Standard
ZIP Code 32025,Lake City,Columbia,Standard
ZIP Code 32030,Doctors Inlet,Clay,P.O. Box
ZIP Code 32033,Elkton,Saint Johns,Standard
ZIP Code 32034,Fernandina Beach,Nassau,Standard
ZIP Code 32035,Fernandina Beach,Nassau,P.O. Box
ZIP Code 32038,Fort White,Columbia,Standard
ZIP Code 32040,Glen Saint Mary,Baker,Standard
ZIP Code 32041,Yulee,Nassau,P.O. Box
ZIP Code 32042,Graham,Bradford,P.O. Box
ZIP Code 32043,Green Cove Springs,Clay,Standard
ZIP Code 32044,Hampton,Bradford,Standard
ZIP Code 32046,Hilliard,Nassau,Standard
ZIP Code 32050,Middleburg,Clay,P.O. Box
ZIP Code 32052,Jasper,Hamilton,Standard
ZIP Code 32053,Jennings,Hamilton,Standard
ZIP Code 32054,Lake Butler,Union,Standard
ZIP Code 32055,Lake City,Columbia,Standard
ZIP Code 32056,Lake City,Columbia,P.O. Box
ZIP Code 32058,Lawtey,Bradford,Standard
ZIP Code 32059,Lee,Madison,Standard
ZIP Code 32060,Live Oak,Suwannee,Standard
ZIP Code 32061,Lulu,Columbia,Standard
ZIP Code 32062,Mc Alpin,Suwannee,Standard
ZIP Code 32063,Macclenny,Baker,Standard
ZIP Code 32064,Live Oak,Suwannee,Standard
ZIP Code 32065,Orange Park,Clay,Standard
ZIP Code 32066,Mayo,Lafayette,Standard
ZIP Code 32067,Orange Park,Clay,P.O. Box
ZIP Code 32068,Middleburg,Clay,Standard
ZIP Code 32071,O Brien,Suwannee,Standard
ZIP Code 32073,Orange Park,Clay,Standard
ZIP Code 32079,Penney Farms,Clay,P.O. Box
ZIP Code 32080,Saint Augustine,Saint Johns,Standard
ZIP Code 32081,Ponte Vedra,Saint Johns,Standard
ZIP Code 32082,Ponte Vedra Beach,Saint Johns,Standard
ZIP Code 32083,Raiford,Union,Standard
ZIP Code 32084,Saint Augustine,Saint Johns,Standard
ZIP Code 32085,Saint Augustine,Saint Johns,P.O. Box
ZIP Code 32086,Saint Augustine,Saint Johns,Standard
ZIP Code 32087,Sanderson,Baker,Standard
ZIP Code 32091,Starke,Bradford,Standard
ZIP Code 32092,Saint Augustine,Saint Johns,Standard
ZIP Code 32094,Wellborn,Suwannee,Standard
ZIP Code 32095,Saint Augustine,Saint Johns,Standard
ZIP Code 32096,White Springs,Hamilton,Standard
ZIP Code 32097,Yulee,Nassau,Standard
ZIP Code 32099,Jacksonville,Duval,Standard
ZIP Code 32102,Astor,Lake,Standard
ZIP Code 32105,Barberville,Volusia,P.O. Box
ZIP Code 32110,Bunnell,Flagler,Standard
ZIP Code 32111,Candler,Marion,P.O. Box
ZIP Code 32112,Crescent City,Putnam,Standard
ZIP Code 32113,Citra,Marion,Standard
ZIP Code 32114,Daytona Beach,Volusia,Standard
ZIP Code 32115,Daytona Beach,Volusia,P.O. Box
ZIP Code 32116,Daytona Beach,Volusia,P.O. Box
ZIP Code 32117,Daytona Beach,Volusia,Standard
ZIP Code 32118,Daytona Beach,Volusia,Standard
ZIP Code 32119,Daytona Beach,Volusia,Standard
ZIP Code 32120,Daytona Beach,Volusia,P.O. Box
ZIP Code 32121,Daytona Beach,Volusia,P.O. Box
ZIP Code 32122,Daytona Beach,Volusia,P.O. Box
ZIP Code 32123,Port Orange,Volusia,P.O. Box
ZIP Code 32124,Daytona Beach,Volusia,Standard
ZIP Code 32125,Daytona Beach,Volusia,P.O. Box
ZIP Code 32126,Daytona Beach,Volusia,P.O. Box
ZIP Code 32127,Port Orange,Volusia,Standard
ZIP Code 32128,Port Orange,Volusia,Standard
ZIP Code 32129,Port Orange,Volusia,Standard
ZIP Code 32130,De Leon Springs,Volusia,Standard
ZIP Code 32131,East Palatka,Putnam,Standard
ZIP Code 32132,Edgewater,Volusia,Standard
ZIP Code 32133,Eastlake Weir,Marion,P.O. Box
ZIP Code 32134,Fort Mc Coy,Marion,Standard
ZIP Code 32135,Palm Coast,Flagler,P.O. Box
ZIP Code 32136,Flagler Beach,Flagler,Standard
ZIP Code 32137,Palm Coast,Flagler,Standard
ZIP Code 32138,Grandin,Putnam,P.O. Box
ZIP Code 32139,Georgetown,Putnam,Standard
ZIP Code 32140,Florahome,Putnam,Standard
ZIP Code 32141,Edgewater,Volusia,Standard
ZIP Code 32142,Palm Coast,Flagler,P.O. Box
ZIP Code 32143,Palm Coast,Flagler,P.O. Box
ZIP Code 32145,Hastings,Saint Johns,Standard
ZIP Code 32147,Hollister,Putnam,P.O. Box
ZIP Code 32148,Interlachen,Putnam,Standard
ZIP Code 32149,Interlachen,Putnam,P.O. Box
ZIP Code 32157,Lake Como,Putnam,P.O. Box
ZIP Code 32158,Lady Lake,Lake,P.O. Box
ZIP Code 32159,Lady Lake,Lake,Standard
ZIP Code 32160,Lake Geneva,Clay,P.O. Box
ZIP Code 32162,The Villages,Sumter,Standard
ZIP Code 32163,The Villages,Sumter,Standard
ZIP Code 32164,Palm Coast,Flagler,Standard
ZIP Code 32168,New Smyrna Beach,Volusia,Standard
ZIP Code 32169,New Smyrna Beach,Volusia,Standard
ZIP Code 32170,New Smyrna Beach,Volusia,P.O. Box
ZIP Code 32173,Ormond Beach,Volusia,P.O. Box
ZIP Code 32174,Ormond Beach,Volusia,Standard
ZIP Code 32175,Ormond Beach,Volusia,P.O. Box
ZIP Code 32176,Ormond Beach,Volusia,Standard
ZIP Code 32177,Palatka,Putnam,Standard
ZIP Code 32178,Palatka,Putnam,P.O. Box
ZIP Code 32179,Ocklawaha,Marion,Standard
ZIP Code 32180,Pierson,Volusia,Standard
ZIP Code 32181,Pomona Park,Putnam,Standard
