ZIP CODE,City,County,Type
ZIP Code 50001,Ackworth,Warren,Standard
ZIP Code 50002,Adair,Adair,Standard
ZIP Code 50003,Adel,Dallas,Standard
ZIP Code 50005,Albion,Marshall,Standard
ZIP Code 50006,Alden,Hardin,Standard
ZIP Code 50007,Alleman,Polk,Standard
ZIP Code 50008,Allerton,Wayne,Standard
ZIP Code 50009,Altoona,Polk,Standard
ZIP Code 50010,Ames,Story,Standard
ZIP Code 50011,Ames,Story,Unique
ZIP Code 50012,Ames,Story,Unique
ZIP Code 50013,Ames,Story,Unique
ZIP Code 50014,Ames,Story,Standard
ZIP Code 50020,Anita,Cass,Standard
ZIP Code 50021,Ankeny,Polk,Standard
ZIP Code 50022,Atlantic,Cass,Standard
ZIP Code 50023,Ankeny,Polk,Standard
ZIP Code 50025,Audubon,Audubon,Standard
ZIP Code 50026,Bagley,Guthrie,Standard
ZIP Code 50027,Barnes City,Mahaska,Standard
ZIP Code 50028,Baxter,Jasper,Standard
ZIP Code 50029,Bayard,Guthrie,Standard
ZIP Code 50031,Beaver,Boone,P.O. Box
ZIP Code 50032,Berwick,Polk,P.O. Box
ZIP Code 50033,Bevington,Madison,Standard
ZIP Code 50034,Blairsburg,Hamilton,Standard
ZIP Code 50035,Bondurant,Polk,Standard
ZIP Code 50036,Boone,Boone,Standard
ZIP Code 50037,Boone,Boone,P.O. Box
ZIP Code 50038,Booneville,Dallas,Standard
ZIP Code 50039,Bouton,Dallas,Standard
ZIP Code 50040,Boxholm,Boone,P.O. Box
ZIP Code 50041,Bradford,Franklin,P.O. Box
ZIP Code 50042,Brayton,Audubon,Standard
ZIP Code 50043,Buckeye,Hardin,P.O. Box
ZIP Code 50044,Bussey,Marion,Standard
ZIP Code 50046,Cambridge,Story,Standard
ZIP Code 50047,Carlisle,Warren,Standard
ZIP Code 50048,Casey,Guthrie,Standard
ZIP Code 50049,Chariton,Lucas,Standard
ZIP Code 50050,Churdan,Greene,Standard
ZIP Code 50051,Clemons,Marshall,Standard
ZIP Code 50052,Clio,Wayne,Standard
ZIP Code 50054,Colfax,Jasper,Standard
ZIP Code 50055,Collins,Story,Standard
ZIP Code 50056,Colo,Story,Standard
ZIP Code 50057,Columbia,Marion,Standard
ZIP Code 50058,Coon Rapids,Carroll,Standard
ZIP Code 50059,Cooper,Greene,Standard
ZIP Code 50060,Corydon,Wayne,Standard
ZIP Code 50061,Cumming,Warren,Standard
ZIP Code 50062,Melcher Dallas,Marion,Standard
ZIP Code 50063,Dallas Center,Dallas,Standard
ZIP Code 50064,Dana,Greene,Standard
ZIP Code 50065,Davis City,Decatur,Standard
ZIP Code 50066,Dawson,Dallas,Standard
ZIP Code 50067,Decatur,Decatur,Standard
ZIP Code 50068,Derby,Lucas,Standard
ZIP Code 50069,De Soto,Dallas,Standard
ZIP Code 50070,Dexter,Dallas,Standard
ZIP Code 50071,Dows,Wright,Standard
ZIP Code 50072,Earlham,Madison,Standard
ZIP Code 50073,Elkhart,Polk,Standard
ZIP Code 50074,Ellston,Ringgold,Standard
ZIP Code 50075,Ellsworth,Hamilton,Standard
ZIP Code 50076,Exira,Audubon,Standard
ZIP Code 50078,Ferguson,Marshall,P.O. Box
ZIP Code 50099,Boone,Boone,P.O. Box
ZIP Code 50101,Galt,Wright,Standard
ZIP Code 50102,Garden City,Hardin,P.O. Box
ZIP Code 50103,Garden Grove,Decatur,Standard
ZIP Code 50104,Gibson,Keokuk,Standard
ZIP Code 50105,Gilbert,Story,Standard
ZIP Code 50106,Gilman,Marshall,Standard
ZIP Code 50107,Grand Junction,Greene,Standard
ZIP Code 50108,Grand River,Decatur,Standard
ZIP Code 50109,Granger,Dallas,Standard
ZIP Code 50110,Gray,Audubon,P.O. Box
ZIP Code 50111,Grimes,Polk,Standard
ZIP Code 50112,Grinnell,Poweshiek,Standard
ZIP Code 50115,Guthrie Center,Guthrie,Standard
ZIP Code 50116,Hamilton,Marion,Standard
ZIP Code 50117,Hamlin,Audubon,Standard
ZIP Code 50118,Hartford,Warren,Standard
ZIP Code 50119,Harvey,Marion,Standard
ZIP Code 50120,Haverhill,Marshall,Standard
ZIP Code 50122,Hubbard,Hardin,Standard
ZIP Code 50123,Humeston,Wayne,Standard
ZIP Code 50124,Huxley,Story,Standard
ZIP Code 50125,Indianola,Warren,Standard
ZIP Code 50126,Iowa Falls,Hardin,Standard
ZIP Code 50127,Ira,Jasper,Standard
ZIP Code 50128,Jamaica,Guthrie,Standard
ZIP Code 50129,Jefferson,Greene,Standard
ZIP Code 50130,Jewell,Hamilton,Standard
ZIP Code 50131,Johnston,Polk,Standard
ZIP Code 50132,Kamrar,Hamilton,Standard
ZIP Code 50133,Kellerton,Ringgold,Standard
ZIP Code 50134,Kelley,Story,Standard
