ZIP Code,City,County,Type
ZIP Code 66002,Atchison,Atchison,Standard
ZIP Code 66006,Baldwin City,Douglas,Standard
ZIP Code 66007,Basehor,Leavenworth,Standard
ZIP Code 66008,Bendena,Doniphan,Standard
ZIP Code 66010,Blue Mound,Linn,Standard
ZIP Code 66012,Bonner Springs,Wyandotte,Standard
ZIP Code 66013,Bucyrus,Miami,Standard
ZIP Code 66014,Centerville,Anderson,Standard
ZIP Code 66015,Colony,Anderson,Standard
ZIP Code 66016,Cummings,Atchison,Standard
ZIP Code 66017,Denton,Doniphan,Standard
ZIP Code 66018,De Soto,Johnson,Standard
ZIP Code 66020,Easton,Leavenworth,Standard
ZIP Code 66021,Edgerton,Johnson,Standard
ZIP Code 66023,Effingham,Atchison,Standard
ZIP Code 66024,Elwood,Doniphan,P.O. Box
ZIP Code 66025,Eudora,Douglas,Standard
ZIP Code 66026,Fontana,Miami,Standard
ZIP Code 66027,Fort Leavenworth,Leavenworth,Standard
ZIP Code 66030,Gardner,Johnson,Standard
ZIP Code 66031,New Century,Johnson,Standard
ZIP Code 66032,Garnett,Anderson,Standard
ZIP Code 66033,Greeley,Anderson,Standard
ZIP Code 66035,Highland,Doniphan,Standard
ZIP Code 66036,Hillsdale,Miami,P.O. Box
ZIP Code 66039,Kincaid,Anderson,Standard
ZIP Code 66040,La Cygne,Linn,Standard
ZIP Code 66041,Lancaster,Atchison,Standard
ZIP Code 66042,Lane,Franklin,Standard
ZIP Code 66043,Lansing,Leavenworth,Standard
ZIP Code 66044,Lawrence,Douglas,Standard
ZIP Code 66045,Lawrence,Douglas,Unique
ZIP Code 66046,Lawrence,Douglas,Standard
ZIP Code 66047,Lawrence,Douglas,Standard
ZIP Code 66048,Leavenworth,Leavenworth,Standard
ZIP Code 66049,Lawrence,Douglas,Standard
ZIP Code 66050,Lecompton,Douglas,Standard
ZIP Code 66051,Olathe,Johnson,P.O. Box
ZIP Code 66052,Linwood,Leavenworth,Standard
ZIP Code 66053,Louisburg,Miami,Standard
ZIP Code 66054,Mc Louth,Jefferson,Standard
ZIP Code 66056,Mound City,Linn,Standard
ZIP Code 66058,Muscotah,Atchison,Standard
ZIP Code 66060,Nortonville,Jefferson,Standard
ZIP Code 66061,Olathe,Johnson,Standard
ZIP Code 66062,Olathe,Johnson,Standard
ZIP Code 66063,Olathe,Johnson,P.O. Box
ZIP Code 66064,Osawatomie,Miami,Standard
ZIP Code 66066,Oskaloosa,Jefferson,Standard
ZIP Code 66067,Ottawa,Franklin,Standard
ZIP Code 66070,Ozawkie,Jefferson,Standard
ZIP Code 66071,Paola,Miami,Standard
ZIP Code 66072,Parker,Linn,Standard
ZIP Code 66073,Perry,Jefferson,Standard
ZIP Code 66075,Pleasanton,Linn,Standard
ZIP Code 66076,Pomona,Franklin,Standard
ZIP Code 66078,Princeton,Franklin,Standard
ZIP Code 66079,Rantoul,Franklin,Standard
ZIP Code 66080,Richmond,Franklin,Standard
ZIP Code 66083,Spring Hill,Johnson,Standard
ZIP Code 66085,Stilwell,Johnson,Standard
ZIP Code 66086,Tonganoxie,Leavenworth,Standard
ZIP Code 66087,Troy,Doniphan,Standard
ZIP Code 66088,Valley Falls,Jefferson,Standard
ZIP Code 66090,Wathena,Doniphan,Standard
ZIP Code 66091,Welda,Anderson,Standard
ZIP Code 66092,Wellsville,Franklin,Standard
ZIP Code 66093,Westphalia,Anderson,Standard
ZIP Code 66094,White Cloud,Doniphan,Standard
ZIP Code 66095,Williamsburg,Franklin,Standard
ZIP Code 66097,Winchester,Jefferson,Standard
ZIP Code 66101,Kansas City,Wyandotte,Standard
ZIP Code 66102,Kansas City,Wyandotte,Standard
ZIP Code 66103,Kansas City,Wyandotte,Standard
ZIP Code 66104,Kansas City,Wyandotte,Standard
ZIP Code 66105,Kansas City,Wyandotte,Standard
ZIP Code 66106,Kansas City,Wyandotte,Standard
ZIP Code 66109,Kansas City,Wyandotte,Standard
ZIP Code 66110,Kansas City,Wyandotte,P.O. Box
ZIP Code 66111,Kansas City,Wyandotte,Standard
ZIP Code 66112,Kansas City,Wyandotte,Standard
ZIP Code 66113,Edwardsville,Wyandotte,P.O. Box
ZIP Code 66115,Kansas City,Wyandotte,Standard
ZIP Code 66117,Kansas City,Wyandotte,P.O. Box
ZIP Code 66118,Kansas City,Wyandotte,Standard
ZIP Code 66119,Kansas City,Wyandotte,P.O. Box
ZIP Code 66160,Kansas City,Wyandotte,Unique
ZIP Code 66201,Mission,Johnson,P.O. Box
ZIP Code 66202,Mission,Johnson,Standard
ZIP Code 66203,Shawnee,Johnson,Standard
ZIP Code 66204,Overland Park,Johnson,Standard
ZIP Code 66205,Mission,Johnson,Standard
ZIP Code 66206,Leawood,Johnson,Standard
ZIP Code 66207,Overland Park,Johnson,Standard
ZIP Code 66208,Prairie Village,Johnson,Standard
ZIP Code 66209,Leawood,Johnson,Standard
ZIP Code 66210,Overland Park,Johnson,Standard
ZIP Code 66211,Leawood,Johnson,Standard
ZIP Code 66212,Overland Park,Johnson,Standard
ZIP Code 66213,Overland Park,Johnson,Standard
ZIP Code 66214,Overland Park,Johnson,Standard
ZIP Code 66215,Lenexa,Johnson,Standard
ZIP Code 66216,Shawnee,Johnson,Standard
ZIP Code 66217,Shawnee,Johnson,Standard
ZIP Code 66218,Shawnee,Johnson,Standard
ZIP Code 66219,Lenexa,Johnson,Standard
ZIP Code 66220,Lenexa,Johnson,Standard
ZIP Code 66221,Overland Park,Johnson,Standard
ZIP Code 66222,Mission,Johnson,P.O. Box
ZIP Code 66223,Overland Park,Johnson,Standard
ZIP Code 66224,Overland Park,Johnson,Standard
ZIP Code 66225,Overland Park,Johnson,P.O. Box
ZIP Code 66226,Shawnee,Johnson,Standard
ZIP Code 66227,Lenexa,Johnson,Standard
ZIP Code 66250,Lenexa,Johnson,Unique
ZIP Code 66251,Overland Park,Johnson,Unique
ZIP Code 66276,Lenexa,Johnson,Unique
ZIP Code 66282,Overland Park,Johnson,P.O. Box
ZIP Code 66283,Overland Park,Johnson,P.O. Box
ZIP Code 66285,Lenexa,Johnson,P.O. Box
ZIP Code 66286,Shawnee,Johnson,P.O. Box
ZIP Code 66401,Alma,Wabaunsee,Standard
ZIP Code 66402,Auburn,Shawnee,Standard
ZIP Code 66403,Axtell,Marshall,Standard
ZIP Code 66404,Baileyville,Nemaha,Standard
ZIP Code 66406,Beattie,Marshall,Standard
ZIP Code 66407,Belvue,Pottawatomie,Standard
ZIP Code 66408,Bern,Nemaha,Standard
ZIP Code 66409,Berryton,Shawnee,Standard
ZIP Code 66411,Blue Rapids,Marshall,Standard
ZIP Code 66412,Bremen,Marshall,Standard
ZIP Code 66413,Burlingame,Osage,Standard
ZIP Code 66414,Carbondale,Osage,Standard
ZIP Code 66415,Centralia,Nemaha,Standard
ZIP Code 66416,Circleville,Jackson,Standard
ZIP Code 66417,Corning,Nemaha,Standard
ZIP Code 66418,Delia,Jackson,Standard
ZIP Code 66419,Denison,Jackson,Standard
ZIP Code 66420,Dover,Shawnee,P.O. Box
ZIP Code 66422,Emmett,Pottawatomie,Standard
ZIP Code 66423,Eskridge,Wabaunsee,Standard
ZIP Code 66424,Everest,Brown,Standard
ZIP Code 66425,Fairview,Brown,Standard
ZIP Code 66426,Fostoria,Pottawatomie,P.O. Box
ZIP Code 66427,Frankfort,Marshall,Standard
ZIP Code 66428,Goff,Nemaha,Standard
ZIP Code 66429,Grantville,Jefferson,Standard
ZIP Code 66431,Harveyville,Wabaunsee,Standard
ZIP Code 66432,Havensville,Pottawatomie,Standard
ZIP Code 66434,Hiawatha,Brown,Standard
ZIP Code 66436,Holton,Jackson,Standard
ZIP Code 66438,Home,Marshall,Standard
ZIP Code 66439,Horton,Brown,Standard
ZIP Code 66440,Hoyt,Jackson,Standard
ZIP Code 66441,Junction City,Geary,Standard
ZIP Code 66442,Fort Riley,Geary,Standard
ZIP Code 66449,Leonardville,Riley,Standard
ZIP Code 66451,Lyndon,Osage,Standard
ZIP Code 66501,Mc Farland,Wabaunsee,P.O. Box
ZIP Code 66502,Manhattan,Riley,Standard
ZIP Code 66503,Manhattan,Riley,Standard
ZIP Code 66505,Manhattan,Riley,P.O. Box
ZIP Code 66506,Manhattan,Riley,Standard
ZIP Code 66507,Maple Hill,Wabaunsee,Standard
ZIP Code 66508,Marysville,Marshall,Standard
ZIP Code 66509,Mayetta,Jackson,Standard
ZIP Code 66510,Melvern,Osage,Standard
ZIP Code 66512,Meriden,Jefferson,Standard
ZIP Code 66514,Milford,Geary,Standard
ZIP Code 66515,Morrill,Brown,Standard
ZIP Code 66516,Netawaka,Jackson,Standard
ZIP Code 66517,Ogden,Riley,Standard
ZIP Code 66518,Oketo,Marshall,Standard
ZIP Code 66520,Olsburg,Pottawatomie,Standard
ZIP Code 66521,Onaga,Pottawatomie,Standard
ZIP Code 66522,Oneida,Nemaha,Standard
ZIP Code 66523,Osage City,Osage,Standard
ZIP Code 66524,Overbrook,Osage,Standard
ZIP Code 66526,Paxico,Wabaunsee,Standard
ZIP Code 66527,Powhattan,Brown,Standard
ZIP Code 66528,Quenemo,Osage,Standard
ZIP Code 66531,Riley,Riley,Standard
ZIP Code 66532,Robinson,Brown,Standard
ZIP Code 66533,Rossville,Shawnee,Standard
ZIP Code 66534,Sabetha,Nemaha,Standard
ZIP Code 66535,Saint George,Pottawatomie,Standard
ZIP Code 66536,Saint Marys,Pottawatomie,Standard
ZIP Code 66537,Scranton,Osage,Standard
ZIP Code 66538,Seneca,Nemaha,Standard
ZIP Code 66539,Silver Lake,Shawnee,Standard
ZIP Code 66540,Soldier,Jackson,Standard
