ZIP CODE,City,County,Type
ZIP Code 48001,Algonac,Saint Clair,Standard
ZIP Code 48002,Allenton,Saint Clair,Standard
ZIP Code 48003,Almont,Lapeer,Standard
ZIP Code 48004,Anchorville,Saint Clair,P.O. Box
ZIP Code 48005,Armada,Macomb,Standard
ZIP Code 48006,Avoca,Saint Clair,Standard
ZIP Code 48007,Troy,Oakland,P.O. Box
ZIP Code 48009,Birmingham,Oakland,Standard
ZIP Code 48012,Birmingham,Oakland,P.O. Box
ZIP Code 48014,Capac,Saint Clair,Standard
ZIP Code 48015,Center Line,Macomb,Standard
ZIP Code 48017,Clawson,Oakland,Standard
ZIP Code 48021,Eastpointe,Macomb,Standard
ZIP Code 48022,Emmett,Saint Clair,Standard
ZIP Code 48023,Fair Haven,Saint Clair,Standard
ZIP Code 48025,Franklin,Oakland,Standard
ZIP Code 48026,Fraser,Macomb,Standard
ZIP Code 48027,Goodells,Saint Clair,Standard
ZIP Code 48028,Harsens Island,Saint Clair,Standard
ZIP Code 48030,Hazel Park,Oakland,Standard
ZIP Code 48032,Jeddo,Saint Clair,Standard
ZIP Code 48033,Southfield,Oakland,Standard
ZIP Code 48034,Southfield,Oakland,Standard
ZIP Code 48035,Clinton Township,Macomb,Standard
ZIP Code 48036,Clinton Township,Macomb,Standard
ZIP Code 48037,Southfield,Oakland,P.O. Box
ZIP Code 48038,Clinton Township,Macomb,Standard
ZIP Code 48039,Marine City,Saint Clair,Standard
ZIP Code 48040,Marysville,Saint Clair,Standard
ZIP Code 48041,Memphis,Saint Clair,Standard
ZIP Code 48042,Macomb,Macomb,Standard
ZIP Code 48043,Mount Clemens,Macomb,Standard
ZIP Code 48044,Macomb,Macomb,Standard
ZIP Code 48045,Harrison Township,Macomb,Standard
ZIP Code 48046,Mount Clemens,Macomb,P.O. Box
ZIP Code 48047,New Baltimore,Macomb,Standard
ZIP Code 48048,New Haven,Macomb,Standard
ZIP Code 48049,North Street,Saint Clair,Standard
ZIP Code 48050,New Haven,Macomb,Standard
ZIP Code 48051,New Baltimore,Macomb,Standard
ZIP Code 48054,East China,Saint Clair,Standard
ZIP Code 48059,Fort Gratiot,Saint Clair,Standard
