ZIP CODE,City,County,Type
ZIP Code 55001,Afton,Washington,Standard
ZIP Code 55003,Bayport,Washington,Standard
ZIP Code 55005,Bethel,Anoka,Standard
ZIP Code 55006,Braham,Isanti,Standard
ZIP Code 55007,Brook Park,Pine,Standard
ZIP Code 55008,Cambridge,Isanti,Standard
ZIP Code 55009,Cannon Falls,Goodhue,Standard
ZIP Code 55010,Castle Rock,Dakota,P.O. Box
ZIP Code 55011,Cedar,Anoka,Standard
ZIP Code 55012,Center City,Chisago,Standard
ZIP Code 55013,Chisago City,Chisago,Standard
ZIP Code 55014,Circle Pines,Anoka,Standard
ZIP Code 55016,Cottage Grove,Washington,Standard
ZIP Code 55017,Dalbo,Isanti,Standard
ZIP Code 55018,Dennison,Goodhue,Standard
ZIP Code 55019,Dundas,Rice,Standard
ZIP Code 55020,Elko New Market,Scott,Standard
ZIP Code 55021,Faribault,Rice,Standard
ZIP Code 55024,Farmington,Dakota,Standard
ZIP Code 55025,Forest Lake,Washington,Standard
ZIP Code 55026,Frontenac,Goodhue,Standard
ZIP Code 55027,Goodhue,Goodhue,Standard
ZIP Code 55029,Grandy,Isanti,P.O. Box
ZIP Code 55030,Grasston,Pine,Standard
ZIP Code 55031,Hampton,Dakota,Standard
ZIP Code 55032,Harris,Chisago,Standard
ZIP Code 55033,Hastings,Dakota,Standard
ZIP Code 55036,Henriette,Pine,Standard
ZIP Code 55037,Hinckley,Pine,Standard
ZIP Code 55038,Hugo,Washington,Standard
ZIP Code 55040,Isanti,Isanti,Standard
ZIP Code 55041,Lake City,Wabasha,Standard
ZIP Code 55042,Lake Elmo,Washington,Standard
ZIP Code 55043,Lakeland,Washington,Standard
ZIP Code 55044,Lakeville,Dakota,Standard
ZIP Code 55045,Lindstrom,Chisago,Standard
ZIP Code 55046,Lonsdale,Rice,Standard
ZIP Code 55047,Marine On Saint Croix,Washington,Standard
ZIP Code 55049,Medford,Steele,Standard
ZIP Code 55051,Mora,Kanabec,Standard
ZIP Code 55052,Morristown,Rice,Standard
ZIP Code 55053,Nerstrand,Rice,Standard
ZIP Code 55054,Elko New Market,Scott,Standard
ZIP Code 55055,Newport,Washington,Standard
ZIP Code 55056,North Branch,Chisago,Standard
ZIP Code 55057,Northfield,Rice,Standard
ZIP Code 55060,Owatonna,Steele,Standard
ZIP Code 55063,Pine City,Pine,Standard
ZIP Code 55065,Randolph,Dakota,Standard
ZIP Code 55066,Red Wing,Goodhue,Standard
ZIP Code 55067,Rock Creek,Pine,P.O. Box
ZIP Code 55068,Rosemount,Dakota,Standard
ZIP Code 55069,Rush City,Chisago,Standard
ZIP Code 55070,Saint Francis,Anoka,Standard
ZIP Code 55071,Saint Paul Park,Washington,Standard
ZIP Code 55072,Sandstone,Pine,Standard
ZIP Code 55073,Scandia,Washington,Standard
ZIP Code 55074,Shafer,Chisago,Standard
ZIP Code 55075,South Saint Paul,Dakota,Standard
