ZIP CODE,City,County,Type
ZIP Code 38601,Abbeville,Lafayette,Standard
ZIP Code 38602,Arkabutla,Tate,P.O. Box
ZIP Code 38603,Ashland,Benton,Standard
ZIP Code 38606,Batesville,Panola,Standard
ZIP Code 38609,Marks,Quitman,Standard
ZIP Code 38610,Blue Mountain,Tippah,Standard
ZIP Code 38611,Byhalia,Marshall,Standard
ZIP Code 38614,Clarksdale,Coahoma,Standard
ZIP Code 38617,Coahoma,Coahoma,Standard
ZIP Code 38618,Coldwater,Tate,Standard
ZIP Code 38619,Como,Panola,Standard
ZIP Code 38620,Courtland,Panola,Standard
ZIP Code 38621,Crenshaw,Panola,Standard
ZIP Code 38622,Crowder,Quitman,P.O. Box
ZIP Code 38623,Darling,Quitman,P.O. Box
ZIP Code 38625,Dumas,Tippah,Standard
ZIP Code 38626,Dundee,Tunica,Standard
ZIP Code 38627,Etta,Union,Standard
ZIP Code 38628,Sledge,Quitman,Standard
ZIP Code 38629,Falkner,Tippah,Standard
ZIP Code 38630,Farrell,Coahoma,P.O. Box
ZIP Code 38631,Friars Point,Coahoma,P.O. Box
ZIP Code 38632,Hernando,Desoto,Standard
ZIP Code 38633,Hickory Flat,Benton,Standard
ZIP Code 38634,Holly Springs,Marshall,P.O. Box
ZIP Code 38635,Holly Springs,Marshall,Standard
ZIP Code 38637,Horn Lake,Desoto,Standard
ZIP Code 38638,Independence,Tate,P.O. Box
ZIP Code 38639,Jonestown,Coahoma,P.O. Box
ZIP Code 38641,Lake Cormorant,Desoto,Standard
ZIP Code 38642,Lamar,Marshall,Standard
ZIP Code 38643,Lambert,Quitman,Standard
ZIP Code 38644,Lula,Coahoma,P.O. Box
ZIP Code 38645,Lyon,Coahoma,Standard
ZIP Code 38646,Marks,Quitman,Standard
ZIP Code 38647,Michigan City,Benton,Standard
ZIP Code 38649,Mount Pleasant,Marshall,P.O. Box
ZIP Code 38650,Myrtle,Union,Standard
ZIP Code 38651,Nesbit,Desoto,Standard
ZIP Code 38652,New Albany,Union,Standard
ZIP Code 38654,Olive Branch,Desoto,Standard
ZIP Code 38655,Oxford,Lafayette,Standard
ZIP Code 38658,Pope,Panola,Standard
ZIP Code 38659,Potts Camp,Marshall,Standard
ZIP Code 38661,Red Banks,Marshall,Standard
ZIP Code 38663,Ripley,Tippah,Standard
ZIP Code 38664,Robinsonville,Tunica,Standard
ZIP Code 38665,Sarah,Panola,Standard
ZIP Code 38666,Sardis,Panola,Standard
ZIP Code 38668,Senatobia,Tate,Standard
ZIP Code 38669,Sherard,Coahoma,P.O. Box
ZIP Code 38670,Sledge,Tunica,Standard
ZIP Code 38671,Southaven,Desoto,Standard
ZIP Code 38672,Southaven,Desoto,Standard
ZIP Code 38673,Taylor,Lafayette,Standard
ZIP Code 38674,Tiplersville,Tippah,Standard
ZIP Code 38675,Oxford,Lafayette,Standard
ZIP Code 38676,Tunica,Tunica,Standard
ZIP Code 38677,University,Lafayette,P.O. Box
ZIP Code 38679,Victoria,Marshall,P.O. Box
ZIP Code 38680,Walls,Desoto,Standard
ZIP Code 38683,Walnut,Tippah,Standard
ZIP Code 38685,Waterford,Marshall,Standard
ZIP Code 38686,Walls,Desoto,Unique
ZIP Code 38701,Greenville,Washington,Standard
ZIP Code 38702,Greenville,Washington,P.O. Box
ZIP Code 38703,Greenville,Washington,Standard
ZIP Code 38704,Greenville,Washington,P.O. Box
ZIP Code 38720,Alligator,Bolivar,Standard
ZIP Code 38721,Anguilla,Sharkey,Standard
ZIP Code 38722,Arcola,Washington,P.O. Box
ZIP Code 38723,Avon,Washington,P.O. Box
ZIP Code 38725,Benoit,Bolivar,Standard
ZIP Code 38726,Beulah,Bolivar,Standard
ZIP Code 38730,Boyle,Bolivar,Standard
ZIP Code 38731,Chatham,Washington,Standard
ZIP Code 38732,Cleveland,Bolivar,Standard
ZIP Code 38733,Cleveland,Bolivar,Standard
ZIP Code 38736,Doddsville,Sunflower,Standard
ZIP Code 38737,Drew,Sunflower,Standard
ZIP Code 38738,Parchman,Sunflower,P.O. Box
ZIP Code 38739,Dublin,Coahoma,P.O. Box
ZIP Code 38740,Duncan,Bolivar,Standard
ZIP Code 38744,Glen Allan,Washington,Standard
ZIP Code 38745,Grace,Issaquena,P.O. Box
ZIP Code 38746,Gunnison,Bolivar,Standard
ZIP Code 38748,Hollandale,Washington,Standard
ZIP Code 38749,Indianola,Sunflower,P.O. Box
ZIP Code 38751,Indianola,Sunflower,Standard
ZIP Code 38753,Inverness,Sunflower,Standard
ZIP Code 38754,Isola,Humphreys,Standard
ZIP Code 38756,Leland,Washington,Standard
ZIP Code 38759,Merigold,Bolivar,Standard
ZIP Code 38760,Metcalfe,Washington,P.O. Box
ZIP Code 38761,Moorhead,Sunflower,Standard
ZIP Code 38762,Mound Bayou,Bolivar,Standard
ZIP Code 38764,Pace,Bolivar,P.O. Box
ZIP Code 38765,Panther Burn,Sharkey,P.O. Box
ZIP Code 38767,Rena Lara,Coahoma,P.O. Box
ZIP Code 38768,Rome,Sunflower,P.O. Box
ZIP Code 38769,Rosedale,Bolivar,Standard
ZIP Code 38771,Ruleville,Sunflower,Standard
ZIP Code 38772,Scott,Bolivar,P.O. Box
ZIP Code 38773,Shaw,Bolivar,Standard
ZIP Code 38774,Shelby,Bolivar,Standard
ZIP Code 38776,Stoneville,Washington,P.O. Box
ZIP Code 38778,Sunflower,Sunflower,Standard
ZIP Code 38780,Wayside,Washington,P.O. Box
ZIP Code 38781,Winstonville,Bolivar,P.O. Box
ZIP Code 38782,Winterville,Washington,P.O. Box
ZIP Code 38801,Tupelo,Lee,Standard
ZIP Code 38802,Tupelo,Lee,P.O. Box
ZIP Code 38803,Tupelo,Lee,P.O. Box
ZIP Code 38804,Tupelo,Lee,Standard
ZIP Code 38820,Algoma,Pontotoc,P.O. Box
ZIP Code 38821,Amory,Monroe,Standard
ZIP Code 38824,Baldwyn,Lee,Standard
ZIP Code 38825,Becker,Monroe,P.O. Box
ZIP Code 38826,Belden,Lee,Standard
ZIP Code 38827,Belmont,Tishomingo,Standard
ZIP Code 38828,Blue Springs,Union,Standard
ZIP Code 38829,Booneville,Prentiss,Standard
ZIP Code 38833,Burnsville,Tishomingo,Standard
ZIP Code 38834,Corinth,Alcorn,Standard
ZIP Code 38835,Corinth,Alcorn,P.O. Box
ZIP Code 38838,Dennis,Tishomingo,Standard
ZIP Code 38839,Derma,Calhoun,P.O. Box
ZIP Code 38841,Ecru,Pontotoc,Standard
ZIP Code 38843,Fulton,Itawamba,Standard
ZIP Code 38844,Gattman,Monroe,Standard
ZIP Code 38846,Glen,Alcorn,Standard
ZIP Code 38847,Golden,Tishomingo,Standard
ZIP Code 38848,Greenwood Springs,Monroe,Standard
ZIP Code 38849,Guntown,Lee,Standard
ZIP Code 38850,Houlka,Chickasaw,Standard
ZIP Code 38851,Houston,Chickasaw,Standard
ZIP Code 38852,Iuka,Tishomingo,Standard
