ZIP Code,City,County,Type
ZIP Code 68001,Abie,Butler,Standard
ZIP Code 68002,Arlington,Washington,Standard
ZIP Code 68003,Ashland,Saunders,Standard
ZIP Code 68004,Bancroft,Cuming,Standard
ZIP Code 68005,Bellevue,Sarpy,Standard
ZIP Code 68007,Bennington,Douglas,Standard
ZIP Code 68008,Blair,Washington,Standard
ZIP Code 68010,Boys Town,Douglas,P.O. Box
ZIP Code 68014,Bruno,Butler,Standard
ZIP Code 68015,Cedar Bluffs,Saunders,Standard
ZIP Code 68016,Cedar Creek,Cass,P.O. Box
ZIP Code 68017,Ceresco,Saunders,Standard
ZIP Code 68018,Colon,Saunders,Standard
ZIP Code 68019,Craig,Burt,Standard
ZIP Code 68020,Decatur,Burt,Standard
ZIP Code 68022,Elkhorn,Douglas,Standard
ZIP Code 68023,Fort Calhoun,Washington,Standard
ZIP Code 68025,Fremont,Dodge,Standard
ZIP Code 68026,Fremont,Dodge,P.O. Box
ZIP Code 68028,Gretna,Sarpy,Standard
ZIP Code 68029,Herman,Washington,Standard
ZIP Code 68030,Homer,Dakota,Standard
ZIP Code 68031,Hooper,Dodge,Standard
ZIP Code 68033,Ithaca,Saunders,Standard
ZIP Code 68034,Kennard,Washington,Standard
ZIP Code 68036,Linwood,Butler,Standard
ZIP Code 68037,Louisville,Cass,Standard
ZIP Code 68038,Lyons,Burt,Standard
ZIP Code 68039,Macy,Thurston,Standard
ZIP Code 68040,Malmo,Saunders,Standard
ZIP Code 68041,Mead,Saunders,Standard
ZIP Code 68042,Memphis,Saunders,Standard
ZIP Code 68044,Nickerson,Dodge,Standard
ZIP Code 68045,Oakland,Burt,Standard
ZIP Code 68046,Papillion,Sarpy,Standard
ZIP Code 68047,Pender,Thurston,Standard
ZIP Code 68048,Plattsmouth,Cass,Standard
ZIP Code 68050,Prague,Saunders,Standard
ZIP Code 68055,Rosalie,Thurston,Standard
ZIP Code 68056,St Columbans,Sarpy,Standard
ZIP Code 68057,Scribner,Dodge,Standard
ZIP Code 68058,South Bend,Cass,P.O. Box
ZIP Code 68059,Springfield,Sarpy,Standard
ZIP Code 68061,Tekamah,Burt,Standard
ZIP Code 68062,Thurston,Thurston,Standard
ZIP Code 68063,Uehling,Dodge,P.O. Box
ZIP Code 68064,Valley,Douglas,Standard
ZIP Code 68065,Valparaiso,Saunders,Standard
ZIP Code 68066,Wahoo,Saunders,Standard
ZIP Code 68067,Walthill,Thurston,Standard
ZIP Code 68068,Washington,Washington,Standard
ZIP Code 68069,Waterloo,Douglas,Standard
ZIP Code 68070,Weston,Saunders,Standard
ZIP Code 68071,Winnebago,Thurston,Standard
ZIP Code 68072,Winslow,Dodge,P.O. Box
ZIP Code 68073,Yutan,Saunders,Standard
ZIP Code 68101,Omaha,Douglas,P.O. Box
ZIP Code 68102,Omaha,Douglas,Standard
ZIP Code 68103,Omaha,Douglas,P.O. Box
ZIP Code 68104,Omaha,Douglas,Standard
ZIP Code 68105,Omaha,Douglas,Standard
ZIP Code 68106,Omaha,Douglas,Standard
ZIP Code 68107,Omaha,Douglas,Standard
ZIP Code 68108,Omaha,Douglas,Standard
ZIP Code 68109,Omaha,Douglas,P.O. Box
ZIP Code 68110,Omaha,Douglas,Standard
ZIP Code 68111,Omaha,Douglas,Standard
ZIP Code 68112,Omaha,Douglas,Standard
ZIP Code 68113,Offutt AFB,Sarpy,Standard
ZIP Code 68114,Omaha,Douglas,Standard
ZIP Code 68116,Omaha,Douglas,Standard
ZIP Code 68117,Omaha,Douglas,Standard
ZIP Code 68118,Omaha,Douglas,Standard
ZIP Code 68119,Omaha,Douglas,P.O. Box
ZIP Code 68122,Omaha,Douglas,Standard
ZIP Code 68123,Bellevue,Sarpy,Standard
ZIP Code 68124,Omaha,Douglas,Standard
ZIP Code 68127,Omaha,Douglas,Standard
ZIP Code 68128,La Vista,Sarpy,Standard
ZIP Code 68130,Omaha,Douglas,Standard
ZIP Code 68131,Omaha,Douglas,Standard
ZIP Code 68132,Omaha,Douglas,Standard
ZIP Code 68133,Papillion,Sarpy,Standard
ZIP Code 68134,Omaha,Douglas,Standard
ZIP Code 68135,Omaha,Douglas,Standard
ZIP Code 68136,Omaha,Sarpy,Standard
ZIP Code 68137,Omaha,Douglas,Standard
ZIP Code 68138,Omaha,Sarpy,Standard
ZIP Code 68139,Omaha,Douglas,P.O. Box
ZIP Code 68142,Omaha,Douglas,Standard
ZIP Code 68144,Omaha,Douglas,Standard
ZIP Code 68145,Omaha,Douglas,P.O. Box
ZIP Code 68147,Bellevue,Sarpy,Standard
ZIP Code 68152,Omaha,Douglas,Standard
ZIP Code 68154,Omaha,Douglas,Standard
ZIP Code 68157,Omaha,Sarpy,Standard
ZIP Code 68164,Omaha,Douglas,Standard
ZIP Code 68172,Omaha,Douglas,Unique
ZIP Code 68175,Omaha,Douglas,Unique
ZIP Code 68176,Omaha,Douglas,Standard
ZIP Code 68178,Omaha,Douglas,Unique
ZIP Code 68179,Omaha,Douglas,Unique
ZIP Code 68180,Omaha,Douglas,Unique
ZIP Code 68182,Omaha,Douglas,Unique
ZIP Code 68183,Omaha,Douglas,Unique
ZIP Code 68197,Omaha,Douglas,Unique
ZIP Code 68198,Omaha,Douglas,Unique
ZIP Code 68301,Adams,Gage,Standard
ZIP Code 68303,Alexandria,Thayer,Standard
ZIP Code 68304,Alvo,Cass,Standard
ZIP Code 68305,Auburn,Nemaha,Standard
ZIP Code 68307,Avoca,Cass,Standard
ZIP Code 68309,Barneston,Gage,Standard
ZIP Code 68310,Beatrice,Gage,Standard
ZIP Code 68313,Beaver Crossing,Seward,Standard
ZIP Code 68314,Bee,Seward,Standard
ZIP Code 68315,Belvidere,Thayer,Standard
ZIP Code 68316,Benedict,York,Standard
ZIP Code 68317,Bennet,Lancaster,Standard
ZIP Code 68318,Blue Springs,Gage,Standard
ZIP Code 68319,Bradshaw,York,Standard
ZIP Code 68320,Brock,Nemaha,Standard
ZIP Code 68321,Brownville,Nemaha,Standard
ZIP Code 68322,Bruning,Thayer,Standard
ZIP Code 68323,Burchard,Pawnee,Standard
ZIP Code 68324,Burr,Otoe,Standard
ZIP Code 68325,Byron,Thayer,Standard
ZIP Code 68326,Carleton,Thayer,Standard
ZIP Code 68327,Chester,Thayer,Standard
ZIP Code 68328,Clatonia,Gage,Standard
ZIP Code 68329,Cook,Johnson,Standard
ZIP Code 68330,Cordova,Seward,P.O. Box
ZIP Code 68331,Cortland,Gage,Standard
ZIP Code 68332,Crab Orchard,Johnson,Standard
ZIP Code 68333,Crete,Saline,Standard
ZIP Code 68335,Davenport,Thayer,Standard
ZIP Code 68336,Davey,Lancaster,Standard
ZIP Code 68337,Dawson,Richardson,Standard
ZIP Code 68338,Daykin,Jefferson,Standard
ZIP Code 68339,Denton,Lancaster,Standard
ZIP Code 68340,Deshler,Thayer,Standard
ZIP Code 68341,De Witt,Saline,Standard
ZIP Code 68342,Diller,Jefferson,Standard
ZIP Code 68343,Dorchester,Saline,Standard
ZIP Code 68344,Douglas,Otoe,Standard
ZIP Code 68345,Du Bois,Pawnee,Standard
ZIP Code 68346,Dunbar,Otoe,Standard
ZIP Code 68347,Eagle,Cass,Standard
ZIP Code 68348,Elk Creek,Johnson,Standard
ZIP Code 68349,Elmwood,Cass,Standard
ZIP Code 68350,Endicott,Jefferson,Standard
ZIP Code 68351,Exeter,Fillmore,Standard
ZIP Code 68352,Fairbury,Jefferson,Standard
ZIP Code 68354,Fairmont,Fillmore,Standard
ZIP Code 68355,Falls City,Richardson,Standard
ZIP Code 68357,Filley,Gage,Standard
ZIP Code 68358,Firth,Lancaster,Standard
ZIP Code 68359,Friend,Saline,Standard
ZIP Code 68360,Garland,Seward,Standard
ZIP Code 68361,Geneva,Fillmore,Standard
ZIP Code 68362,Gilead,Thayer,P.O. Box
ZIP Code 68364,Goehner,Seward,P.O. Box
ZIP Code 68365,Grafton,Fillmore,Standard
ZIP Code 68366,Greenwood,Cass,Standard
ZIP Code 68367,Gresham,York,Standard
ZIP Code 68368,Hallam,Lancaster,Standard
ZIP Code 68370,Hebron,Thayer,Standard
ZIP Code 68371,Henderson,York,Standard
ZIP Code 68372,Hickman,Lancaster,Standard
ZIP Code 68375,Hubbell,Thayer,Standard
ZIP Code 68376,Humboldt,Richardson,Standard
ZIP Code 68377,Jansen,Jefferson,Standard
ZIP Code 68378,Johnson,Nemaha,Standard
ZIP Code 68379,Julian,Nemaha,Standard
ZIP Code 68380,Lewiston,Pawnee,Standard
ZIP Code 68381,Liberty,Gage,Standard
ZIP Code 68382,Lorton,Otoe,Standard
ZIP Code 68401,Mc Cool Junction,York,Standard
ZIP Code 68402,Malcolm,Lancaster,Standard
ZIP Code 68403,Manley,Cass,P.O. Box
ZIP Code 68404,Martell,Lancaster,Standard
ZIP Code 68405,Milford,Seward,Standard
ZIP Code 68406,Milligan,Fillmore,Standard
ZIP Code 68407,Murdock,Cass,Standard
ZIP Code 68409,Murray,Cass,Standard
ZIP Code 68410,Nebraska City,Otoe,Standard
ZIP Code 68413,Nehawka,Cass,Standard
ZIP Code 68414,Nemaha,Nemaha,Standard
ZIP Code 68415,Odell,Gage,Standard
ZIP Code 68416,Ohiowa,Fillmore,Standard
ZIP Code 68417,Otoe,Otoe,Standard
ZIP Code 68418,Palmyra,Otoe,Standard
ZIP Code 68419,Panama,Lancaster,P.O. Box
ZIP Code 68420,Pawnee City,Pawnee,Standard
ZIP Code 68421,Peru,Nemaha,Standard
ZIP Code 68422,Pickrell,Gage,Standard
ZIP Code 68423,Pleasant Dale,Seward,Standard
ZIP Code 68424,Plymouth,Jefferson,Standard
ZIP Code 68428,Raymond,Lancaster,Standard
ZIP Code 68429,Reynolds,Thayer,Standard
ZIP Code 68430,Roca,Lancaster,Standard
ZIP Code 68431,Rulo,Richardson,Standard
ZIP Code 68433,Salem,Richardson,Standard
ZIP Code 68434,Seward,Seward,Standard
ZIP Code 68436,Shickley,Fillmore,Standard
ZIP Code 68437,Shubert,Richardson,Standard
ZIP Code 68438,Sprague,Lancaster,P.O. Box
ZIP Code 68439,Staplehurst,Seward,Standard
