ZIP CODE,City,County,Type
ZIP Code 87001,Algodones,Sandoval,Standard
ZIP Code 87002,Belen,Valencia,Standard
ZIP Code 87004,Bernalillo,Sandoval,Standard
ZIP Code 87005,Bluewater,Cibola,Standard
ZIP Code 87006,Bosque,Valencia,Standard
ZIP Code 87007,Casa Blanca,Cibola,P.O. Box
ZIP Code 87008,Cedar Crest,Bernalillo,Standard
ZIP Code 87009,Cedarvale,Torrance,Standard
ZIP Code 87010,Cerrillos,Santa Fe,Standard
ZIP Code 87011,Claunch,Socorro,P.O. Box
ZIP Code 87012,Coyote,Rio Arriba,Standard
ZIP Code 87013,Cuba,Sandoval,Standard
ZIP Code 87014,Cubero,Cibola,Standard
ZIP Code 87015,Edgewood,Santa Fe,Standard
ZIP Code 87016,Estancia,Torrance,Standard
ZIP Code 87017,Gallina,Rio Arriba,Standard
ZIP Code 87018,Counselor,Sandoval,P.O. Box
ZIP Code 87020,Grants,Cibola,Standard
ZIP Code 87021,Milan,Cibola,P.O. Box
ZIP Code 87022,Isleta,Bernalillo,P.O. Box
ZIP Code 87023,Jarales,Valencia,Standard
ZIP Code 87024,Jemez Pueblo,Sandoval,Standard
ZIP Code 87025,Jemez Springs,Sandoval,Standard
ZIP Code 87026,Laguna,Cibola,Standard
ZIP Code 87027,La Jara,Sandoval,Standard
ZIP Code 87028,La Joya,Socorro,Standard
ZIP Code 87029,Lindrith,Rio Arriba,Standard
ZIP Code 87031,Los Lunas,Valencia,Standard
ZIP Code 87032,Mcintosh,Torrance,P.O. Box
ZIP Code 87034,Pueblo Of Acoma,Cibola,P.O. Box
ZIP Code 87035,Moriarty,Torrance,Standard
ZIP Code 87036,Mountainair,Torrance,Standard
ZIP Code 87037,Nageezi,San Juan,P.O. Box
ZIP Code 87038,New Laguna,Cibola,P.O. Box
ZIP Code 87040,Paguate,Cibola,P.O. Box
ZIP Code 87041,Pena Blanca,Sandoval,Standard
ZIP Code 87042,Peralta,Valencia,Standard
ZIP Code 87043,Placitas,Sandoval,Standard
ZIP Code 87044,Ponderosa,Sandoval,Standard
ZIP Code 87045,Prewitt,Mckinley,Standard
ZIP Code 87046,Regina,Sandoval,Standard
ZIP Code 87047,Sandia Park,Bernalillo,Standard
ZIP Code 87048,Corrales,Sandoval,Standard
ZIP Code 87049,San Fidel,Cibola,P.O. Box
ZIP Code 87051,San Rafael,Cibola,P.O. Box
ZIP Code 87052,Santo Domingo Pueblo,Sandoval,Standard
ZIP Code 87053,San Ysidro,Sandoval,Standard
ZIP Code 87056,Stanley,Santa Fe,Standard
ZIP Code 87059,Tijeras,Bernalillo,Standard
ZIP Code 87060,Tome,Valencia,P.O. Box
ZIP Code 87061,Torreon,Torrance,P.O. Box
ZIP Code 87062,Veguita,Socorro,Standard
ZIP Code 87063,Willard,Torrance,Standard
ZIP Code 87064,Youngsville,Rio Arriba,Standard
ZIP Code 87068,Bosque Farms,Valencia,Standard
