ZIP Code,City,County,Type
ZIP Code 00501,Holtsville,Suffolk,Unique
ZIP Code 00544,Holtsville,Suffolk,Unique
ZIP Code 06390,Fishers Island,Suffolk,P.O. Box
ZIP Code 10001,New York,New York,Standard
ZIP Code 10002,New York,New York,Standard
ZIP Code 10003,New York,New York,Standard
ZIP Code 10004,New York,New York,Standard
ZIP Code 10005,New York,New York,Standard
ZIP Code 10006,New York,New York,Standard
ZIP Code 10007,New York,New York,Standard
ZIP Code 10008,New York,New York,P.O. Box
ZIP Code 10009,New York,New York,Standard
ZIP Code 10010,New York,New York,Standard
ZIP Code 10011,New York,New York,Standard
ZIP Code 10012,New York,New York,Standard
ZIP Code 10013,New York,New York,Standard
ZIP Code 10014,New York,New York,Standard
ZIP Code 10016,New York,New York,Standard
ZIP Code 10017,New York,New York,Standard
ZIP Code 10018,New York,New York,Standard
ZIP Code 10019,New York,New York,Standard
ZIP Code 10020,New York,New York,Standard
ZIP Code 10021,New York,New York,Standard
ZIP Code 10022,New York,New York,Standard
ZIP Code 10023,New York,New York,Standard
ZIP Code 10024,New York,New York,Standard
ZIP Code 10025,New York,New York,Standard
ZIP Code 10026,New York,New York,Standard
ZIP Code 10027,New York,New York,Standard
ZIP Code 10028,New York,New York,Standard
ZIP Code 10029,New York,New York,Standard
ZIP Code 10030,New York,New York,Standard
ZIP Code 10031,New York,New York,Standard
ZIP Code 10032,New York,New York,Standard
ZIP Code 10033,New York,New York,Standard
ZIP Code 10034,New York,New York,Standard
ZIP Code 10035,New York,New York,Standard
ZIP Code 10036,New York,New York,Standard
ZIP Code 10037,New York,New York,Standard
ZIP Code 10038,New York,New York,Standard
ZIP Code 10039,New York,New York,Standard
ZIP Code 10040,New York,New York,Standard
ZIP Code 10041,New York,New York,Standard
ZIP Code 10043,New York,New York,Unique
ZIP Code 10044,New York,New York,Standard
ZIP Code 10045,New York,New York,Standard
ZIP Code 10055,New York,New York,Standard
ZIP Code 10060,New York,New York,Standard
ZIP Code 10065,New York,New York,Standard
ZIP Code 10069,New York,New York,Standard
ZIP Code 10075,New York,New York,Standard
ZIP Code 10080,New York,New York,Unique
ZIP Code 10081,New York,New York,Unique
ZIP Code 10087,New York,New York,Unique
ZIP Code 10090,New York,New York,Standard
ZIP Code 10101,New York,New York,P.O. Box
ZIP Code 10102,New York,New York,Unique
ZIP Code 10103,New York,New York,Standard
ZIP Code 10104,New York,New York,Standard
ZIP Code 10105,New York,New York,Standard
ZIP Code 10106,New York,New York,Standard
ZIP Code 10107,New York,New York,Standard
ZIP Code 10108,New York,New York,P.O. Box
ZIP Code 10109,New York,New York,Unique
ZIP Code 10110,New York,New York,Standard
ZIP Code 10111,New York,New York,Standard
ZIP Code 10112,New York,New York,Standard
ZIP Code 10113,New York,New York,P.O. Box
ZIP Code 10114,New York,New York,Unique
ZIP Code 10115,New York,New York,Standard
ZIP Code 10116,New York,New York,P.O. Box
ZIP Code 10117,New York,New York,Unique
ZIP Code 10118,New York,New York,Standard
ZIP Code 10119,New York,New York,Standard
ZIP Code 10120,New York,New York,Standard
ZIP Code 10121,New York,New York,Standard
ZIP Code 10122,New York,New York,Standard
ZIP Code 10123,New York,New York,Standard
ZIP Code 10124,New York,New York,Unique
ZIP Code 10125,New York,New York,Unique
ZIP Code 10126,New York,New York,Unique
ZIP Code 10128,New York,New York,Standard
ZIP Code 10129,New York,New York,P.O. Box
ZIP Code 10130,New York,New York,Unique
ZIP Code 10131,New York,New York,Unique
ZIP Code 10132,New York,New York,Unique
ZIP Code 10133,New York,New York,Unique
ZIP Code 10138,New York,New York,Unique
ZIP Code 10150,New York,New York,P.O. Box
ZIP Code 10151,New York,New York,Standard
ZIP Code 10152,New York,New York,Standard
ZIP Code 10153,New York,New York,Standard
ZIP Code 10154,New York,New York,Standard
ZIP Code 10155,New York,New York,Standard
ZIP Code 10156,New York,New York,P.O. Box
ZIP Code 10157,New York,New York,Unique
ZIP Code 10158,New York,New York,Standard
ZIP Code 10159,New York,New York,P.O. Box
ZIP Code 10160,New York,New York,Unique
ZIP Code 10162,New York,New York,Standard
ZIP Code 10163,New York,New York,P.O. Box
ZIP Code 10164,New York,New York,Unique
ZIP Code 10165,New York,New York,Standard
ZIP Code 10166,New York,New York,Standard
ZIP Code 10167,New York,New York,Standard
ZIP Code 10168,New York,New York,Standard
ZIP Code 10169,New York,New York,Standard
ZIP Code 10170,New York,New York,Standard
ZIP Code 10171,New York,New York,Standard
ZIP Code 10172,New York,New York,Standard
ZIP Code 10173,New York,New York,Standard
ZIP Code 10174,New York,New York,Standard
ZIP Code 10175,New York,New York,Standard
ZIP Code 10176,New York,New York,Standard
ZIP Code 10177,New York,New York,Standard
ZIP Code 10178,New York,New York,Standard
ZIP Code 10179,New York,New York,Unique
ZIP Code 10185,New York,New York,P.O. Box
ZIP Code 10199,New York,New York,Standard
ZIP Code 10203,New York,New York,Unique
ZIP Code 10211,New York,New York,Unique
ZIP Code 10212,New York,New York,Unique
ZIP Code 10213,New York,New York,Unique
ZIP Code 10242,New York,New York,P.O. Box
ZIP Code 10249,New York,New York,P.O. Box
ZIP Code 10256,New York,New York,Unique
ZIP Code 10258,New York,New York,Unique
ZIP Code 10259,New York,New York,Unique
ZIP Code 10260,New York,New York,Standard
ZIP Code 10261,New York,New York,Unique
ZIP Code 10265,New York,New York,Standard
ZIP Code 10268,New York,New York,P.O. Box
ZIP Code 10269,New York,New York,Unique
ZIP Code 10270,New York,New York,Standard
ZIP Code 10271,New York,New York,Standard
ZIP Code 10272,New York,New York,P.O. Box
ZIP Code 10273,New York,New York,Unique
ZIP Code 10274,New York,New York,P.O. Box
ZIP Code 10275,New York,New York,Unique
ZIP Code 10276,New York,New York,P.O. Box
ZIP Code 10277,New York,New York,Unique
ZIP Code 10278,New York,New York,Standard
ZIP Code 10279,New York,New York,Standard
ZIP Code 10280,New York,New York,Standard
ZIP Code 10281,New York,New York,Standard
ZIP Code 10282,New York,New York,Standard
ZIP Code 10285,New York,New York,Unique
ZIP Code 10286,New York,New York,Unique
ZIP Code 10301,Staten Island,Richmond,Standard
ZIP Code 10302,Staten Island,Richmond,Standard
ZIP Code 10303,Staten Island,Richmond,Standard
ZIP Code 10304,Staten Island,Richmond,Standard
ZIP Code 10305,Staten Island,Richmond,Standard
ZIP Code 10306,Staten Island,Richmond,Standard
ZIP Code 10307,Staten Island,Richmond,Standard
ZIP Code 10308,Staten Island,Richmond,Standard
ZIP Code 10309,Staten Island,Richmond,Standard
ZIP Code 10310,Staten Island,Richmond,Standard
ZIP Code 10311,Staten Island,Richmond,Standard
ZIP Code 10312,Staten Island,Richmond,Standard
ZIP Code 10313,Staten Island,Richmond,P.O. Box
ZIP Code 10314,Staten Island,Richmond,Standard
ZIP Code 10451,Bronx,Bronx,Standard
ZIP Code 10452,Bronx,Bronx,Standard
ZIP Code 10453,Bronx,Bronx,Standard
ZIP Code 10454,Bronx,Bronx,Standard
ZIP Code 10455,Bronx,Bronx,Standard
ZIP Code 10456,Bronx,Bronx,Standard
ZIP Code 10457,Bronx,Bronx,Standard
ZIP Code 10458,Bronx,Bronx,Standard
ZIP Code 10459,Bronx,Bronx,Standard
ZIP Code 10460,Bronx,Bronx,Standard
ZIP Code 10461,Bronx,Bronx,Standard
ZIP Code 10462,Bronx,Bronx,Standard
ZIP Code 10463,Bronx,Bronx,Standard
ZIP Code 10464,Bronx,Bronx,Standard
ZIP Code 10465,Bronx,Bronx,Standard
ZIP Code 10466,Bronx,Bronx,Standard
ZIP Code 10467,Bronx,Bronx,Standard
ZIP Code 10468,Bronx,Bronx,Standard
ZIP Code 10469,Bronx,Bronx,Standard
ZIP Code 10470,Bronx,Bronx,Standard
ZIP Code 10471,Bronx,Bronx,Standard
ZIP Code 10472,Bronx,Bronx,Standard
ZIP Code 10473,Bronx,Bronx,Standard
ZIP Code 10474,Bronx,Bronx,Standard
ZIP Code 10475,Bronx,Bronx,Standard
ZIP Code 10501,Amawalk,Westchester,Standard
ZIP Code 10502,Ardsley,Westchester,Standard
ZIP Code 10503,Ardsley On Hudson,Westchester,P.O. Box
ZIP Code 10504,Armonk,Westchester,Standard
ZIP Code 10505,Baldwin Place,Westchester,Standard
ZIP Code 10506,Bedford,Westchester,Standard
ZIP Code 10507,Bedford Hills,Westchester,Standard
ZIP Code 10509,Brewster,Putnam,Standard
ZIP Code 10510,Briarcliff Manor,Westchester,Standard
ZIP Code 10511,Buchanan,Westchester,Standard
ZIP Code 10512,Carmel,Putnam,Standard
ZIP Code 10514,Chappaqua,Westchester,Standard
ZIP Code 10516,Cold Spring,Putnam,Standard
ZIP Code 10517,Crompond,Westchester,P.O. Box
ZIP Code 10518,Cross River,Westchester,Standard
ZIP Code 10519,Croton Falls,Westchester,P.O. Box
ZIP Code 10520,Croton On Hudson,Westchester,Standard
ZIP Code 10521,Croton On Hudson,Westchester,P.O. Box
ZIP Code 10522,Dobbs Ferry,Westchester,Standard
ZIP Code 10523,Elmsford,Westchester,Standard
ZIP Code 10524,Garrison,Putnam,Standard
ZIP Code 10526,Goldens Bridge,Westchester,Standard
ZIP Code 10527,Granite Springs,Westchester,Standard
ZIP Code 10528,Harrison,Westchester,Standard
ZIP Code 10530,Hartsdale,Westchester,Standard
ZIP Code 10532,Hawthorne,Westchester,Standard
ZIP Code 10533,Irvington,Westchester,Standard
ZIP Code 10535,Jefferson Valley,Westchester,Standard
ZIP Code 10536,Katonah,Westchester,Standard
ZIP Code 10537,Lake Peekskill,Putnam,Standard
ZIP Code 10538,Larchmont,Westchester,Standard
ZIP Code 10540,Lincolndale,Westchester,P.O. Box
ZIP Code 10541,Mahopac,Putnam,Standard
ZIP Code 10542,Mahopac Falls,Putnam,P.O. Box
ZIP Code 10543,Mamaroneck,Westchester,Standard
ZIP Code 10545,Maryknoll,Westchester,P.O. Box
ZIP Code 10546,Millwood,Westchester,Standard
ZIP Code 10547,Mohegan Lake,Westchester,Standard
ZIP Code 10548,Montrose,Westchester,Standard
ZIP Code 10549,Mount Kisco,Westchester,Standard
ZIP Code 10550,Mount Vernon,Westchester,Standard
ZIP Code 10551,Mount Vernon,Westchester,P.O. Box
ZIP Code 10552,Mount Vernon,Westchester,Standard
ZIP Code 10553,Mount Vernon,Westchester,Standard
ZIP Code 10560,North Salem,Westchester,Standard
ZIP Code 10562,Ossining,Westchester,Standard
ZIP Code 10566,Peekskill,Westchester,Standard
ZIP Code 10567,Cortlandt Manor,Westchester,Standard
ZIP Code 10570,Pleasantville,Westchester,Standard
ZIP Code 10573,Port Chester,Westchester,Standard
ZIP Code 10576,Pound Ridge,Westchester,Standard
ZIP Code 10577,Purchase,Westchester,Standard
ZIP Code 10578,Purdys,Westchester,Standard
ZIP Code 10579,Putnam Valley,Putnam,Standard
ZIP Code 10580,Rye,Westchester,Standard
ZIP Code 10583,Scarsdale,Westchester,Standard
ZIP Code 10587,Shenorock,Westchester,P.O. Box
ZIP Code 10588,Shrub Oak,Westchester,Standard
ZIP Code 10589,Somers,Westchester,Standard
ZIP Code 10590,South Salem,Westchester,Standard
ZIP Code 10591,Tarrytown,Westchester,Standard
ZIP Code 10594,Thornwood,Westchester,Standard
ZIP Code 10595,Valhalla,Westchester,Standard
ZIP Code 10596,Verplanck,Westchester,P.O. Box
ZIP Code 10597,Waccabuc,Westchester,Standard
ZIP Code 10598,Yorktown Heights,Westchester,Standard
ZIP Code 10601,White Plains,Westchester,Standard
ZIP Code 10602,White Plains,Westchester,P.O. Box
ZIP Code 10603,White Plains,Westchester,Standard
ZIP Code 10604,West Harrison,Westchester,Standard
ZIP Code 10605,White Plains,Westchester,Standard
