ZIP CODE,City,County,Type
ZIP Code 27006,Advance,Davie,Standard
ZIP Code 27007,Ararat,Surry,Standard
ZIP Code 27009,Belews Creek,Forsyth,Standard
ZIP Code 27010,Bethania,Forsyth,P.O. Box
ZIP Code 27011,Boonville,Yadkin,Standard
ZIP Code 27012,Clemmons,Forsyth,Standard
ZIP Code 27013,Cleveland,Rowan,Standard
ZIP Code 27014,Cooleemee,Davie,P.O. Box
ZIP Code 27016,Danbury,Stokes,Standard
ZIP Code 27017,Dobson,Surry,Standard
ZIP Code 27018,East Bend,Yadkin,Standard
ZIP Code 27019,Germanton,Stokes,Standard
ZIP Code 27020,Hamptonville,Yadkin,Standard
ZIP Code 27021,King,Stokes,Standard
ZIP Code 27022,Lawsonville,Stokes,Standard
ZIP Code 27023,Lewisville,Forsyth,Standard
ZIP Code 27024,Lowgap,Surry,Standard
ZIP Code 27025,Madison,Rockingham,Standard
ZIP Code 27027,Mayodan,Rockingham,Standard
ZIP Code 27028,Mocksville,Davie,Standard
ZIP Code 27030,Mount Airy,Surry,Standard
ZIP Code 27031,Mount Airy,Surry,P.O. Box
ZIP Code 27040,Pfafftown,Forsyth,Standard
ZIP Code 27041,Pilot Mountain,Surry,Standard
ZIP Code 27042,Pine Hall,Stokes,Standard
ZIP Code 27043,Pinnacle,Stokes,Standard
ZIP Code 27045,Rural Hall,Forsyth,Standard
ZIP Code 27046,Sandy Ridge,Stokes,Standard
ZIP Code 27047,Siloam,Surry,Standard
ZIP Code 27048,Stoneville,Rockingham,Standard
ZIP Code 27049,Toast,Surry,P.O. Box
ZIP Code 27050,Tobaccoville,Forsyth,Standard
ZIP Code 27051,Walkertown,Forsyth,Standard
ZIP Code 27052,Walnut Cove,Stokes,Standard
ZIP Code 27053,Westfield,Surry,Standard
ZIP Code 27054,Woodleaf,Rowan,Standard
ZIP Code 27055,Yadkinville,Yadkin,Standard
ZIP Code 27094,Rural Hall,Forsyth,Unique
ZIP Code 27098,Rural Hall,Forsyth,Unique
ZIP Code 27099,Rural Hall,Forsyth,Unique
ZIP Code 27101,Winston Salem,Forsyth,Standard
ZIP Code 27102,Winston Salem,Forsyth,P.O. Box
ZIP Code 27103,Winston Salem,Forsyth,Standard
ZIP Code 27104,Winston Salem,Forsyth,Standard
ZIP Code 27105,Winston Salem,Forsyth,Standard
ZIP Code 27106,Winston Salem,Forsyth,Standard
ZIP Code 27107,Winston Salem,Forsyth,Standard
ZIP Code 27108,Winston Salem,Forsyth,P.O. Box
ZIP Code 27109,Winston Salem,Forsyth,Standard
ZIP Code 27110,Winston Salem,Forsyth,Unique
ZIP Code 27111,Winston Salem,Forsyth,Unique
ZIP Code 27113,Winston Salem,Forsyth,P.O. Box
ZIP Code 27114,Winston Salem,Forsyth,P.O. Box
ZIP Code 27115,Winston Salem,Forsyth,P.O. Box
ZIP Code 27116,Winston Salem,Forsyth,P.O. Box
ZIP Code 27117,Winston Salem,Forsyth,P.O. Box
ZIP Code 27120,Winston Salem,Forsyth,P.O. Box
ZIP Code 27127,Winston Salem,Forsyth,Standard
ZIP Code 27130,Winston Salem,Forsyth,P.O. Box
ZIP Code 27150,Winston Salem,Forsyth,Unique
ZIP Code 27152,Winston Salem,Forsyth,Unique
ZIP Code 27155,Winston Salem,Forsyth,Unique
ZIP Code 27157,Winston Salem,Forsyth,Unique
ZIP Code 27198,Winston Salem,Forsyth,Unique
ZIP Code 27199,Winston Salem,Forsyth,Unique
ZIP Code 27201,Alamance,Alamance,P.O. Box
ZIP Code 27202,Altamahaw,Alamance,P.O. Box
ZIP Code 27203,Asheboro,Randolph,Standard
ZIP Code 27204,Asheboro,Randolph,P.O. Box
ZIP Code 27205,Asheboro,Randolph,Standard
ZIP Code 27207,Bear Creek,Chatham,Standard
ZIP Code 27208,Bennett,Chatham,Standard
ZIP Code 27209,Biscoe,Montgomery,Standard
ZIP Code 27212,Blanch,Caswell,Standard
ZIP Code 27213,Bonlee,Chatham,P.O. Box
ZIP Code 27214,Browns Summit,Guilford,Standard
ZIP Code 27215,Burlington,Alamance,Standard
ZIP Code 27216,Burlington,Alamance,P.O. Box
ZIP Code 27217,Burlington,Alamance,Standard
ZIP Code 27228,Bynum,Chatham,P.O. Box
ZIP Code 27229,Candor,Montgomery,Standard
ZIP Code 27230,Cedar Falls,Randolph,P.O. Box
ZIP Code 27231,Cedar Grove,Orange,Standard
ZIP Code 27233,Climax,Guilford,Standard
ZIP Code 27235,Colfax,Guilford,Standard
ZIP Code 27237,Cumnock,Lee,P.O. Box
ZIP Code 27239,Denton,Davidson,Standard
ZIP Code 27242,Eagle Springs,Moore,Standard
ZIP Code 27243,Efland,Orange,Standard
ZIP Code 27244,Elon,Alamance,Standard
ZIP Code 27247,Ether,Montgomery,P.O. Box
ZIP Code 27248,Franklinville,Randolph,Standard
ZIP Code 27249,Gibsonville,Guilford,Standard
ZIP Code 27252,Goldston,Chatham,Standard
ZIP Code 27253,Graham,Alamance,Standard
ZIP Code 27256,Gulf,Chatham,P.O. Box
ZIP Code 27258,Haw River,Alamance,Standard
ZIP Code 27259,Highfalls,Moore,P.O. Box
ZIP Code 27260,High Point,Guilford,Standard
ZIP Code 27261,High Point,Guilford,P.O. Box
ZIP Code 27262,High Point,Guilford,Standard
ZIP Code 27263,High Point,Guilford,Standard
ZIP Code 27264,High Point,Guilford,P.O. Box
ZIP Code 27265,High Point,Guilford,Standard
ZIP Code 27268,High Point,Guilford,Unique
ZIP Code 27278,Hillsborough,Orange,Standard
ZIP Code 27281,Jackson Springs,Moore,Standard
ZIP Code 27282,Jamestown,Guilford,Standard
ZIP Code 27283,Julian,Guilford,Standard
ZIP Code 27284,Kernersville,Forsyth,Standard
ZIP Code 27285,Kernersville,Forsyth,P.O. Box
ZIP Code 27288,Eden,Rockingham,Standard
ZIP Code 27289,Eden,Rockingham,P.O. Box
ZIP Code 27291,Leasburg,Caswell,Standard
ZIP Code 27292,Lexington,Davidson,Standard
ZIP Code 27293,Lexington,Davidson,P.O. Box
ZIP Code 27294,Lexington,Davidson,Unique
ZIP Code 27295,Lexington,Davidson,Standard
ZIP Code 27298,Liberty,Randolph,Standard
ZIP Code 27299,Linwood,Davidson,Standard
ZIP Code 27301,Mc Leansville,Guilford,Standard
ZIP Code 27302,Mebane,Alamance,Standard
ZIP Code 27305,Milton,Caswell,Standard
ZIP Code 27306,Mount Gilead,Montgomery,Standard
ZIP Code 27310,Oak Ridge,Guilford,Standard
ZIP Code 27311,Pelham,Caswell,Standard
ZIP Code 27312,Pittsboro,Chatham,Standard
ZIP Code 27313,Pleasant Garden,Guilford,Standard
