ZIP Code,City,County,Type
ZIP Code 58001,Abercrombie,Richland,P.O. Box
ZIP Code 58002,Absaraka,Cass,Standard
ZIP Code 58004,Amenia,Cass,Standard
ZIP Code 58005,Argusville,Cass,Standard
ZIP Code 58006,Arthur,Cass,Standard
ZIP Code 58007,Ayr,Cass,Standard
ZIP Code 58008,Barney,Richland,Standard
ZIP Code 58009,Blanchard,Traill,Standard
ZIP Code 58011,Buffalo,Cass,Standard
ZIP Code 58012,Casselton,Cass,Standard
ZIP Code 58013,Cayuga,Sargent,Standard
ZIP Code 58015,Christine,Richland,Standard
ZIP Code 58016,Clifford,Traill,Standard
ZIP Code 58017,Cogswell,Sargent,Standard
ZIP Code 58018,Colfax,Richland,Standard
ZIP Code 58021,Davenport,Cass,Standard
ZIP Code 58027,Enderlin,Ransom,Standard
ZIP Code 58029,Erie,Cass,Standard
ZIP Code 58030,Fairmount,Richland,Standard
ZIP Code 58031,Fingal,Barnes,Standard
ZIP Code 58032,Forman,Sargent,Standard
ZIP Code 58033,Fort Ransom,Ransom,Standard
ZIP Code 58035,Galesburg,Traill,Standard
ZIP Code 58036,Gardner,Cass,Standard
ZIP Code 58038,Grandin,Cass,Standard
ZIP Code 58040,Gwinner,Sargent,Standard
ZIP Code 58041,Hankinson,Richland,Standard
ZIP Code 58042,Harwood,Cass,Standard
ZIP Code 58043,Havana,Sargent,Standard
ZIP Code 58045,Hillsboro,Traill,Standard
ZIP Code 58046,Hope,Steele,Standard
ZIP Code 58047,Horace,Cass,Standard
ZIP Code 58048,Hunter,Cass,Standard
ZIP Code 58049,Kathryn,Barnes,Standard
ZIP Code 58051,Kindred,Cass,Standard
ZIP Code 58052,Leonard,Cass,Standard
ZIP Code 58053,Lidgerwood,Richland,Standard
ZIP Code 58054,Lisbon,Ransom,Standard
ZIP Code 58056,Luverne,Steele,Standard
ZIP Code 58057,Mcleod,Richland,Standard
ZIP Code 58058,Mantador,Richland,Standard
ZIP Code 58059,Mapleton,Cass,Standard
ZIP Code 58060,Milnor,Sargent,Standard
ZIP Code 58061,Mooreton,Richland,Standard
ZIP Code 58062,Nome,Barnes,Standard
ZIP Code 58063,Oriska,Barnes,Standard
ZIP Code 58064,Page,Cass,Standard
ZIP Code 58065,Pillsbury,Barnes,Standard
ZIP Code 58067,Rutland,Sargent,Standard
ZIP Code 58068,Sheldon,Ransom,Standard
ZIP Code 58069,Stirum,Sargent,Standard
ZIP Code 58071,Tower City,Cass,Standard
ZIP Code 58072,Valley City,Barnes,Standard
ZIP Code 58074,Wahpeton,Richland,P.O. Box
ZIP Code 58075,Wahpeton,Richland,Standard
ZIP Code 58076,Wahpeton,Richland,Unique
ZIP Code 58077,Walcott,Richland,Standard
ZIP Code 58078,West Fargo,Cass,Standard
ZIP Code 58079,Wheatland,Cass,Standard
ZIP Code 58081,Wyndmere,Richland,Standard
ZIP Code 58102,Fargo,Cass,Standard
ZIP Code 58103,Fargo,Cass,Standard
ZIP Code 58104,Fargo,Cass,Standard
ZIP Code 58105,Fargo,Cass,P.O. Box
ZIP Code 58106,Fargo,Cass,P.O. Box
ZIP Code 58107,Fargo,Cass,P.O. Box
ZIP Code 58108,Fargo,Cass,P.O. Box
ZIP Code 58109,Fargo,Cass,P.O. Box
ZIP Code 58121,Fargo,Cass,Unique
ZIP Code 58122,Fargo,Cass,Unique
ZIP Code 58124,Fargo,Cass,Unique
ZIP Code 58125,Fargo,Cass,Unique
ZIP Code 58126,Fargo,Cass,Unique
ZIP Code 58201,Grand Forks,Grand Forks,Standard
ZIP Code 58202,Grand Forks,Grand Forks,Standard
ZIP Code 58203,Grand Forks,Grand Forks,Standard
ZIP Code 58204,Grand Forks AFB,Grand Forks,Standard
ZIP Code 58205,Grand Forks AFB,Grand Forks,Standard
ZIP Code 58206,Grand Forks,Grand Forks,P.O. Box
ZIP Code 58207,Grand Forks,Grand Forks,Unique
ZIP Code 58208,Grand Forks,Grand Forks,P.O. Box
ZIP Code 58210,Adams,Walsh,Standard
ZIP Code 58212,Aneta,Nelson,Standard
ZIP Code 58214,Arvilla,Grand Forks,Standard
ZIP Code 58216,Bathgate,Pembina,Standard
ZIP Code 58218,Buxton,Traill,Standard
ZIP Code 58219,Caledonia,Traill,Standard
ZIP Code 58220,Cavalier,Pembina,Standard
ZIP Code 58222,Crystal,Pembina,Standard
ZIP Code 58223,Cummings,Traill,Standard
ZIP Code 58224,Dahlen,Nelson,Standard
ZIP Code 58225,Drayton,Pembina,Standard
ZIP Code 58227,Edinburg,Walsh,Standard
ZIP Code 58228,Emerado,Grand Forks,Standard
ZIP Code 58229,Fairdale,Walsh,Standard
ZIP Code 58230,Finley,Steele,Standard
