ZIP CODE,City,County,Type
ZIP Code 43001,Alexandria,Licking,Standard
ZIP Code 43002,Amlin,Franklin,P.O. Box
ZIP Code 43003,Ashley,Delaware,Standard
ZIP Code 43004,Blacklick,Franklin,Standard
ZIP Code 43005,Bladensburg,Knox,P.O. Box
ZIP Code 43006,Brinkhaven,Knox,Standard
ZIP Code 43007,Broadway,Union,P.O. Box
ZIP Code 43008,Buckeye Lake,Licking,P.O. Box
ZIP Code 43009,Cable,Champaign,Standard
ZIP Code 43010,Catawba,Clark,P.O. Box
ZIP Code 43011,Centerburg,Knox,Standard
ZIP Code 43013,Croton,Licking,Standard
ZIP Code 43014,Danville,Knox,Standard
ZIP Code 43015,Delaware,Delaware,Standard
ZIP Code 43016,Dublin,Franklin,Standard
ZIP Code 43017,Dublin,Franklin,Standard
ZIP Code 43018,Etna,Licking,P.O. Box
ZIP Code 43019,Fredericktown,Knox,Standard
ZIP Code 43021,Galena,Delaware,Standard
ZIP Code 43022,Gambier,Knox,Standard
ZIP Code 43023,Granville,Licking,Standard
ZIP Code 43025,Hebron,Licking,Standard
ZIP Code 43026,Hilliard,Franklin,Standard
ZIP Code 43027,Homer,Licking,P.O. Box
ZIP Code 43028,Howard,Knox,Standard
ZIP Code 43029,Irwin,Union,Standard
ZIP Code 43030,Jacksontown,Licking,P.O. Box
ZIP Code 43031,Johnstown,Licking,Standard
ZIP Code 43032,Kilbourne,Delaware,P.O. Box
ZIP Code 43033,Kirkersville,Licking,P.O. Box
ZIP Code 43035,Lewis Center,Delaware,Standard
ZIP Code 43036,Magnetic Springs,Union,P.O. Box
ZIP Code 43037,Martinsburg,Knox,Standard
ZIP Code 43040,Marysville,Union,Standard
ZIP Code 43041,Marysville,Union,Unique
ZIP Code 43044,Mechanicsburg,Champaign,Standard
ZIP Code 43045,Milford Center,Union,Standard
ZIP Code 43046,Millersport,Fairfield,Standard
ZIP Code 43047,Mingo,Champaign,P.O. Box
ZIP Code 43048,Mount Liberty,Knox,P.O. Box
ZIP Code 43050,Mount Vernon,Knox,Standard
ZIP Code 43054,New Albany,Franklin,Standard
ZIP Code 43055,Newark,Licking,Standard
ZIP Code 43056,Heath,Licking,Standard
ZIP Code 43058,Newark,Licking,P.O. Box
ZIP Code 43060,North Lewisburg,Champaign,Standard
ZIP Code 43061,Ostrander,Delaware,Standard
ZIP Code 43062,Pataskala,Licking,Standard
ZIP Code 43064,Plain City,Madison,Standard
ZIP Code 43065,Powell,Delaware,Standard
ZIP Code 43066,Radnor,Delaware,Standard
ZIP Code 43067,Raymond,Union,Standard
ZIP Code 43068,Reynoldsburg,Franklin,Standard
ZIP Code 43069,Reynoldsburg,Franklin,Unique
ZIP Code 43070,Rosewood,Champaign,P.O. Box
ZIP Code 43071,Saint Louisville,Licking,Standard
ZIP Code 43072,Saint Paris,Champaign,Standard
ZIP Code 43073,Summit Station,Licking,P.O. Box
ZIP Code 43074,Sunbury,Delaware,Standard
ZIP Code 43076,Thornville,Perry,Standard
ZIP Code 43077,Unionville Center,Union,P.O. Box
ZIP Code 43078,Urbana,Champaign,Standard
ZIP Code 43080,Utica,Licking,Standard
ZIP Code 43081,Westerville,Franklin,Standard
ZIP Code 43082,Westerville,Delaware,Standard
ZIP Code 43083,Westville,Champaign,P.O. Box
ZIP Code 43084,Woodstock,Champaign,Standard
ZIP Code 43085,Columbus,Franklin,Standard
ZIP Code 43086,Westerville,Franklin,P.O. Box
ZIP Code 43093,Newark,Licking,Unique
ZIP Code 43101,Adelphi,Ross,P.O. Box
ZIP Code 43102,Amanda,Fairfield,Standard
ZIP Code 43103,Ashville,Pickaway,Standard
ZIP Code 43105,Baltimore,Fairfield,Standard
ZIP Code 43106,Bloomingburg,Fayette,Standard
ZIP Code 43107,Bremen,Fairfield,Standard
ZIP Code 43107,Hideaway Hls,Fairfield,Standard
ZIP Code 43109,Brice,Franklin,P.O. Box
ZIP Code 43110,Canal Winchester,Franklin,Standard
ZIP Code 43111,Carbon Hill,Hocking,P.O. Box
ZIP Code 43112,Carroll,Fairfield,Standard
ZIP Code 43113,Circleville,Pickaway,Standard
ZIP Code 43115,Clarksburg,Ross,Standard
ZIP Code 43116,Commercial Point,Pickaway,Standard
ZIP Code 43117,Derby,Pickaway,P.O. Box
ZIP Code 43119,Galloway,Franklin,Standard
ZIP Code 43123,Grove City,Franklin,Standard
ZIP Code 43125,Groveport,Franklin,Standard
ZIP Code 43126,Harrisburg,Franklin,P.O. Box
ZIP Code 43127,Haydenville,Hocking,P.O. Box
ZIP Code 43128,Jeffersonville,Fayette,Standard
ZIP Code 43130,Lancaster,Fairfield,Standard
ZIP Code 43135,Laurelville,Hocking,Standard
ZIP Code 43136,Lithopolis,Fairfield,Standard
ZIP Code 43137,Lockbourne,Franklin,Standard
ZIP Code 43138,Logan,Hocking,Standard
ZIP Code 43140,London,Madison,Standard
ZIP Code 43142,Milledgeville,Fayette,P.O. Box
