ZIP Code,City,County,Type
ZIP Code 97001,Antelope,Wasco,P.O. Box
ZIP Code 97002,Aurora,Marion,Standard
ZIP Code 97003,Beaverton,Washington,Standard
ZIP Code 97004,Beavercreek,Clackamas,Standard
ZIP Code 97005,Beaverton,Washington,Standard
ZIP Code 97006,Beaverton,Washington,Standard
ZIP Code 97007,Beaverton,Washington,Standard
ZIP Code 97008,Beaverton,Washington,Standard
ZIP Code 97009,Boring,Clackamas,Standard
ZIP Code 97010,Bridal Veil,Multnomah,P.O. Box
ZIP Code 97011,Brightwood,Clackamas,Standard
ZIP Code 97013,Canby,Clackamas,Standard
ZIP Code 97014,Cascade Locks,Hood River,Standard
ZIP Code 97015,Clackamas,Clackamas,Standard
ZIP Code 97016,Clatskanie,Columbia,Standard
ZIP Code 97017,Colton,Clackamas,Standard
ZIP Code 97018,Columbia City,Columbia,Standard
ZIP Code 97019,Corbett,Multnomah,Standard
ZIP Code 97020,Donald,Marion,Standard
ZIP Code 97021,Dufur,Wasco,Standard
ZIP Code 97022,Eagle Creek,Clackamas,Standard
ZIP Code 97023,Estacada,Clackamas,Standard
ZIP Code 97024,Fairview,Multnomah,Standard
ZIP Code 97026,Gervais,Marion,Standard
ZIP Code 97027,Gladstone,Clackamas,Standard
ZIP Code 97028,Government Camp,Clackamas,Standard
ZIP Code 97029,Grass Valley,Sherman,Standard
ZIP Code 97030,Gresham,Multnomah,Standard
ZIP Code 97031,Hood River,Hood River,Standard
ZIP Code 97032,Hubbard,Marion,Standard
ZIP Code 97033,Kent,Sherman,P.O. Box
ZIP Code 97034,Lake Oswego,Clackamas,Standard
ZIP Code 97035,Lake Oswego,Clackamas,Standard
ZIP Code 97036,Marylhurst,Clackamas,P.O. Box
ZIP Code 97037,Maupin,Wasco,Standard
ZIP Code 97038,Molalla,Clackamas,Standard
ZIP Code 97039,Moro,Sherman,Standard
ZIP Code 97040,Mosier,Wasco,Standard
ZIP Code 97041,Mount Hood Parkdale,Hood River,Standard
ZIP Code 97042,Mulino,Clackamas,Standard
ZIP Code 97044,Odell,Hood River,P.O. Box
ZIP Code 97045,Oregon City,Clackamas,Standard
ZIP Code 97048,Rainier,Columbia,Standard
ZIP Code 97049,Rhododendron,Clackamas,Standard
ZIP Code 97050,Rufus,Sherman,P.O. Box
ZIP Code 97051,Saint Helens,Columbia,Standard
ZIP Code 97053,Warren,Columbia,Standard
ZIP Code 97054,Deer Island,Columbia,Standard
ZIP Code 97055,Sandy,Clackamas,Standard
ZIP Code 97056,Scappoose,Columbia,Standard
ZIP Code 97057,Shaniko,Wasco,P.O. Box
ZIP Code 97058,The Dalles,Wasco,Standard
ZIP Code 97060,Troutdale,Multnomah,Standard
ZIP Code 97062,Tualatin,Washington,Standard
ZIP Code 97063,Tygh Valley,Wasco,Standard
ZIP Code 97064,Vernonia,Columbia,Standard
ZIP Code 97065,Wasco,Sherman,Standard
ZIP Code 97067,Welches,Clackamas,Standard
ZIP Code 97068,West Linn,Clackamas,Standard
ZIP Code 97070,Wilsonville,Clackamas,Standard
ZIP Code 97071,Woodburn,Marion,Standard
ZIP Code 97075,Beaverton,Washington,P.O. Box
ZIP Code 97076,Beaverton,Washington,P.O. Box
ZIP Code 97077,Beaverton,Washington,Unique
ZIP Code 97078,Beaverton,Washington,Standard
ZIP Code 97079,Beaverton,Washington,Unique
ZIP Code 97080,Gresham,Multnomah,Standard
ZIP Code 97086,Happy Valley,Clackamas,Standard
ZIP Code 97089,Damascus,Clackamas,Standard
ZIP Code 97101,Amity,Yamhill,Standard
ZIP Code 97102,Arch Cape,Clatsop,Standard
ZIP Code 97103,Astoria,Clatsop,Standard
ZIP Code 97106,Banks,Washington,Standard
ZIP Code 97107,Bay City,Tillamook,Standard
ZIP Code 97108,Beaver,Tillamook,Standard
ZIP Code 97109,Buxton,Washington,Standard
ZIP Code 97110,Cannon Beach,Clatsop,P.O. Box
ZIP Code 97111,Carlton,Yamhill,Standard
ZIP Code 97112,Cloverdale,Tillamook,Standard
ZIP Code 97113,Cornelius,Washington,Standard
ZIP Code 97114,Dayton,Yamhill,Standard
ZIP Code 97115,Dundee,Yamhill,Standard
ZIP Code 97116,Forest Grove,Washington,Standard
ZIP Code 97117,Gales Creek,Washington,Standard
ZIP Code 97118,Garibaldi,Tillamook,P.O. Box
ZIP Code 97119,Gaston,Washington,Standard
ZIP Code 97121,Hammond,Clatsop,Standard
ZIP Code 97122,Hebo,Tillamook,Standard
ZIP Code 97123,Hillsboro,Washington,Standard
ZIP Code 97124,Hillsboro,Washington,Standard
ZIP Code 97125,Manning,Washington,Standard
ZIP Code 97127,Lafayette,Yamhill,Standard
ZIP Code 97128,Mcminnville,Yamhill,Standard
ZIP Code 97129,Hillsboro,Washington,Unique
ZIP Code 97130,Manzanita,Tillamook,P.O. Box
ZIP Code 97131,Nehalem,Tillamook,Standard
ZIP Code 97132,Newberg,Yamhill,Standard
ZIP Code 97133,North Plains,Washington,Standard
ZIP Code 97134,Oceanside,Tillamook,P.O. Box
ZIP Code 97135,Pacific City,Tillamook,P.O. Box
ZIP Code 97136,Rockaway Beach,Tillamook,Standard
