ZIP CODE,City,County,Type
ZIP Code 15001,Aliquippa,Beaver,Standard
ZIP Code 15003,Ambridge,Beaver,Standard
ZIP Code 15004,Atlasburg,Washington,P.O. Box
ZIP Code 15005,Baden,Beaver,Standard
ZIP Code 15006,Bairdford,Allegheny,P.O. Box
ZIP Code 15007,Bakerstown,Allegheny,Standard
ZIP Code 15009,Beaver,Beaver,Standard
ZIP Code 15010,Beaver Falls,Beaver,Standard
ZIP Code 15012,Belle Vernon,Fayette,Standard
ZIP Code 15014,Brackenridge,Allegheny,Standard
ZIP Code 15015,Bradfordwoods,Allegheny,Standard
ZIP Code 15017,Bridgeville,Allegheny,Standard
ZIP Code 15018,Buena Vista,Allegheny,Standard
ZIP Code 15019,Bulger,Washington,Standard
ZIP Code 15020,Bunola,Allegheny,P.O. Box
ZIP Code 15021,Burgettstown,Washington,Standard
ZIP Code 15022,Charleroi,Washington,Standard
ZIP Code 15024,Cheswick,Allegheny,Standard
ZIP Code 15025,Clairton,Allegheny,Standard
ZIP Code 15026,Clinton,Beaver,Standard
ZIP Code 15027,Conway,Beaver,Standard
ZIP Code 15028,Coulters,Allegheny,P.O. Box
ZIP Code 15030,Creighton,Allegheny,Standard
ZIP Code 15031,Cuddy,Allegheny,Standard
ZIP Code 15032,Curtisville,Allegheny,P.O. Box
ZIP Code 15033,Donora,Washington,Standard
ZIP Code 15034,Dravosburg,Allegheny,Standard
ZIP Code 15035,East Mc Keesport,Allegheny,Standard
ZIP Code 15037,Elizabeth,Allegheny,Standard
ZIP Code 15038,Elrama,Washington,P.O. Box
ZIP Code 15042,Freedom,Beaver,Standard
ZIP Code 15043,Georgetown,Beaver,Standard
ZIP Code 15044,Gibsonia,Allegheny,Standard
ZIP Code 15045,Glassport,Allegheny,Standard
ZIP Code 15046,Crescent,Allegheny,Standard
ZIP Code 15047,Greenock,Allegheny,P.O. Box
ZIP Code 15049,Harwick,Allegheny,Standard
ZIP Code 15050,Hookstown,Beaver,Standard
ZIP Code 15051,Indianola,Allegheny,Standard
ZIP Code 15052,Industry,Beaver,Standard
ZIP Code 15053,Joffre,Washington,Standard
ZIP Code 15054,Langeloth,Washington,P.O. Box
ZIP Code 15055,Lawrence,Washington,Standard
ZIP Code 15056,Leetsdale,Allegheny,Standard
ZIP Code 15057,Mc Donald,Washington,Standard
ZIP Code 15059,Midland,Beaver,Standard
ZIP Code 15060,Midway,Washington,P.O. Box
ZIP Code 15061,Monaca,Beaver,Standard
ZIP Code 15062,Monessen,Westmoreland,Standard
ZIP Code 15063,Monongahela,Washington,Standard
ZIP Code 15064,Morgan,Allegheny,Standard
ZIP Code 15065,Natrona Heights,Allegheny,Standard
ZIP Code 15066,New Brighton,Beaver,Standard
ZIP Code 15067,New Eagle,Washington,Standard
ZIP Code 15068,New Kensington,Westmoreland,Standard
ZIP Code 15069,New Kensington,Westmoreland,Unique
ZIP Code 15071,Oakdale,Allegheny,Standard
ZIP Code 15072,Pricedale,Westmoreland,P.O. Box
ZIP Code 15074,Rochester,Beaver,Standard
ZIP Code 15075,Rural Ridge,Allegheny,P.O. Box
ZIP Code 15076,Russellton,Allegheny,Standard
ZIP Code 15077,Shippingport,Beaver,P.O. Box
ZIP Code 15078,Slovan,Washington,Standard
ZIP Code 15081,South Heights,Beaver,P.O. Box
ZIP Code 15082,Sturgeon,Allegheny,P.O. Box
ZIP Code 15083,Sutersville,Westmoreland,Standard
ZIP Code 15084,Tarentum,Allegheny,Standard
ZIP Code 15085,Trafford,Westmoreland,Standard
ZIP Code 15086,Warrendale,Allegheny,Standard
ZIP Code 15087,Webster,Westmoreland,P.O. Box
ZIP Code 15088,West Elizabeth,Allegheny,P.O. Box
ZIP Code 15089,West Newton,Westmoreland,Standard
ZIP Code 15090,Wexford,Allegheny,Standard
ZIP Code 15091,Wildwood,Allegheny,P.O. Box
ZIP Code 15095,Warrendale,Allegheny,P.O. Box
ZIP Code 15096,Warrendale,Allegheny,Unique
ZIP Code 15101,Allison Park,Allegheny,Standard
ZIP Code 15102,Bethel Park,Allegheny,Standard
ZIP Code 15104,Braddock,Allegheny,Standard
ZIP Code 15106,Carnegie,Allegheny,Standard
ZIP Code 15108,Coraopolis,Allegheny,Standard
ZIP Code 15110,Duquesne,Allegheny,Standard
ZIP Code 15112,East Pittsburgh,Allegheny,Standard
ZIP Code 15116,Glenshaw,Allegheny,Standard
ZIP Code 15120,Homestead,Allegheny,Standard
ZIP Code 15122,West Mifflin,Allegheny,Standard
ZIP Code 15123,West Mifflin,Allegheny,Standard
ZIP Code 15126,Imperial,Allegheny,Standard
ZIP Code 15127,Ingomar,Allegheny,P.O. Box
ZIP Code 15129,South Park,Allegheny,Standard
ZIP Code 15131,Mckeesport,Allegheny,Standard
ZIP Code 15132,Mckeesport,Allegheny,Standard
ZIP Code 15133,Mckeesport,Allegheny,Standard
ZIP Code 15134,Mckeesport,Allegheny,P.O. Box
ZIP Code 15135,Mckeesport,Allegheny,Standard
ZIP Code 15136,Mc Kees Rocks,Allegheny,Standard
ZIP Code 15137,North Versailles,Allegheny,Standard
ZIP Code 15139,Oakmont,Allegheny,Standard
ZIP Code 15140,Pitcairn,Allegheny,Standard
ZIP Code 15142,Presto,Allegheny,Standard
ZIP Code 15143,Sewickley,Allegheny,Standard
ZIP Code 15144,Springdale,Allegheny,Standard
ZIP Code 15145,Turtle Creek,Allegheny,Standard
ZIP Code 15146,Monroeville,Allegheny,Standard
ZIP Code 15147,Verona,Allegheny,Standard
ZIP Code 15148,Wilmerding,Allegheny,Standard
ZIP Code 15201,Pittsburgh,Allegheny,Standard
ZIP Code 15202,Pittsburgh,Allegheny,Standard
ZIP Code 15203,Pittsburgh,Allegheny,Standard
ZIP Code 15204,Pittsburgh,Allegheny,Standard
ZIP Code 15205,Pittsburgh,Allegheny,Standard
ZIP Code 15206,Pittsburgh,Allegheny,Standard
ZIP Code 15207,Pittsburgh,Allegheny,Standard
ZIP Code 15208,Pittsburgh,Allegheny,Standard
ZIP Code 15209,Pittsburgh,Allegheny,Standard
ZIP Code 15210,Pittsburgh,Allegheny,Standard
ZIP Code 15211,Pittsburgh,Allegheny,Standard
ZIP Code 15212,Pittsburgh,Allegheny,Standard
ZIP Code 15213,Pittsburgh,Allegheny,Standard
ZIP Code 15214,Pittsburgh,Allegheny,Standard
ZIP Code 15215,Pittsburgh,Allegheny,Standard
ZIP Code 15216,Pittsburgh,Allegheny,Standard
ZIP Code 15217,Pittsburgh,Allegheny,Standard
ZIP Code 15218,Pittsburgh,Allegheny,Standard
ZIP Code 15219,Pittsburgh,Allegheny,Standard
ZIP Code 15220,Pittsburgh,Allegheny,Standard
ZIP Code 15221,Pittsburgh,Allegheny,Standard
ZIP Code 15222,Pittsburgh,Allegheny,Standard
ZIP Code 15223,Pittsburgh,Allegheny,Standard
ZIP Code 15224,Pittsburgh,Allegheny,Standard
ZIP Code 15225,Pittsburgh,Allegheny,Standard
ZIP Code 15226,Pittsburgh,Allegheny,Standard
ZIP Code 15227,Pittsburgh,Allegheny,Standard
ZIP Code 15228,Pittsburgh,Allegheny,Standard
ZIP Code 15229,Pittsburgh,Allegheny,Standard
ZIP Code 15230,Pittsburgh,Allegheny,P.O. Box
ZIP Code 15231,Pittsburgh,Allegheny,P.O. Box
ZIP Code 15232,Pittsburgh,Allegheny,Standard
ZIP Code 15233,Pittsburgh,Allegheny,Standard
ZIP Code 15234,Pittsburgh,Allegheny,Standard
ZIP Code 15235,Pittsburgh,Allegheny,Standard
ZIP Code 15236,Pittsburgh,Allegheny,Standard
ZIP Code 15237,Pittsburgh,Allegheny,Standard
ZIP Code 15238,Pittsburgh,Allegheny,Standard
ZIP Code 15239,Pittsburgh,Allegheny,Standard
ZIP Code 15240,Pittsburgh,Allegheny,P.O. Box
ZIP Code 15241,Pittsburgh,Allegheny,Standard
ZIP Code 15242,Pittsburgh,Allegheny,P.O. Box
ZIP Code 15243,Pittsburgh,Allegheny,Standard
ZIP Code 15244,Pittsburgh,Allegheny,P.O. Box
ZIP Code 15250,Pittsburgh,Allegheny,Unique
ZIP Code 15251,Pittsburgh,Allegheny,Unique
ZIP Code 15252,Pittsburgh,Allegheny,Unique
ZIP Code 15253,Pittsburgh,Allegheny,P.O. Box
ZIP Code 15254,Pittsburgh,Allegheny,Unique
ZIP Code 15255,Pittsburgh,Allegheny,Unique
ZIP Code 15257,Pittsburgh,Allegheny,Unique
ZIP Code 15258,Pittsburgh,Allegheny,Unique
