ZIP CODE,City,County,Type
ZIP Code 02801,AdamsvilleNewport,P.O. Box
ZIP Code 02802,AlbionProvidence,P.O. Box
ZIP Code 02804,AshawayWashington,Standard
ZIP Code 02806,BarringtonBristol,Standard
ZIP Code 02807,Block IslandWashington,P.O. Box
ZIP Code 02808,BradfordWashington,Standard
ZIP Code 02809,BristolBristol,Standard
ZIP Code 02812,CarolinaWashington,Standard
ZIP Code 02813,CharlestownWashington,Standard
ZIP Code 02814,ChepachetProvidence,Standard
ZIP Code 02815,ClayvilleProvidence,Standard
ZIP Code 02816,CoventryKent,Standard
ZIP Code 02817,West GreenwichKent,Standard
ZIP Code 02818,East GreenwichKent,Standard
ZIP Code 02822,ExeterWashington,Standard
ZIP Code 02823,FiskevilleProvidence,P.O. Box
ZIP Code 02824,ForestdaleProvidence,P.O. Box
ZIP Code 02825,FosterProvidence,Standard
ZIP Code 02826,GlendaleProvidence,P.O. Box
ZIP Code 02827,GreeneKent,Standard
ZIP Code 02828,GreenvilleProvidence,Standard
ZIP Code 02829,HarmonyProvidence,P.O. Box
ZIP Code 02830,HarrisvilleProvidence,Standard
ZIP Code 02831,HopeProvidence,Standard
ZIP Code 02832,Hope ValleyWashington,Standard
ZIP Code 02833,HopkintonWashington,Standard
ZIP Code 02835,JamestownNewport,Standard
ZIP Code 02836,KenyonWashington,Standard
ZIP Code 02837,Little ComptonNewport,Standard
ZIP Code 02838,ManvilleProvidence,Standard
ZIP Code 02839,MaplevilleProvidence,Standard
ZIP Code 02840,NewportNewport,Standard
ZIP Code 02841,NewportNewport,Standard
ZIP Code 02842,MiddletownNewport,Standard
ZIP Code 02852,North KingstownWashington,Standard
ZIP Code 02857,North ScituateProvidence,Standard
ZIP Code 02858,OaklandProvidence,Standard
ZIP Code 02859,PascoagProvidence,Standard
ZIP Code 02860,PawtucketProvidence,Standard
ZIP Code 02861,PawtucketProvidence,Standard
ZIP Code 02862,PawtucketProvidence,P.O. Box
ZIP Code 02863,Central FallsProvidence,Standard
ZIP Code 02864,CumberlandProvidence,Standard
ZIP Code 02865,LincolnProvidence,Standard
ZIP Code 02871,PortsmouthNewport,Standard
ZIP Code 02872,Prudence IslandBristol,P.O. Box
ZIP Code 02873,RockvilleWashington,P.O. Box
ZIP Code 02874,SaunderstownWashington,Standard
ZIP Code 02875,ShannockWashington,Standard
ZIP Code 02876,SlatersvilleProvidence,Standard
ZIP Code 02877,SlocumWashington,Standard
ZIP Code 02878,TivertonNewport,Standard
ZIP Code 02879,WakefieldWashington,Standard
ZIP Code 02880,WakefieldWashington,P.O. Box
ZIP Code 02881,KingstonWashington,Standard
ZIP Code 02882,NarragansettWashington,Standard
ZIP Code 02883,Peace DaleWashington,P.O. Box
ZIP Code 02885,WarrenBristol,Standard
ZIP Code 02886,WarwickKent,Standard
ZIP Code 02887,WarwickKent,P.O. Box
ZIP Code 02888,WarwickKent,Standard
ZIP Code 02889,WarwickKent,Standard
ZIP Code 02891,WesterlyWashington,Standard
ZIP Code 02892,West KingstonWashington,Standard
ZIP Code 02893,West WarwickKent,Standard
ZIP Code 02894,Wood River JunctionWashington,Standard
ZIP Code 02895,WoonsocketProvidence,Standard
ZIP Code 02896,North SmithfieldProvidence,Standard
ZIP Code 02898,WyomingWashington,Standard
ZIP Code 02901,ProvidenceProvidence,P.O. Box
ZIP Code 02902,ProvidenceProvidence,Unique
ZIP Code 02903,ProvidenceProvidence,Standard
ZIP Code 02904,ProvidenceProvidence,Standard
ZIP Code 02905,ProvidenceProvidence,Standard
ZIP Code 02906,ProvidenceProvidence,Standard
ZIP Code 02907,ProvidenceProvidence,Standard
ZIP Code 02908,ProvidenceProvidence,Standard
ZIP Code 02909,ProvidenceProvidence,Standard
ZIP Code 02910,CranstonProvidence,Standard
ZIP Code 02911,North ProvidenceProvidence,Standard
ZIP Code 02912,ProvidenceProvidence,Unique
ZIP Code 02914,East ProvidenceProvidence,Standard
ZIP Code 02915,RiversideProvidence,Standard
ZIP Code 02916,RumfordProvidence,Standard
ZIP Code 02917,SmithfieldProvidence,Standard
ZIP Code 02918,ProvidenceProvidence,Unique
ZIP Code 02919,JohnstonProvidence,Standard
ZIP Code 02920,CranstonProvidence,Standard
ZIP Code 02921,CranstonProvidence,Standard
ZIP Code 02940,ProvidenceProvidence,P.O. Box
