ZIP CODE,City,County,Type
ZIP Code 29001,Alcolu,Clarendon,Standard
ZIP Code 29002,Ballentine,Richland,P.O. Box
ZIP Code 29003,Bamberg,Bamberg,Standard
ZIP Code 29006,Batesburg,Lexington,Standard
ZIP Code 29009,Bethune,Kershaw,Standard
ZIP Code 29010,Bishopville,Lee,Standard
ZIP Code 29014,Blackstock,Chester,Standard
ZIP Code 29015,Blair,Fairfield,Standard
ZIP Code 29016,Blythewood,Richland,Standard
ZIP Code 29018,Bowman,Orangeburg,Standard
ZIP Code 29020,Camden,Kershaw,Standard
ZIP Code 29021,Camden,Kershaw,P.O. Box
ZIP Code 29030,Cameron,Calhoun,Standard
ZIP Code 29031,Carlisle,Union,Standard
ZIP Code 29032,Cassatt,Kershaw,Standard
ZIP Code 29033,Cayce,Lexington,Standard
ZIP Code 29036,Chapin,Lexington,Standard
ZIP Code 29037,Chappells,Newberry,Standard
ZIP Code 29038,Cope,Orangeburg,Standard
ZIP Code 29039,Cordova,Orangeburg,Standard
ZIP Code 29040,Dalzell,Sumter,Standard
ZIP Code 29041,Davis Station,Clarendon,P.O. Box
ZIP Code 29042,Denmark,Bamberg,Standard
ZIP Code 29044,Eastover,Richland,Standard
ZIP Code 29045,Elgin,Kershaw,Standard
ZIP Code 29046,Elliott,Lee,P.O. Box
ZIP Code 29047,Elloree,Orangeburg,Standard
ZIP Code 29048,Eutawville,Orangeburg,Standard
ZIP Code 29051,Gable,Clarendon,Standard
ZIP Code 29052,Gadsden,Richland,Standard
ZIP Code 29053,Gaston,Lexington,Standard
ZIP Code 29054,Gilbert,Lexington,Standard
ZIP Code 29055,Great Falls,Chester,Standard
ZIP Code 29056,Greeleyville,Williamsburg,Standard
ZIP Code 29058,Heath Springs,Lancaster,Standard
ZIP Code 29059,Holly Hill,Orangeburg,Standard
ZIP Code 29061,Hopkins,Richland,Standard
ZIP Code 29062,Horatio,Sumter,P.O. Box
ZIP Code 29063,Irmo,Richland,Standard
ZIP Code 29065,Jenkinsville,Fairfield,Standard
ZIP Code 29067,Kershaw,Lancaster,Standard
ZIP Code 29069,Lamar,Darlington,Standard
ZIP Code 29070,Leesville,Lexington,Standard
ZIP Code 29071,Lexington,Lexington,P.O. Box
ZIP Code 29072,Lexington,Lexington,Standard
ZIP Code 29073,Lexington,Lexington,Standard
ZIP Code 29074,Liberty Hill,Kershaw,P.O. Box
ZIP Code 29075,Little Mountain,Newberry,Standard
ZIP Code 29078,Lugoff,Kershaw,Standard
ZIP Code 29079,Lydia,Darlington,P.O. Box
ZIP Code 29080,Lynchburg,Lee,Standard
ZIP Code 29081,Ehrhardt,Bamberg,Standard
ZIP Code 29082,Lodge,Colleton,Standard
ZIP Code 29101,Mc Bee,Chesterfield,Standard
ZIP Code 29102,Manning,Clarendon,Standard
ZIP Code 29104,Mayesville,Sumter,Standard
ZIP Code 29105,Monetta,Aiken,Standard
ZIP Code 29107,Neeses,Orangeburg,Standard
