ZIP CODE,City,County,Type
ZIP Code 57001,Alcester,Union,Standard
ZIP Code 57002,Aurora,Brookings,Standard
ZIP Code 57003,Baltic,Minnehaha,Standard
ZIP Code 57004,Beresford,Union,Standard
ZIP Code 57005,Brandon,Minnehaha,Standard
ZIP Code 57006,Brookings,Brookings,Standard
ZIP Code 57007,Brookings,Brookings,Unique
ZIP Code 57010,Burbank,Clay,Standard
ZIP Code 57012,Canistota,Mccook,Standard
ZIP Code 57013,Canton,Lincoln,Standard
ZIP Code 57014,Centerville,Turner,Standard
ZIP Code 57015,Chancellor,Turner,Standard
ZIP Code 57016,Chester,Lake,Standard
ZIP Code 57017,Colman,Moody,Standard
ZIP Code 57018,Colton,Minnehaha,Standard
ZIP Code 57020,Crooks,Minnehaha,Standard
ZIP Code 57021,Davis,Turner,Standard
ZIP Code 57022,Dell Rapids,Minnehaha,Standard
ZIP Code 57024,Egan,Moody,Standard
ZIP Code 57025,Elk Point,Union,Standard
ZIP Code 57026,Elkton,Brookings,Standard
ZIP Code 57027,Fairview,Lincoln,Standard
ZIP Code 57028,Flandreau,Moody,Standard
ZIP Code 57029,Freeman,Hutchinson,Standard
ZIP Code 57030,Garretson,Minnehaha,Standard
ZIP Code 57031,Gayville,Yankton,Standard
ZIP Code 57032,Harrisburg,Lincoln,Standard
ZIP Code 57033,Hartford,Minnehaha,Standard
ZIP Code 57034,Hudson,Lincoln,Standard
ZIP Code 57035,Humboldt,Minnehaha,Standard
ZIP Code 57036,Hurley,Turner,Standard
ZIP Code 57037,Irene,Clay,Standard
ZIP Code 57038,Jefferson,Union,Standard
ZIP Code 57039,Lennox,Lincoln,Standard
ZIP Code 57040,Lesterville,Yankton,Standard
ZIP Code 57041,Lyons,Minnehaha,Standard
ZIP Code 57042,Madison,Lake,Standard
ZIP Code 57043,Marion,Turner,Standard
ZIP Code 57045,Menno,Hutchinson,Standard
ZIP Code 57046,Mission Hill,Yankton,Standard
ZIP Code 57047,Monroe,Turner,Standard
ZIP Code 57048,Montrose,Mccook,Standard
ZIP Code 57049,North Sioux City,Union,Standard
ZIP Code 57050,Nunda,Lake,Standard
ZIP Code 57051,Oldham,Kingsbury,Standard
ZIP Code 57052,Olivet,Hutchinson,Standard
ZIP Code 57053,Parker,Turner,Standard
ZIP Code 57054,Ramona,Lake,Standard
ZIP Code 57055,Renner,Minnehaha,Standard
ZIP Code 57057,Rutland,Lake,Standard
ZIP Code 57058,Salem,Mccook,Standard
ZIP Code 57059,Scotland,Bon Homme,Standard
ZIP Code 57061,Sinai,Brookings,P.O. Box
ZIP Code 57062,Springfield,Bon Homme,Standard
ZIP Code 57063,Tabor,Bon Homme,Standard
ZIP Code 57064,Tea,Lincoln,Standard
ZIP Code 57065,Trent,Moody,Standard
ZIP Code 57066,Tyndall,Bon Homme,Standard
ZIP Code 57067,Utica,Yankton,Standard
ZIP Code 57068,Valley Springs,Minnehaha,Standard
ZIP Code 57069,Vermillion,Clay,Standard
ZIP Code 57070,Viborg,Turner,Standard
ZIP Code 57071,Volga,Brookings,Standard
ZIP Code 57072,Volin,Yankton,Standard
ZIP Code 57073,Wakonda,Clay,Standard
ZIP Code 57075,Wentworth,Lake,Standard
ZIP Code 57076,Winfred,Lake,Standard
ZIP Code 57077,Worthing,Lincoln,Standard
ZIP Code 57078,Yankton,Yankton,Standard
ZIP Code 57101,Sioux Falls,Minnehaha,P.O. Box
ZIP Code 57103,Sioux Falls,Minnehaha,Standard
ZIP Code 57104,Sioux Falls,Minnehaha,Standard
ZIP Code 57105,Sioux Falls,Minnehaha,Standard
ZIP Code 57106,Sioux Falls,Minnehaha,Standard
ZIP Code 57107,Sioux Falls,Minnehaha,Standard
ZIP Code 57108,Sioux Falls,Lincoln,Standard
ZIP Code 57109,Sioux Falls,Minnehaha,P.O. Box
ZIP Code 57110,Sioux Falls,Minnehaha,Standard
ZIP Code 57117,Sioux Falls,Minnehaha,P.O. Box
ZIP Code 57118,Sioux Falls,Minnehaha,P.O. Box
ZIP Code 57186,Sioux Falls,Minnehaha,Unique
ZIP Code 57193,Sioux Falls,Minnehaha,Unique
ZIP Code 57197,Sioux Falls,Minnehaha,Unique
ZIP Code 57198,Sioux Falls,Minnehaha,Unique
ZIP Code 57201,Watertown,Codington,Standard
ZIP Code 57212,Arlington,Kingsbury,Standard
ZIP Code 57213,Astoria,Deuel,Standard
ZIP Code 57214,Badger,Kingsbury,P.O. Box
ZIP Code 57216,Big Stone City,Grant,Standard
ZIP Code 57217,Bradley,Clark,Standard
ZIP Code 57218,Brandt,Deuel,Standard
ZIP Code 57219,Bristol,Day,Standard
ZIP Code 57220,Bruce,Brookings,Standard
ZIP Code 57221,Bryant,Hamlin,Standard
ZIP Code 57223,Castlewood,Hamlin,Standard
ZIP Code 57224,Claire City,Roberts,Standard
ZIP Code 57225,Clark,Clark,Standard
ZIP Code 57226,Clear Lake,Deuel,Standard
ZIP Code 57227,Corona,Roberts,Standard
ZIP Code 57231,De Smet,Kingsbury,Standard
ZIP Code 57232,Eden,Marshall,Standard
ZIP Code 57233,Erwin,Kingsbury,Standard
ZIP Code 57234,Estelline,Hamlin,Standard
ZIP Code 57235,Florence,Codington,Standard
ZIP Code 57236,Garden City,Clark,Standard
ZIP Code 57237,Gary,Deuel,Standard
ZIP Code 57238,Goodwin,Deuel,Standard
ZIP Code 57239,Grenville,Day,Standard
ZIP Code 57241,Hayti,Hamlin,Standard
ZIP Code 57242,Hazel,Hamlin,Standard
ZIP Code 57243,Henry,Codington,Standard
ZIP Code 57245,Kranzburg,Codington,P.O. Box
ZIP Code 57246,Labolt,Grant,Standard
ZIP Code 57247,Lake City,Marshall,Standard
ZIP Code 57248,Lake Norden,Hamlin,Standard
ZIP Code 57249,Lake Preston,Kingsbury,Standard
ZIP Code 57251,Marvin,Grant,Standard
ZIP Code 57252,Milbank,Grant,Standard
ZIP Code 57255,New Effington,Roberts,Standard
ZIP Code 57256,Ortley,Roberts,Standard
ZIP Code 57257,Peever,Roberts,Standard
ZIP Code 57258,Raymond,Clark,Standard
ZIP Code 57259,Revillo,Grant,Standard
ZIP Code 57260,Rosholt,Roberts,Standard
ZIP Code 57261,Roslyn,Day,Standard
ZIP Code 57262,Sisseton,Roberts,Standard
ZIP Code 57263,South Shore,Codington,Standard
ZIP Code 57264,Stockholm,Grant,Standard
ZIP Code 57265,Strandburg,Grant,Standard
ZIP Code 57266,Summit,Roberts,Standard
ZIP Code 57268,Toronto,Deuel,Standard
ZIP Code 57269,Twin Brooks,Grant,Standard
ZIP Code 57270,Veblen,Marshall,Standard
ZIP Code 57271,Vienna,Clark,Standard
ZIP Code 57272,Wallace,Codington,Standard
ZIP Code 57273,Waubay,Day,Standard
ZIP Code 57274,Webster,Day,Standard
ZIP Code 57276,White,Brookings,Standard
ZIP Code 57278,Willow Lake,Clark,Standard
ZIP Code 57279,Wilmot,Roberts,Standard
ZIP Code 57301,Mitchell,Davison,Standard
ZIP Code 57311,Alexandria,Hanson,Standard
ZIP Code 57312,Alpena,Jerauld,Standard
ZIP Code 57313,Armour,Douglas,Standard
ZIP Code 57314,Artesian,Sanborn,Standard
ZIP Code 57315,Avon,Bon Homme,Standard
ZIP Code 57317,Bonesteel,Gregory,Standard
ZIP Code 57319,Bridgewater,Mccook,Standard
ZIP Code 57321,Canova,Miner,Standard
ZIP Code 57322,Carpenter,Clark,Standard
ZIP Code 57323,Carthage,Miner,Standard
ZIP Code 57324,Cavour,Beadle,Standard
ZIP Code 57325,Chamberlain,Brule,Standard
ZIP Code 57326,Chamberlain,Brule,Unique
ZIP Code 57328,Corsica,Douglas,Standard
ZIP Code 57329,Dante,Charles Mix,Standard
ZIP Code 57330,Delmont,Douglas,Standard
ZIP Code 57331,Dimock,Hutchinson,Standard
ZIP Code 57332,Emery,Hanson,Standard
ZIP Code 57334,Ethan,Davison,Standard
ZIP Code 57335,Fairfax,Gregory,Standard
ZIP Code 57337,Fedora,Miner,Standard
ZIP Code 57339,Fort Thompson,Buffalo,Standard
ZIP Code 57340,Fulton,Hanson,Standard
ZIP Code 57341,Gann Valley,Buffalo,Standard
ZIP Code 57342,Geddes,Charles Mix,Standard
ZIP Code 57344,Harrison,Douglas,Standard
ZIP Code 57345,Highmore,Hyde,Standard
ZIP Code 57346,Stephan,Hyde,Standard
ZIP Code 57348,Hitchcock,Beadle,Standard
ZIP Code 57349,Howard,Miner,Standard
ZIP Code 57350,Huron,Beadle,Standard
ZIP Code 57353,Iroquois,Kingsbury,Standard
ZIP Code 57354,Kaylor,Hutchinson,P.O. Box
ZIP Code 57355,Kimball,Brule,Standard
ZIP Code 57356,Lake Andes,Charles Mix,Standard
ZIP Code 57358,Lane,Jerauld,P.O. Box
ZIP Code 57359,Letcher,Sanborn,Standard
ZIP Code 57361,Marty,Charles Mix,P.O. Box
ZIP Code 57362,Miller,Hand,Standard
ZIP Code 57363,Mount Vernon,Davison,Standard
ZIP Code 57364,New Holland,Douglas,Standard
ZIP Code 57365,Oacoma,Lyman,Standard
ZIP Code 57366,Parkston,Hutchinson,Standard
ZIP Code 57367,Pickstown,Charles Mix,P.O. Box
ZIP Code 57368,Plankinton,Aurora,Standard
ZIP Code 57369,Platte,Charles Mix,Standard
ZIP Code 57370,Pukwana,Brule,Standard
