ZIP CODE,City,County,Type
ZIP Code 37010,Adams,Robertson,Standard
ZIP Code 37011,Antioch,Davidson,P.O. Box
ZIP Code 37012,Alexandria,Dekalb,Standard
ZIP Code 37013,Antioch,Davidson,Standard
ZIP Code 37014,Arrington,Williamson,Standard
ZIP Code 37015,Ashland City,Cheatham,Standard
ZIP Code 37016,Auburntown,Cannon,Standard
ZIP Code 37018,Beechgrove,Coffee,Standard
ZIP Code 37019,Belfast,Marshall,Standard
ZIP Code 37020,Bell Buckle,Bedford,Standard
ZIP Code 37022,Bethpage,Sumner,Standard
ZIP Code 37023,Big Rock,Stewart,Standard
ZIP Code 37024,Brentwood,Williamson,P.O. Box
ZIP Code 37025,Bon Aqua,Hickman,Standard
ZIP Code 37026,Bradyville,Cannon,Standard
ZIP Code 37027,Brentwood,Williamson,Standard
ZIP Code 37028,Bumpus Mills,Stewart,Standard
ZIP Code 37029,Burns,Dickson,Standard
ZIP Code 37030,Carthage,Smith,Standard
ZIP Code 37031,Castalian Springs,Sumner,Standard
ZIP Code 37032,Cedar Hill,Robertson,Standard
ZIP Code 37033,Centerville,Hickman,Standard
ZIP Code 37034,Chapel Hill,Marshall,Standard
ZIP Code 37035,Chapmansboro,Cheatham,Standard
ZIP Code 37036,Charlotte,Dickson,Standard
ZIP Code 37037,Christiana,Rutherford,Standard
ZIP Code 37040,Clarksville,Montgomery,Standard
ZIP Code 37041,Clarksville,Montgomery,P.O. Box
ZIP Code 37042,Clarksville,Montgomery,Standard
ZIP Code 37043,Clarksville,Montgomery,Standard
ZIP Code 37044,Clarksville,Montgomery,Unique
ZIP Code 37046,College Grove,Williamson,Standard
ZIP Code 37047,Cornersville,Marshall,Standard
ZIP Code 37048,Cottontown,Sumner,Standard
ZIP Code 37049,Cross Plains,Robertson,Standard
ZIP Code 37050,Cumberland City,Stewart,Standard
ZIP Code 37051,Cumberland Furnace,Dickson,Standard
ZIP Code 37052,Cunningham,Montgomery,Standard
ZIP Code 37055,Dickson,Dickson,Standard
ZIP Code 37056,Dickson,Dickson,P.O. Box
ZIP Code 37057,Dixon Springs,Smith,Standard
ZIP Code 37058,Dover,Stewart,Standard
ZIP Code 37059,Dowelltown,Dekalb,Standard
ZIP Code 37060,Eagleville,Rutherford,Standard
ZIP Code 37061,Erin,Houston,Standard
ZIP Code 37062,Fairview,Williamson,Standard
ZIP Code 37063,Fosterville,Rutherford,P.O. Box
ZIP Code 37064,Franklin,Williamson,Standard
ZIP Code 37065,Franklin,Williamson,P.O. Box
ZIP Code 37066,Gallatin,Sumner,Standard
ZIP Code 37067,Franklin,Williamson,Standard
ZIP Code 37068,Franklin,Williamson,P.O. Box
ZIP Code 37069,Franklin,Williamson,Standard
ZIP Code 37070,Goodlettsville,Davidson,P.O. Box
ZIP Code 37071,Gladeville,Wilson,P.O. Box
ZIP Code 37072,Goodlettsville,Davidson,Standard
ZIP Code 37073,Greenbrier,Robertson,Standard
ZIP Code 37074,Hartsville,Trousdale,Standard
ZIP Code 37075,Hendersonville,Sumner,Standard
ZIP Code 37076,Hermitage,Davidson,Standard
ZIP Code 37077,Hendersonville,Sumner,P.O. Box
ZIP Code 37078,Hurricane Mills,Humphreys,Standard
ZIP Code 37079,Indian Mound,Stewart,Standard
ZIP Code 37080,Joelton,Davidson,Standard
ZIP Code 37082,Kingston Springs,Cheatham,Standard
ZIP Code 37083,Lafayette,Macon,Standard
ZIP Code 37085,Lascassas,Rutherford,Standard
ZIP Code 37086,La Vergne,Rutherford,Standard
ZIP Code 37087,Lebanon,Wilson,Standard
ZIP Code 37088,Lebanon,Wilson,P.O. Box
ZIP Code 37089,La Vergne,Rutherford,Unique
ZIP Code 37090,Lebanon,Wilson,Standard
ZIP Code 37091,Lewisburg,Marshall,Standard
ZIP Code 37095,Liberty,Dekalb,Standard
ZIP Code 37096,Linden,Perry,Standard
ZIP Code 37097,Lobelville,Perry,Standard
ZIP Code 37098,Lyles,Hickman,Standard
ZIP Code 37101,Mc Ewen,Humphreys,Standard
ZIP Code 37110,Mcminnville,Warren,Standard
ZIP Code 37111,Mcminnville,Warren,P.O. Box
ZIP Code 37115,Madison,Davidson,Standard
ZIP Code 37116,Madison,Davidson,P.O. Box
ZIP Code 37118,Milton,Rutherford,Standard
ZIP Code 37119,Mitchellville,Sumner,P.O. Box
ZIP Code 37121,Mount Juliet,Wilson,P.O. Box
ZIP Code 37122,Mount Juliet,Wilson,Standard
ZIP Code 37127,Murfreesboro,Rutherford,Standard
ZIP Code 37128,Murfreesboro,Rutherford,Standard
ZIP Code 37129,Murfreesboro,Rutherford,Standard
ZIP Code 37130,Murfreesboro,Rutherford,Standard
ZIP Code 37131,Murfreesboro,Rutherford,Unique
