ZIP CODE,City,County,Type
ZIP Code 73301,Austin,Travis,Unique
ZIP Code 73344,Austin,Travis,Unique
ZIP Code 73960,Texhoma,Sherman,P.O. Box
ZIP Code 75001,Addison,Dallas,Standard
ZIP Code 75002,Allen,Collin,Standard
ZIP Code 75006,Carrollton,Dallas,Standard
ZIP Code 75007,Carrollton,Denton,Standard
ZIP Code 75009,Celina,Collin,Standard
ZIP Code 75010,Carrollton,Denton,Standard
ZIP Code 75011,Carrollton,Dallas,P.O. Box
ZIP Code 75013,Allen,Collin,Standard
ZIP Code 75014,Irving,Dallas,P.O. Box
ZIP Code 75015,Irving,Dallas,P.O. Box
ZIP Code 75016,Irving,Dallas,P.O. Box
ZIP Code 75017,Irving,Dallas,P.O. Box
ZIP Code 75019,Coppell,Dallas,Standard
ZIP Code 75020,Denison,Grayson,Standard
ZIP Code 75021,Denison,Grayson,Standard
ZIP Code 75022,Flower Mound,Denton,Standard
ZIP Code 75023,Plano,Collin,Standard
ZIP Code 75024,Plano,Collin,Standard
ZIP Code 75025,Plano,Collin,Standard
ZIP Code 75026,Plano,Collin,P.O. Box
ZIP Code 75027,Flower Mound,Denton,P.O. Box
ZIP Code 75028,Flower Mound,Denton,Standard
ZIP Code 75029,Lewisville,Denton,P.O. Box
ZIP Code 75030,Rowlett,Dallas,P.O. Box
ZIP Code 75032,Rockwall,Rockwall,Standard
ZIP Code 75033,Frisco,Denton,Standard
ZIP Code 75034,Frisco,Denton,Standard
ZIP Code 75035,Frisco,Collin,Standard
ZIP Code 75036,Frisco,Denton,Standard
ZIP Code 75038,Irving,Dallas,Standard
ZIP Code 75039,Irving,Dallas,Standard
ZIP Code 75040,Garland,Dallas,Standard
ZIP Code 75041,Garland,Dallas,Standard
ZIP Code 75042,Garland,Dallas,Standard
ZIP Code 75043,Garland,Dallas,Standard
ZIP Code 75044,Garland,Dallas,Standard
ZIP Code 75045,Garland,Dallas,P.O. Box
ZIP Code 75046,Garland,Dallas,P.O. Box
ZIP Code 75047,Garland,Dallas,P.O. Box
ZIP Code 75048,Sachse,Dallas,Standard
ZIP Code 75049,Garland,Dallas,P.O. Box
ZIP Code 75050,Grand Prairie,Dallas,Standard
ZIP Code 75051,Grand Prairie,Dallas,Standard
ZIP Code 75052,Grand Prairie,Dallas,Standard
ZIP Code 75053,Grand Prairie,Dallas,P.O. Box
ZIP Code 75054,Grand Prairie,Dallas,Standard
ZIP Code 75056,The Colony,Denton,Standard
ZIP Code 75057,Lewisville,Denton,Standard
ZIP Code 75058,Gunter,Grayson,Standard
ZIP Code 75059,Irving,Dallas,Unique
ZIP Code 75060,Irving,Dallas,Standard
ZIP Code 75061,Irving,Dallas,Standard
ZIP Code 75062,Irving,Dallas,Standard
ZIP Code 75063,Irving,Dallas,Standard
ZIP Code 75064,Irving,Dallas,Unique
ZIP Code 75065,Lake Dallas,Denton,Standard
ZIP Code 75067,Lewisville,Denton,Standard
ZIP Code 75068,Little Elm,Denton,Standard
ZIP Code 75069,Mckinney,Collin,Standard
ZIP Code 75070,Mckinney,Collin,Standard
ZIP Code 75071,Mckinney,Collin,Standard
ZIP Code 75072,Mckinney,Collin,Standard
ZIP Code 75074,Plano,Collin,Standard
ZIP Code 75075,Plano,Collin,Standard
ZIP Code 75076,Pottsboro,Grayson,Standard
ZIP Code 75077,Lewisville,Denton,Standard
ZIP Code 75078,Prosper,Collin,Standard
ZIP Code 75080,Richardson,Dallas,Standard
ZIP Code 75081,Richardson,Dallas,Standard
ZIP Code 75082,Richardson,Dallas,Standard
ZIP Code 75083,Richardson,Dallas,P.O. Box
ZIP Code 75085,Richardson,Dallas,P.O. Box
ZIP Code 75086,Plano,Collin,P.O. Box
ZIP Code 75087,Rockwall,Rockwall,Standard
ZIP Code 75088,Rowlett,Dallas,Standard
ZIP Code 75089,Rowlett,Dallas,Standard
ZIP Code 75090,Sherman,Grayson,Standard
ZIP Code 75091,Sherman,Grayson,P.O. Box
ZIP Code 75092,Sherman,Grayson,Standard
ZIP Code 75093,Plano,Collin,Standard
ZIP Code 75094,Plano,Collin,Standard
ZIP Code 75097,Weston,Collin,P.O. Box
ZIP Code 75098,Wylie,Collin,Standard
ZIP Code 75099,Coppell,Dallas,Unique
ZIP Code 75101,Bardwell,Ellis,P.O. Box
ZIP Code 75102,Barry,Navarro,Standard
ZIP Code 75103,Canton,Van Zandt,Standard
ZIP Code 75104,Cedar Hill,Dallas,Standard
ZIP Code 75105,Chatfield,Navarro,Standard
ZIP Code 75106,Cedar Hill,Dallas,P.O. Box
ZIP Code 75109,Corsicana,Navarro,Standard
ZIP Code 75110,Corsicana,Navarro,Standard
ZIP Code 75114,Crandall,Kaufman,Standard
ZIP Code 75115,Desoto,Dallas,Standard
ZIP Code 75116,Duncanville,Dallas,Standard
ZIP Code 75117,Edgewood,Van Zandt,Standard
ZIP Code 75118,Elmo,Kaufman,P.O. Box
ZIP Code 75119,Ennis,Ellis,Standard
ZIP Code 75120,Ennis,Ellis,P.O. Box
ZIP Code 75121,Copeville,Collin,P.O. Box
ZIP Code 75123,Desoto,Dallas,P.O. Box
ZIP Code 75124,Eustace,Henderson,Standard
ZIP Code 75125,Ferris,Ellis,Standard
ZIP Code 75126,Forney,Kaufman,Standard
ZIP Code 75127,Fruitvale,Van Zandt,Standard
ZIP Code 75132,Fate,Rockwall,P.O. Box
ZIP Code 75134,Lancaster,Dallas,Standard
ZIP Code 75135,Caddo Mills,Hunt,Standard
ZIP Code 75137,Duncanville,Dallas,Standard
ZIP Code 75138,Duncanville,Dallas,P.O. Box
ZIP Code 75140,Grand Saline,Van Zandt,Standard
ZIP Code 75141,Hutchins,Dallas,Standard
ZIP Code 75142,Kaufman,Kaufman,Standard
ZIP Code 75143,Kemp,Kaufman,Standard
ZIP Code 75144,Kerens,Navarro,Standard
ZIP Code 75146,Lancaster,Dallas,Standard
ZIP Code 75147,Mabank,Kaufman,Standard
ZIP Code 75148,Malakoff,Henderson,Standard
ZIP Code 75149,Mesquite,Dallas,Standard
ZIP Code 75150,Mesquite,Dallas,Standard
ZIP Code 75151,Corsicana,Navarro,P.O. Box
ZIP Code 75152,Palmer,Ellis,Standard
ZIP Code 75153,Powell,Navarro,Standard
ZIP Code 75154,Red Oak,Ellis,Standard
ZIP Code 75155,Rice,Navarro,Standard
ZIP Code 75156,Mabank,Henderson,Standard
ZIP Code 75157,Rosser,Kaufman,P.O. Box
ZIP Code 75158,Scurry,Kaufman,Standard
ZIP Code 75159,Seagoville,Dallas,Standard
ZIP Code 75160,Terrell,Kaufman,Standard
ZIP Code 75161,Terrell,Kaufman,Standard
ZIP Code 75163,Trinidad,Henderson,Standard
ZIP Code 75164,Josephine,Collin,P.O. Box
ZIP Code 75165,Waxahachie,Ellis,Standard
ZIP Code 75166,Lavon,Collin,Standard
ZIP Code 75167,Waxahachie,Ellis,Standard
ZIP Code 75168,Waxahachie,Ellis,P.O. Box
ZIP Code 75169,Wills Point,Van Zandt,Standard
ZIP Code 75172,Wilmer,Dallas,Standard
ZIP Code 75173,Nevada,Collin,Standard
ZIP Code 75180,Balch Springs,Dallas,Standard
ZIP Code 75181,Mesquite,Dallas,Standard
ZIP Code 75182,Sunnyvale,Dallas,Standard
ZIP Code 75185,Mesquite,Dallas,P.O. Box
ZIP Code 75187,Mesquite,Dallas,P.O. Box
ZIP Code 75189,Royse City,Rockwall,Standard
ZIP Code 75201,Dallas,Dallas,Standard
ZIP Code 75202,Dallas,Dallas,Standard
ZIP Code 75203,Dallas,Dallas,Standard
ZIP Code 75204,Dallas,Dallas,Standard
ZIP Code 75205,Dallas,Dallas,Standard
ZIP Code 75206,Dallas,Dallas,Standard
ZIP Code 75207,Dallas,Dallas,Standard
ZIP Code 75208,Dallas,Dallas,Standard
ZIP Code 75209,Dallas,Dallas,Standard
ZIP Code 75210,Dallas,Dallas,Standard
ZIP Code 75211,Dallas,Dallas,Standard
ZIP Code 75212,Dallas,Dallas,Standard
ZIP Code 75214,Dallas,Dallas,Standard
ZIP Code 75215,Dallas,Dallas,Standard
ZIP Code 75216,Dallas,Dallas,Standard
ZIP Code 75217,Dallas,Dallas,Standard
ZIP Code 75218,Dallas,Dallas,Standard
ZIP Code 75219,Dallas,Dallas,Standard
ZIP Code 75220,Dallas,Dallas,Standard
ZIP Code 75221,Dallas,Dallas,P.O. Box
ZIP Code 75222,Dallas,Dallas,P.O. Box
ZIP Code 75223,Dallas,Dallas,Standard
ZIP Code 75224,Dallas,Dallas,Standard
ZIP Code 75225,Dallas,Dallas,Standard
ZIP Code 75226,Dallas,Dallas,Standard
ZIP Code 75227,Dallas,Dallas,Standard
ZIP Code 75228,Dallas,Dallas,Standard
ZIP Code 75229,Dallas,Dallas,Standard
ZIP Code 75230,Dallas,Dallas,Standard
ZIP Code 75231,Dallas,Dallas,Standard
ZIP Code 75232,Dallas,Dallas,Standard
ZIP Code 75233,Dallas,Dallas,Standard
ZIP Code 75234,Dallas,Dallas,Standard
ZIP Code 75235,Dallas,Dallas,Standard
ZIP Code 75236,Dallas,Dallas,Standard
ZIP Code 75237,Dallas,Dallas,Standard
ZIP Code 75238,Dallas,Dallas,Standard
ZIP Code 75240,Dallas,Dallas,Standard
ZIP Code 75241,Dallas,Dallas,Standard
ZIP Code 75242,Dallas,Dallas,Standard
ZIP Code 75243,Dallas,Dallas,Standard
ZIP Code 75244,Dallas,Dallas,Standard
ZIP Code 75246,Dallas,Dallas,Standard
ZIP Code 75247,Dallas,Dallas,Standard
ZIP Code 75248,Dallas,Dallas,Standard
ZIP Code 75249,Dallas,Dallas,Standard
ZIP Code 75250,Dallas,Dallas,P.O. Box
ZIP Code 75251,Dallas,Dallas,Standard
ZIP Code 75252,Dallas,Collin,Standard
ZIP Code 75253,Dallas,Dallas,Standard
ZIP Code 75254,Dallas,Dallas,Standard
ZIP Code 75260,Dallas,Dallas,Standard
ZIP Code 75261,Dallas,Dallas,P.O. Box
ZIP Code 75262,Dallas,Dallas,P.O. Box
ZIP Code 75263,Dallas,Dallas,P.O. Box
ZIP Code 75264,Dallas,Dallas,P.O. Box
ZIP Code 75265,Dallas,Dallas,P.O. Box
ZIP Code 75266,Dallas,Dallas,P.O. Box
ZIP Code 75267,Dallas,Dallas,P.O. Box
ZIP Code 75270,Dallas,Dallas,Standard
ZIP Code 75275,Dallas,Dallas,Unique
ZIP Code 75277,Dallas,Dallas,Unique
ZIP Code 75283,Dallas,Dallas,Unique
ZIP Code 75284,Dallas,Dallas,Unique
ZIP Code 75285,Dallas,Dallas,Unique
ZIP Code 75287,Dallas,Collin,Standard
ZIP Code 75301,Dallas,Dallas,Unique
ZIP Code 75303,Dallas,Dallas,Unique
ZIP Code 75312,Dallas,Dallas,Unique
ZIP Code 75313,Dallas,Dallas,P.O. Box
ZIP Code 75315,Dallas,Dallas,P.O. Box
ZIP Code 75320,Dallas,Dallas,Unique
ZIP Code 75326,Dallas,Dallas,Unique
ZIP Code 75336,Dallas,Dallas,P.O. Box
ZIP Code 75339,Dallas,Dallas,P.O. Box
ZIP Code 75342,Dallas,Dallas,P.O. Box
ZIP Code 75354,Dallas,Dallas,P.O. Box
ZIP Code 75355,Dallas,Dallas,P.O. Box
ZIP Code 75356,Dallas,Dallas,P.O. Box
ZIP Code 75357,Dallas,Dallas,P.O. Box
ZIP Code 75358,Dallas,Dallas,Unique
ZIP Code 75359,Dallas,Dallas,P.O. Box
