ZIP CODE,City,County,Type
ZIP Code 05001,White River Junction,Windsor,Standard
ZIP Code 05009,White River Junction,Windsor,Unique
ZIP Code 05030,Ascutney,Windsor,P.O. Box
ZIP Code 05031,Barnard,Windsor,P.O. Box
ZIP Code 05032,Bethel,Windsor,Standard
ZIP Code 05033,Bradford,Orange,Standard
ZIP Code 05034,Bridgewater,Windsor,Standard
ZIP Code 05035,Bridgewater Corners,Windsor,Standard
ZIP Code 05036,Brookfield,Orange,Standard
ZIP Code 05037,Brownsville,Windsor,Standard
ZIP Code 05038,Chelsea,Orange,Standard
ZIP Code 05039,Corinth,Orange,Standard
ZIP Code 05040,East Corinth,Orange,Standard
ZIP Code 05041,East Randolph,Orange,Standard
ZIP Code 05042,East Ryegate,Caledonia,Standard
ZIP Code 05043,East Thetford,Orange,Standard
ZIP Code 05045,Fairlee,Orange,Standard
ZIP Code 05046,Groton,Caledonia,Standard
ZIP Code 05047,Hartford,Windsor,P.O. Box
ZIP Code 05048,Hartland,Windsor,Standard
ZIP Code 05049,Hartland Four Corners,Windsor,P.O. Box
ZIP Code 05050,Mc Indoe Falls,Caledonia,P.O. Box
ZIP Code 05051,Newbury,Orange,Standard
ZIP Code 05052,North Hartland,Windsor,Standard
ZIP Code 05053,North Pomfret,Windsor,Standard
ZIP Code 05054,North Thetford,Orange,P.O. Box
ZIP Code 05055,Norwich,Windsor,Standard
ZIP Code 05056,Plymouth,Windsor,Standard
ZIP Code 05058,Post Mills,Orange,Standard
ZIP Code 05059,Quechee,Windsor,P.O. Box
ZIP Code 05060,Randolph,Orange,Standard
ZIP Code 05061,Randolph Center,Orange,Standard
ZIP Code 05062,Reading,Windsor,Standard
ZIP Code 05065,Sharon,Windsor,Standard
ZIP Code 05067,South Pomfret,Windsor,Standard
ZIP Code 05068,South Royalton,Windsor,Standard
ZIP Code 05069,South Ryegate,Caledonia,Standard
ZIP Code 05070,South Strafford,Orange,Standard
ZIP Code 05071,South Woodstock,Windsor,Standard
ZIP Code 05072,Strafford,Orange,Standard
ZIP Code 05073,Taftsville,Windsor,Standard
ZIP Code 05074,Thetford,Orange,P.O. Box
ZIP Code 05075,Thetford Center,Orange,Standard
ZIP Code 05076,Topsham,Orange,Standard
ZIP Code 05077,Tunbridge,Orange,Standard
ZIP Code 05079,Vershire,Orange,Standard
ZIP Code 05081,Wells River,Orange,Standard
ZIP Code 05083,West Fairlee,Orange,Standard
ZIP Code 05084,West Hartford,Windsor,Standard
ZIP Code 05085,West Newbury,Orange,P.O. Box
ZIP Code 05086,West Topsham,Orange,Standard
ZIP Code 05088,Wilder,Windsor,P.O. Box
ZIP Code 05089,Windsor,Windsor,Standard
ZIP Code 05091,Woodstock,Windsor,Standard
ZIP Code 05101,Bellows Falls,Windham,Standard
ZIP Code 05141,Cambridgeport,Windham,Standard
ZIP Code 05142,Cavendish,Windsor,Standard
ZIP Code 05143,Chester,Windsor,Standard
ZIP Code 05146,Grafton,Windham,Standard
ZIP Code 05148,Londonderry,Windham,Standard
ZIP Code 05149,Ludlow,Windsor,Standard
ZIP Code 05150,North Springfield,Windsor,Standard
ZIP Code 05151,Perkinsville,Windsor,Standard
ZIP Code 05152,Peru,Bennington,Standard
ZIP Code 05153,Proctorsville,Windsor,Standard
ZIP Code 05154,Saxtons River,Windham,Standard
ZIP Code 05155,South Londonderry,Windham,Standard
ZIP Code 05156,Springfield,Windsor,Standard
ZIP Code 05158,Westminster,Windham,Standard
ZIP Code 05159,Westminster Station,Windham,P.O. Box
ZIP Code 05161,Weston,Windsor,Standard
ZIP Code 05201,Bennington,Bennington,Standard
ZIP Code 05250,Arlington,Bennington,Standard
ZIP Code 05251,Dorset,Bennington,Standard
ZIP Code 05252,East Arlington,Bennington,Standard
ZIP Code 05253,East Dorset,Bennington,Standard
ZIP Code 05254,Manchester,Bennington,P.O. Box
ZIP Code 05255,Manchester Center,Bennington,Standard
ZIP Code 05257,North Bennington,Bennington,Standard
ZIP Code 05260,North Pownal,Bennington,Standard
ZIP Code 05261,Pownal,Bennington,Standard
ZIP Code 05262,Shaftsbury,Bennington,Standard
ZIP Code 05301,Brattleboro,Windham,Standard
ZIP Code 05302,Brattleboro,Windham,P.O. Box
ZIP Code 05303,Brattleboro,Windham,P.O. Box
ZIP Code 05304,Brattleboro,Windham,P.O. Box
ZIP Code 05340,Bondville,Bennington,Standard
ZIP Code 05341,East Dover,Windham,Standard
ZIP Code 05342,Jacksonville,Windham,Standard
ZIP Code 05343,Jamaica,Windham,Standard
ZIP Code 05344,Marlboro,Windham,P.O. Box
ZIP Code 05345,Newfane,Windham,Standard
ZIP Code 05346,Putney,Windham,Standard
ZIP Code 05350,Readsboro,Bennington,Standard
ZIP Code 05351,South Newfane,Windham,Standard
ZIP Code 05352,Stamford,Bennington,Standard
ZIP Code 05353,Townshend,Windham,Standard
ZIP Code 05354,Vernon,Windham,Standard
ZIP Code 05355,Wardsboro,Windham,Standard
ZIP Code 05356,West Dover,Windham,Standard
ZIP Code 05357,West Dummerston,Windham,P.O. Box
ZIP Code 05358,West Halifax,Windham,Standard
ZIP Code 05359,West Townshend,Windham,Standard
ZIP Code 05360,West Wardsboro,Windham,Standard
ZIP Code 05361,Whitingham,Windham,Standard
ZIP Code 05362,Williamsville,Windham,Standard
ZIP Code 05363,Wilmington,Windham,Standard
ZIP Code 05401,Burlington,Chittenden,Standard
ZIP Code 05402,Burlington,Chittenden,P.O. Box
ZIP Code 05403,South Burlington,Chittenden,Standard
ZIP Code 05404,Winooski,Chittenden,Standard
ZIP Code 05405,Burlington,Chittenden,Unique
ZIP Code 05406,Burlington,Chittenden,P.O. Box
ZIP Code 05407,South Burlington,Chittenden,P.O. Box
ZIP Code 05408,Burlington,Chittenden,Standard
ZIP Code 05439,Colchester,Chittenden,Unique
ZIP Code 05440,Alburgh,Grand Isle,Standard
ZIP Code 05441,Bakersfield,Franklin,Standard
ZIP Code 05442,Belvidere Center,Lamoille,Standard
ZIP Code 05443,Bristol,Addison,Standard
