ZIP Code,City,County,Type
ZIP Code 24701,Bluefield,Mercer,Standard
ZIP Code 24712,Athens,Mercer,Standard
ZIP Code 24714,Beeson,Mercer,Standard
ZIP Code 24715,Bramwell,Mercer,Standard
ZIP Code 24716,Bud,Wyoming,P.O. Box
ZIP Code 24719,Covel,Wyoming,P.O. Box
ZIP Code 24724,Freeman,Mercer,Standard
ZIP Code 24726,Herndon,Wyoming,Standard
ZIP Code 24729,Hiawatha,Mercer,P.O. Box
ZIP Code 24731,Kegley,Mercer,Standard
ZIP Code 24732,Kellysville,Mercer,P.O. Box
ZIP Code 24733,Lashmeet,Mercer,Standard
ZIP Code 24736,Matoaka,Mercer,Standard
ZIP Code 24737,Montcalm,Mercer,P.O. Box
ZIP Code 24738,Nemours,Mercer,P.O. Box
ZIP Code 24739,Princeton,Mercer,Standard
ZIP Code 24740,Princeton,Mercer,Standard
ZIP Code 24747,Rock,Mercer,Standard
ZIP Code 24751,Wolfe,Mercer,P.O. Box
ZIP Code 24801,Welch,Mcdowell,Standard
ZIP Code 24808,Anawalt,Mcdowell,Standard
ZIP Code 24811,Avondale,Mcdowell,P.O. Box
ZIP Code 24813,Bartley,Mcdowell,P.O. Box
ZIP Code 24815,Berwind,Mcdowell,Standard
ZIP Code 24816,Big Sandy,Mcdowell,P.O. Box
ZIP Code 24817,Bradshaw,Mcdowell,P.O. Box
ZIP Code 24818,Brenton,Wyoming,Standard
ZIP Code 24822,Clear Fork,Wyoming,Standard
ZIP Code 24823,Coal Mountain,Wyoming,Standard
ZIP Code 24826,Cucumber,Mcdowell,P.O. Box
ZIP Code 24827,Cyclone,Wyoming,Standard
ZIP Code 24828,Davy,Mcdowell,Standard
ZIP Code 24829,Eckman,Mcdowell,Standard
ZIP Code 24830,Elbert,Mcdowell,Standard
ZIP Code 24831,Elkhorn,Mcdowell,Standard
ZIP Code 24834,Fanrock,Wyoming,P.O. Box
ZIP Code 24836,Gary,Mcdowell,P.O. Box
ZIP Code 24839,Hanover,Wyoming,Standard
ZIP Code 24843,Hensley,Mcdowell,P.O. Box
ZIP Code 24844,Iaeger,Mcdowell,Standard
ZIP Code 24845,Ikes Fork,Wyoming,P.O. Box
ZIP Code 24846,Isaban,Mcdowell,Standard
ZIP Code 24847,Itmann,Wyoming,P.O. Box
