ZIP Code,City,County,Type
ZIP Code 82001,Cheyenne,Laramie,Standard
ZIP Code 82002,Cheyenne,Laramie,Unique
ZIP Code 82003,Cheyenne,Laramie,P.O. Box
ZIP Code 82005,Fe Warren AFB,Laramie,Standard
ZIP Code 82006,Cheyenne,Laramie,Unique
ZIP Code 82007,Cheyenne,Laramie,Standard
ZIP Code 82009,Cheyenne,Laramie,Standard
ZIP Code 82010,Cheyenne,Laramie,Unique
ZIP Code 82050,Albin,Laramie,Standard
ZIP Code 82051,Bosler,Albany,Standard
ZIP Code 82052,Buford,Albany,Standard
ZIP Code 82053,Burns,Laramie,Standard
ZIP Code 82054,Carpenter,Laramie,Standard
ZIP Code 82055,Centennial,Albany,P.O. Box
ZIP Code 82058,Garrett,Albany,Standard
ZIP Code 82059,Granite Canon,Laramie,P.O. Box
ZIP Code 82060,Hillsdale,Laramie,P.O. Box
ZIP Code 82061,Horse Creek,Laramie,P.O. Box
ZIP Code 82063,Jelm,Albany,Standard
ZIP Code 82070,Laramie,Albany,Standard
ZIP Code 82071,Laramie,Albany,P.O. Box
ZIP Code 82072,Laramie,Albany,Standard
ZIP Code 82073,Laramie,Albany,P.O. Box
ZIP Code 82081,Meriden,Laramie,Standard
ZIP Code 82082,Pine Bluffs,Laramie,Standard
ZIP Code 82083,Rock River,Albany,Standard
ZIP Code 82084,Tie Siding,Albany,P.O. Box
ZIP Code 82190,Yellowstone National Park,Park,Standard
ZIP Code 82201,Wheatland,Platte,Standard
ZIP Code 82210,Chugwater,Platte,Standard
ZIP Code 82212,Fort Laramie,Goshen,Standard
ZIP Code 82213,Glendo,Platte,Standard
ZIP Code 82214,Guernsey,Platte,Standard
ZIP Code 82215,Hartville,Platte,Standard
ZIP Code 82217,Hawk Springs,Goshen,Standard
ZIP Code 82218,Huntley,Goshen,P.O. Box
ZIP Code 82219,Jay Em,Goshen,Standard
ZIP Code 82221,Lagrange,Goshen,Standard
ZIP Code 82222,Lance Creek,Niobrara,Standard
ZIP Code 82223,Lingle,Goshen,Standard
ZIP Code 82224,Lost Springs,Converse,Standard
ZIP Code 82225,Lusk,Niobrara,Standard
ZIP Code 82227,Manville,Niobrara,Standard
ZIP Code 82229,Shawnee,Converse,Standard
ZIP Code 82240,Torrington,Goshen,Standard
ZIP Code 82242,Van Tassell,Niobrara,Standard
ZIP Code 82243,Veteran,Goshen,Standard
ZIP Code 82244,Yoder,Goshen,Standard
ZIP Code 82301,Rawlins,Carbon,Standard
ZIP Code 82310,Jeffrey City,Fremont,P.O. Box
ZIP Code 82321,Baggs,Carbon,Standard
ZIP Code 82322,Bairoil,Sweetwater,P.O. Box
ZIP Code 82323,Dixon,Carbon,Standard
ZIP Code 82324,Elk Mountain,Carbon,P.O. Box
ZIP Code 82325,Encampment,Carbon,Standard
ZIP Code 82327,Hanna,Carbon,Standard
ZIP Code 82329,Medicine Bow,Carbon,Standard
ZIP Code 82331,Saratoga,Carbon,Standard
